id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
0,255, ,270,fort,13,fortification,0,default,1900,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,FT-17,112,light tank,2,armor,3,track,1930,1,1941,4,2,2,3,22,6,12,0,1,0,0,9,0,10,0,0,221,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,16,0,0,0,0,0,0,0,2365,0,4385,4383,4387
2,20,R-35,112,light tank,2,armor,3,track,1940,1,1941,4,2,2,3,32,8,22,0,1,1,0,8,0,10,0,0,12,100,0,0,50,212,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,5,4,2,13,0,0,0,0,0,0,0,227,0,215,215,215
3,20,CV-33,131,captured tank,2,armor,3,track,1941,9,1943,12,1,2,2,15,13,10,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,228,90,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,12,0,0,0,0,0,0,0,2372,0,3310,3311,3313
4,20,L6/40,131,captured tank,2,armor,3,track,1943,1,1944,12,2,2,3,27,15,10,0,1,1,0,9,0,10,0,0,10,21,21,0,0,225,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,2,2,1,4,0,0,0,0,0,0,0,2619,0,1351,1351,1351
5,20,Renault M.28,112,light tank,2,armor,3,track,1930,1,1941,4,2,2,3,20,6,11,0,1,0,0,8,0,10,0,0,13,120,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,5,0,0,0,0,0,0,0,2100,0,4379,4377,4381
6,20,SU-76M,177,SP AT gun,5,anti-tank,3,track,1946,1,1946,12,3,4,3,36,15,2,0,2,2,0,7,0,10,0,0,51,24,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,3,2,2,0,5,0,0,0,0,0,0,0,86,0,72,72,4505
7,20,SU-85,177,SP AT gun,5,anti-tank,3,track,1946,1,1946,12,3,4,3,70,19,10,0,3,2,0,7,6,29,0,0,58,16,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,9,5,5,2,5,0,0,0,0,0,0,0,87,0,73,73,4506
8,20,Autoblinda 41,233,armored car,8,recon,2,wheel (AT),1943,9,1945,12,3,4,3,32,26,50,0,2,1,0,9,0,10,0,1,10,33,33,0,0,225,120,0,0,0,0,127,120,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,15,0,0,0,0,0,0,0,2609,0,192,192,192
9,20,SdKfz 222,233,armored car,8,recon,2,wheel (AT),1945,6,1946,12,3,3,3,26,27,50,0,1,3,0,9,0,10,0,0,8,10,10,0,0,155,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,4409,0,4315,4314,4316
