id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,0,CANADA,281,reserved,14,other,0,default,1901,1,1901,12,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,0,0,0
2,30,Archer,177,SP AT gun,5,anti-tank,3,track,1944,9,1946,12,3,4,3,73,11,90,0,4,3,0,7,0,16,0,0,38,16,18,0,18,148,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,2,2,3,0,0,0,0,0,0,0,0,0,8658,0,121,1096,1095
3,30,M3 Stuart Mk. I,112,light tank,2,armor,3,track,1941,11,1942,12,3,4,3,53,19,80,0,2,2,1,8,6,12,0,1,16,33,70,0,0,177,120,0,139,90,0,131,120,0,0,0,0,0,0,0,0,0,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,8660,0,98,1306,4461
4,30,Stuart Mk. VI,112,light tank,2,armor,3,track,1944,1,1946,12,3,4,3,58,19,90,0,3,2,1,8,6,15,0,1,18,74,100,0,0,177,120,0,139,90,0,131,120,0,0,0,0,0,0,0,0,0,6,3,3,6,3,3,1,0,0,0,0,0,0,0,0,8659,0,114,4430,3540
5,30,Stuart Recce,213,scout vehicle,8,recon,3,track,1943,12,1946,12,2,4,3,29,23,92,0,0,0,0,9,106,10,0,2,140,90,0,0,0,139,90,0,139,90,0,131,120,0,0,0,0,0,0,0,0,0,5,3,3,4,3,0,0,0,0,0,0,0,0,0,0,12812,0,239,3203,2200
6,30,Humber Mk.II,233,armored car,8,recon,2,wheel (AT),1943,1,1946,12,3,3,3,30,24,80,0,1,1,0,9,0,10,0,1,101,20,20,0,0,179,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,12558,0,133,4416,1502
7,30,1935 Ford/GM AC,233,armored car,8,recon,2,wheel (AT),1935,5,1940,10,3,3,3,19,20,10,0,0,0,0,9,0,10,0,0,137,120,0,0,0,0,0,0,0,0,0,136,90,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,914,0,220,220,220
8,30,M3A1Scout Car,213,scout vehicle,8,recon,2,wheel (AT),1943,3,1946,12,3,4,2,20,27,90,0,0,0,0,9,108,10,0,1,148,90,0,0,0,125,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12825,0,455,455,3212
9,30,Mk VI (C),112,light tank,2,armor,3,track,1938,9,1941,10,2,3,2,31,19,32,0,1,1,0,9,0,10,0,1,138,120,0,0,0,137,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,12858,0,107,4428,107
10,30,M24 Chaffee,112,light tank,2,armor,3,track,1944,11,1946,12,4,5,3,66,17,90,0,3,5,1,7,6,18,0,2,46,24,24,0,0,177,120,0,140,90,0,131,120,0,0,0,0,0,0,0,0,0,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,382,0,145,4435,3541
11,30,Centaur IV,110,CS tank,2,armor,3,track,1944,8,1944,8,4,5,4,59,16,90,0,2,2,0,6,13,21,0,2,66,36,0,15,0,179,120,0,0,0,0,130,120,0,0,0,0,0,0,0,0,0,8,3,3,8,7,4,1,0,0,0,0,0,0,0,0,655,0,126,4408,3555
12,30,M14 MGMC,189,SP AA gun,6,anti-air,3,track,1943,5,1945,12,3,4,3,29,23,60,0,2,2,0,9,0,10,0,0,206,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,440,0,1469,1471,1470
13,30,Honey II,112,light tank,2,armor,3,track,1942,7,1943,12,3,4,3,53,20,90,0,2,2,1,8,6,12,0,1,18,33,70,0,0,139,90,0,177,120,0,131,120,0,0,0,0,0,0,0,0,0,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,380,0,114,1308,3540
14,30,Grizzly I,113,medium tank,2,armor,0,default,1943,9,1946,12,5,5,3,78,14,90,0,3,2,1,7,13,23,0,3,45,40,57,0,0,177,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,7,5,4,9,6,5,2,0,0,0,0,0,0,0,0,2101,0,3565,3563,3564
15,30,Sherman II,113,medium tank,2,armor,3,track,1943,1,1944,9,5,5,3,74,12,90,0,3,3,1,7,13,31,0,2,45,45,45,0,0,177,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,7,4,4,9,5,5,2,0,0,0,0,0,0,0,0,384,0,1081,1063,3567
16,30,Sherman III,113,medium tank,2,armor,3,track,1943,1,1945,6,5,5,3,75,12,90,0,3,3,1,7,13,31,0,2,45,45,45,0,0,177,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,9,5,5,2,0,0,0,0,0,0,0,0,4307,0,1084,1064,4462
17,30,Ram II,134,prototype tank,2,armor,0,default,1942,12,1944,5,5,5,3,69,13,90,0,3,2,0,8,13,23,0,2,29,28,64,0,0,177,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,8,6,5,2,0,0,0,0,0,0,0,0,915,0,396,396,396
18,30,Skink AA,189,SP AA gun,6,anti-air,0,default,1945,1,1946,12,5,5,3,62,14,90,0,6,4,1,9,0,23,0,2,245,35,5,0,5,0,0,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,7,4,4,9,5,5,2,0,0,0,0,0,0,0,0,3957,0,699,699,1516
19,30,Ram I,134,prototype tank,2,armor,0,default,1942,3,1943,7,5,5,3,74,13,90,0,3,2,0,8,13,23,0,2,20,15,156,0,0,177,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,8,6,5,2,0,0,0,0,0,0,0,0,4007,0,396,396,396
20,30,Sherman I,113,medium tank,2,armor,3,track,1942,10,1944,9,5,5,2,73,12,90,0,3,2,1,7,13,31,0,2,45,45,45,0,0,177,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2297,0,1073,1476,1475
21,30,Sherman IIA,127,guntank,2,armor,3,track,1944,11,1946,12,5,5,4,90,12,91,0,3,5,1,7,13,32,0,2,52,30,36,0,5,177,120,0,139,90,0,131,120,0,0,0,0,0,0,0,0,0,9,4,4,9,6,6,2,0,0,0,0,0,0,0,0,2478,0,1088,1478,1477
22,30,Sherman V,113,medium tank,2,armor,3,track,1943,7,1946,12,5,5,3,78,13,90,0,3,3,1,7,13,31,0,2,45,47,50,0,0,139,90,0,177,120,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2084,0,1093,1061,3496
23,30,Sherman Firefly,127,guntank,2,armor,3,track,1944,8,1946,12,5,5,3,103,13,92,0,4,3,0,7,13,31,0,2,38,28,39,0,10,177,120,0,139,90,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,11,5,6,2,0,0,0,0,0,0,0,0,12801,0,127,1396,3513
24,30,Sherman DD,124,DD tank,2,armor,3,track,1944,2,1945,12,5,5,3,124,12,90,0,3,3,1,7,0,100,2,2,45,47,50,0,0,139,90,0,177,120,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2086,0,696,696,696
25,30,Sherman V,127,guntank,2,armor,3,track,1944,1,1946,12,5,5,3,78,13,91,0,3,3,1,7,13,31,0,2,45,47,50,0,0,139,90,0,177,120,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2084,0,1093,1061,3496
26,30,Sherman Ib,110,CS tank,2,armor,3,track,1944,9,1945,12,5,5,4,63,13,90,0,2,3,0,6,13,32,0,2,68,50,0,16,0,139,90,0,177,120,0,131,120,0,0,0,0,0,0,0,0,0,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,395,0,1206,3546,3545
27,30,Sherman V,110,CS tank,2,armor,3,track,1943,7,1944,12,5,5,3,72,13,90,0,3,3,1,7,13,31,0,2,45,67,30,0,0,139,90,0,177,120,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,9,5,5,2,0,0,0,0,0,0,0,0,2084,0,1093,1061,3496
28,30,Sherman Firefly,127,guntank,2,armor,3,track,1944,4,1944,7,5,5,3,96,13,92,0,4,3,0,7,13,31,0,2,38,30,47,0,0,177,120,0,139,90,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,11,5,6,2,0,0,0,0,0,0,0,0,12801,0,127,1396,1395
29,30,Sherman Firefly,177,SP AT gun,5,anti-tank,3,track,1944,4,1944,7,5,5,3,101,13,90,0,4,3,0,7,13,31,0,2,38,24,53,0,0,177,120,0,139,90,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,11,5,6,2,0,0,0,0,0,0,0,0,12802,0,127,1396,1395
30,30,M10 3in,177,SP AT gun,5,anti-tank,3,track,1944,8,1946,12,5,5,4,65,17,92,0,4,3,0,7,13,29,0,2,55,18,30,0,6,140,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,8,3,3,0,0,0,0,0,0,0,0,0,389,0,1070,1310,411
31,30,Sherman Ib,110,CS tank,2,armor,3,track,1946,1,1946,12,5,5,4,67,13,90,0,2,3,1,6,13,32,0,2,68,50,0,16,0,139,90,0,177,120,0,131,120,0,0,0,0,0,0,0,0,0,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,395,0,1207,1207,1207
32,30,Ram II AOP,204,FO vehicle,8,recon,0,default,1943,9,1945,12,5,6,3,114,13,91,0,3,2,0,8,13,23,0,2,177,120,0,0,0,0,0,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,8,4,4,8,6,5,2,0,0,0,0,0,0,0,0,12544,0,396,396,396
33,30,Churchill I,113,medium tank,2,armor,0,default,1941,7,1943,3,4,5,3,96,8,90,0,2,2,0,8,13,30,0,0,20,0,150,0,0,179,120,0,0,0,0,35,58,0,0,0,0,0,0,0,0,0,9,8,5,10,9,9,2,0,0,0,0,0,0,0,0,4370,0,124,3549,3550
34,30,Churchill III,113,medium tank,2,armor,0,default,1942,5,1943,4,4,5,4,90,8,91,0,3,2,0,8,13,30,0,2,29,36,48,0,0,179,120,0,0,0,0,130,120,0,0,0,0,0,0,0,0,0,10,8,5,12,9,8,2,0,0,0,0,0,0,0,0,4493,0,3582,3585,3583
35,30,Sherman Firefly,177,SP AT gun,5,anti-tank,3,track,1944,8,1946,12,5,5,3,106,13,90,0,4,3,0,7,13,31,0,2,38,24,43,0,10,177,120,0,139,90,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,11,5,6,2,0,0,0,0,0,0,0,0,4080,0,127,1396,1395
36,30,Matilda II,113,medium tank,2,armor,3,track,1941,7,1941,12,4,4,4,80,8,93,0,2,2,0,8,13,26,0,1,20,0,93,0,0,179,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,8,8,8,2,0,0,0,0,0,0,0,0,638,0,105,4425,4479
37,30,Churchill AVRE,125,engineer tank,2,armor,0,default,1944,2,1946,12,4,5,4,138,8,90,0,3,2,0,2,0,31,0,2,43,31,0,0,0,179,120,0,0,0,0,130,120,0,113,8,6,12,10,9,2,0,10,8,6,12,10,9,2,0,0,0,0,0,0,0,0,626,0,1463,1465,1464
38,30,Crocodile,126,flame tank,2,armor,0,default,1944,1,1946,12,4,5,3,132,8,90,0,3,2,0,7,0,31,0,2,105,42,42,0,0,179,120,0,0,0,0,108,32,0,0,0,0,0,0,0,0,0,13,12,6,15,12,9,2,0,0,0,0,0,0,0,0,657,0,298,4402,3556
39,30,Scorpion,128,mine clearing tank,2,armor,0,default,1942,10,1943,12,3,4,3,145,8,90,0,2,2,0,8,0,21,0,0,20,0,93,0,0,179,120,0,0,0,0,0,0,0,108,8,6,8,7,7,2,0,10,8,6,8,7,7,2,0,0,0,0,0,0,0,0,4397,0,135,4429,135
40,30,Sherman Crab II,128,mine clearing tank,2,armor,3,track,1944,1,1946,12,5,5,3,141,12,90,0,3,3,1,7,0,33,0,2,45,60,37,0,0,177,120,0,0,0,0,0,0,0,109,4,4,9,5,5,2,0,11,4,4,9,5,5,2,0,0,0,0,0,0,0,0,4400,0,1448,1450,1449
41,30,Churchill Oke,126,flame tank,2,armor,3,track,1942,8,1943,12,4,5,3,107,8,90,0,2,2,0,8,0,30,0,0,20,20,0,0,130,179,120,0,0,0,0,108,7,0,0,0,0,0,0,0,0,0,9,8,5,10,9,9,2,0,0,0,0,0,0,0,0,652,0,736,4405,736
