rid,name,wclass,size,sound,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
1,M1930 Rifle,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PPSh-41 SMG,1,0,0,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,0,1,0,0,8,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NahVtdgW,3,0,0,3,0,0,11,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7.92mm MG34 BMG,5,0,0,1,0,0,8,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25mm SA34 L/72,6,0,0,2,1,5,1,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20mm Quad AA,4,0,0,2,1,3,19,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20mm FK-A wz.38,5,0,0,2,1,4,8,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25mm SA35 L/53,6,0,0,2,0,5,0,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20mm Polsten AA,4,0,0,2,1,3,12,0,18,30,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Polsten (4) AA,4,0,0,2,1,3,19,0,18,30,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm wz.16 L21,6,0,0,2,1,0,1,0,6,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,37mm wz.36 L45,6,0,0,2,1,5,1,0,11,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7.92mm MG34 MMG,3,0,0,1,0,0,8,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,37mm wz.37 L45,6,0,0,2,1,5,1,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37mm M5 L53,6,0,0,2,1,6,1,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Vickers AA-Gun,4,0,0,3,1,2,14,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,37mm M6 L57,6,0,0,2,1,6,1,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Obice da 75L32,6,0,0,4,2,0,5,0,8,203,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
20,2 Pounder Gun,6,0,0,3,1,7,1,0,13,45,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5cm PaK 38 L60,6,0,0,3,1,9,3,0,15,50,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0
22,47mm SA37 (L53),6,0,0,3,1,8,2,0,13,45,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
23,47mm Vickers,6,0,0,3,1,4,2,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,47mm L43 Gun,6,0,0,3,1,8,2,0,11,45,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0
25,40mm Bofors AAG,4,0,0,3,1,7,15,0,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7.5cm KwK42 L70,6,0,0,4,2,16,5,0,17,80,60,23,9,0,0,0,0,0,0,0,0,0,0,0,0
27,5cm KwK 38 L42,6,0,0,3,1,7,3,0,10,50,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0
28,37mm SA35 (L33),6,0,0,2,1,4,1,0,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6 Pounder Gun,6,0,0,3,2,11,3,0,13,50,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0
30,HB 60mm mle 35,3,0,0,4,1,0,7,0,3,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7.92mm MG34 CMG,5,0,0,1,0,0,8,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,76mm wz.02 FG,6,0,0,4,2,0,5,0,6,70,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
33,75mm wz.1897 FG,6,0,0,4,2,0,5,0,6,202,60,7,9,0,0,0,0,0,0,0,0,0,0,0,0
34,65mm wz.06 gun,6,0,0,4,2,2,4,0,6,110,60,3,4,0,0,0,0,0,0,0,0,0,0,0,0
35,3in CSH,6,0,0,4,2,5,5,0,6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,47mm L32 Mk.35,6,0,0,3,1,6,2,0,8,45,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
37,3in Mortar,3,0,0,4,1,0,11,0,3,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,17 Pounder Gun,6,0,0,4,2,16,5,0,15,70,70,24,0,0,0,0,0,0,0,0,0,0,0,0,0
39,75L32 Gun,6,0,0,4,2,0,5,0,8,203,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
40,3in Mortar (LR),3,0,0,4,1,0,11,0,3,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,75mm M1897A Gun,6,0,0,4,2,7,5,0,6,60,20,7,9,0,0,0,0,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,290mm Spigot,7,0,0,15,30,0,53,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,75mm wz.36 Gun,6,0,0,5,2,11,5,0,14,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,75mm M3 L40,6,0,0,4,2,10,5,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,7.5cm KwK40 L48,6,0,0,4,2,13,5,0,12,70,50,17,9,0,0,0,0,0,0,0,0,0,0,0,0
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3in Gun (M7),6,0,0,4,2,12,5,0,13,70,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,76mm M1A1 L55,6,0,0,4,2,12,5,0,13,70,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,75mm vz.02 DFG,6,0,0,4,2,7,5,0,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,wz.31 81mm Mrtr,3,0,0,4,1,0,11,0,3,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,82mm BM obr. 37,3,0,0,4,1,0,11,0,3,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,wz.38M Rifle,1,0,0,1,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,9mm MORS SMG,1,0,0,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,18 Pounder FG,6,0,0,5,2,0,7,0,6,200,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
63,25 Pounder GH,6,0,0,5,2,0,7,0,7,202,70,8,11,0,0,0,0,0,0,0,0,0,0,0,0
64,75mm wz02/26 FG,6,0,0,4,2,0,5,0,6,201,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0
65,75mm wz.18/24,6,0,0,4,2,0,5,0,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3.7in CSH,6,0,0,5,2,0,9,0,6,82,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
67,105mm wz.13 FG,7,0,0,5,3,0,11,0,6,202,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
68,105mm M4 L28,7,0,0,5,3,0,11,0,7,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
69,105mm wz.29 FG,7,0,0,5,3,0,11,0,6,206,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
70,100mm 14/19 FH,7,0,0,5,3,0,11,0,6,200,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
71,105mm M2 FH,7,0,0,5,3,0,11,0,6,201,60,7,12,0,0,0,0,0,0,0,0,0,0,0,0
72,4.2in Mortar,3,0,0,4,2,0,15,0,3,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,100mm Canet,7,0,0,5,3,0,11,0,6,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,152mm wz.30 FG,7,0,0,8,4,0,21,0,6,212,40,14,0,0,0,0,0,0,0,0,0,0,0,0,0
75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7.2in Howitzer,7,0,0,10,4,0,27,0,6,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Granaty,2,0,0,3,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,F-1 Grenade,2,0,0,3,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Grenade F1 M.15,2,0,0,3,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Flamethrower,8,0,0,45,0,0,25,0,30,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
84,Satchel Charge,2,0,0,10,18,0,20,0,15,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
85,Molotov,8,0,0,3,4,222,4,0,12,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
86,Granat wz.24 Ob,2,0,0,3,1,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Granat wz.24 Za,2,0,0,3,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mills Bomb,2,0,0,3,1,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Panzerfaust,2,0,0,5,4,222,4,0,2,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
90,PIAT,2,0,0,5,2,222,2,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
91,VB Rifle Grnd,2,0,0,3,1,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Rifle Grenade,2,0,0,3,1,222,5,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7.5mm FM29 LMG,2,0,0,1,0,0,5,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,7.92 wz08/15LMG,2,0,0,1,0,0,5,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,120mm wz.78/31,7,0,0,7,3,0,15,0,6,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,.303in Bren LMG,2,0,12,1,0,0,5,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7.62mm DP LMG,2,0,0,1,0,0,5,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,7.92mm MG42 LMG,2,0,55,1,0,0,10,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,8mm FM14 MMG,3,0,0,1,0,0,5,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,15mm Besa TMG,5,0,0,1,1,3,10,0,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,4.5in Field Gun,7,0,0,6,3,0,13,0,10,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8in Howitzer,7,0,0,11,5,0,31,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,155mm M2 FG,7,0,0,8,4,0,21,0,6,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,75mm Mk.V Gun,6,0,0,4,2,10,5,0,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,220mm wz.32 Mrt,7,0,0,12,5,0,35,0,6,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2in Mortar,3,0,0,3,0,0,5,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,VehFlamethrower,9,0,0,45,0,0,40,0,20,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
109,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,155mm wz.17 FH,7,0,0,8,4,0,21,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,6in 26cwt How,7,0,0,8,4,0,21,0,6,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8mm Lebel Rifle,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,wz.16 Carabine,1,0,0,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Pistol,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.5 Vickers TMG,5,0,0,1,1,1,11,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Vickers HMG,3,0,0,1,0,0,5,0,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,47mm wz.25,6,0,0,3,1,5,2,0,8,46,20,8,4,0,0,0,0,0,0,0,0,0,0,0,0
120,30cal M1919 MMG,3,0,0,1,0,0,5,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,8mm wz.14 MMG,3,0,0,1,0,0,5,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,7.62 Maxim HMG,3,0,0,1,0,0,5,0,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7.92 wz.08 HMG,3,0,0,1,0,0,5,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,7.92wz.10/28HMG,3,0,0,1,0,0,6,0,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Breda CM 20L65,5,0,0,2,1,4,9,0,16,30,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Breda M.38 CMG,5,0,0,1,0,0,5,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Breda M.38 BMG,5,0,0,1,0,0,5,0,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7.9mm Besa BMG,5,0,0,1,0,0,5,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,30 cal BMG,5,0,0,1,0,0,5,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
