rid,name,wclass,size,B17,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
1,M1930 Rifle,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,M.03/14 Carbine,1,0,0,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,0,1,0,0,8,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.92mm MG34 MMG,3,0,0,1,0,0,8,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Mod 91 Carbine,1,0,0,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Breda CM 20L65,5,0,0,2,1,4,9,0,16,30,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20mm Quad AA,4,0,0,2,1,3,19,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2cm KwK 30,19,0,0,2,1,4,10,0,16,30,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25mm SA34 L/72,6,0,0,2,1,5,1,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PPSh-41 SMG,1,0,0,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,37mm L98 AA,4,0,0,2,1,0,13,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm SA17 L21,6,0,0,2,1,0,1,0,6,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,37mm Bofors M36,6,0,0,2,1,5,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37mm L40 Gun,6,0,0,2,1,5,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,37mm PaK 35/36,6,0,0,2,1,5,1,0,11,40,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37mm Gun (M5),6,0,0,2,1,6,1,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40mm Bofors AAG,4,0,0,3,1,7,15,0,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,37mm M6 L57,6,0,0,2,1,6,1,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,47mm SA34 L21,6,0,0,3,1,0,2,0,6,45,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2 Pounder Gun,6,0,0,3,1,7,1,0,13,45,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47L32 Mod.35,6,0,0,3,1,5,2,0,8,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,37mm M36 AAG,4,0,0,2,1,6,14,0,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,37mm M1 AA-Gun,4,0,0,2,1,6,13,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,50mm RM obr 40,3,0,0,3,0,0,5,0,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2in Mortar,3,0,0,3,0,0,5,0,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6 Pounder Gun,6,0,0,3,2,11,3,0,13,50,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0
30,HB 60mm mle 35,3,0,0,4,1,0,7,0,3,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,65mm M06 Cannon,6,0,0,4,2,2,4,0,6,110,60,3,4,0,0,0,0,0,0,0,0,0,0,0,0
32,75mm M.08 Gun,6,0,0,4,2,0,5,0,6,116,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,75mm M1917 FG,6,0,0,4,2,0,5,0,6,201,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
37,3in Stokes M.18,3,0,0,4,1,0,9,0,3,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3in Mortar,3,0,0,4,1,0,11,0,3,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,100mm 14/19 FH,7,0,0,5,3,0,11,0,6,200,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
41,3in Mortar (LR),3,0,0,4,1,0,11,0,3,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,75mm 1919 L/19,7,0,0,5,3,0,11,0,6,180,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,75mm M3 L40,6,0,0,4,2,10,5,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8cm GrW 34,3,0,0,4,1,0,11,0,3,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,76mm M1A1 L55,6,0,0,4,2,12,5,0,13,70,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,75mm PaK97 L36,6,0,0,4,2,7,5,0,9,60,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
56,Brandt 27/31,3,0,0,4,1,0,11,0,3,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,82mm BM obr. 37,3,0,0,4,1,0,11,0,3,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,88mm FlaK 36,6,0,0,5,2,15,7,0,13,90,70,21,10,0,0,0,0,0,0,0,0,0,0,0,0
60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,25 Pounder GH,6,0,0,5,2,0,7,0,7,202,70,8,11,0,0,0,0,0,0,0,0,0,0,0,0
64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3.7in CSH,6,0,0,5,2,0,9,0,6,82,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,105mm M.1925/27,7,0,0,5,3,0,11,0,6,206,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
71,105mm M2 FH,7,0,0,5,3,0,11,0,6,201,60,7,12,0,0,0,0,0,0,0,0,0,0,0,0
72,4.2in Mortar,3,0,0,4,2,0,15,0,3,75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,15cm sIG 33,7,0,0,8,4,0,21,0,6,94,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Satchel Charge,2,0,0,10,18,0,20,0,15,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
85,Molotov,8,0,0,3,4,222,4,0,12,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
86,Anti-Tank Mine,2,0,0,7,2,6,5,0,15,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
87,Hand Grenade,2,0,0,3,1,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Dynamite,2,0,0,7,1,1,10,0,15,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
89,RPG-6 Grenade,2,0,0,3,4,222,4,0,3,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
90,PIAT,2,0,0,5,2,222,2,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
91,VB Rifle Grnd,2,0,0,3,1,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,M9A1 Rifle Grnd,2,0,0,3,1,222,3,0,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
93,Rifle Grenade,2,0,0,3,1,222,5,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
94,6.5mm Breda LMG,2,0,0,1,0,0,4,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Chauchat LMG,2,0,0,1,0,0,4,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,7.35 Breda LMG,2,0,0,1,0,0,5,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,.303in Bren LMG,2,0,12,1,0,0,5,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,7.62mm DP LMG,2,0,0,1,0,0,5,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,6.5mm M1926 LMG,2,0,0,1,0,0,4,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,15mm Besa TMG,5,0,0,1,1,3,10,0,26,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,75mm Mk.V Gun,6,0,0,4,2,10,5,0,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2in Mortar,3,0,0,3,0,0,5,0,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,6in 30cwt How,7,0,0,8,4,0,21,0,6,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Lebel Grn Lnchr,3,0,0,3,1,0,5,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,155mm Schneider,7,0,0,8,4,0,21,0,6,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
