id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,end_mo,exp_mod,mor_mod,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,43,Battalion HQ,0,average,5,force HQ,6,force HQ,1930,1,1946,12,0,0,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,43,Partisans,0,average,2,company,3,infantry,1930,1,1946,12,0,0,1,1,55,1,1021,1,1021,1,1021,1,0,0,0,0,0,0,0,0,0,0
6,43,Partisans B,0,average,2,company,3,infantry,1930,1,1946,12,0,0,1,1,185,1,64,1,1021,1,1021,1,1022,1,0,0,0,0,0,0,0,0
21,43,Partisan Band,0,average,1,platoon,3,infantry,1930,1,1946,12,0,0,1,1,1,1,1,1,13,1,13,1,40,1,0,0,0,0,0,0,0,0
22,43,Partisan Troop,0,average,1,platoon,3,infantry,1930,1,1946,12,0,0,1,1,1,1,1,1,55,1,13,1,40,1,1,1,55,1,223,1,0,0
23,43,Partisan Group,0,average,0,section,3,infantry,1930,1,1946,12,0,0,1,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,43,Pioneers,0,average,0,section,3,infantry,1930,1,1946,12,0,0,29,1,29,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,43,Sniper,0,average,0,section,3,infantry,1930,1,1946,12,0,0,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,43,Scout,0,average,0,section,3,infantry,1930,1,1946,12,3,3,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,43,Scouts,0,average,0,section,3,infantry,1930,1,1946,12,3,3,76,1,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,43,MG Group,0,average,0,section,3,infantry,1930,1,1946,12,0,0,64,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,43,Tank Hunter,0,average,0,section,3,infantry,1930,1,1946,12,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,43,Tank Hunters,0,average,0,section,3,infantry,1930,1,1946,12,0,0,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,43,Motor Scouts,0,average,0,section,1,armor,1930,1,1946,12,3,3,118,1,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,43,Cavalry Band,0,average,2,company,3,infantry,1930,1,1946,12,5,5,87,1,1053,1,1053,1,1053,1,0,0,0,0,0,0,0,0,0,0,0,0
53,43,Cavalry Troop,0,average,1,platoon,3,infantry,1930,1,1946,12,5,5,87,1,87,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,43,Fortifications,0,average,1,platoon,0,default,1930,1,1946,12,0,0,144,1,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,43,AT Gun,0,average,0,section,2,artillery,1930,1,1946,12,0,0,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,43,2 AT Guns,0,average,0,section,2,artillery,1930,1,1946,12,0,0,200,1,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,43,Heavy AT Gun,0,average,0,section,2,artillery,1944,1,1946,12,0,0,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,43,2 Field Guns,0,average,0,section,2,artillery,1930,1,1946,12,0,0,160,1,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,43,4 Field Guns,0,average,0,section,2,artillery,1930,1,1946,12,0,0,160,1,160,1,160,1,160,1,0,0,0,0,0,0,0,0,0,0,0,0
84,43,2 Rockets,0,average,0,section,2,artillery,1943,1,1946,12,0,0,334,1,334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,43,4 Rockets,0,average,0,section,2,artillery,1943,1,1946,12,0,0,334,1,334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,43,AA Guns,0,average,0,section,2,artillery,1942,1,1946,12,0,0,104,1,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,43,AAMG,0,average,0,section,2,artillery,1930,1,1946,12,0,0,100,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,43,Mortars,0,average,0,section,2,artillery,1930,1,1946,12,0,0,185,1,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,43,Tank,0,average,0,section,1,armor,1942,1,1946,12,0,0,267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,43,2 Tanks,0,average,0,section,1,armor,1943,1,1946,12,0,0,268,1,268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,43,Bus,0,average,0,section,4,miscellaneous,1930,1,1946,12,0,0,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
