rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B90,icon_winter,icon_desert,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123
1,M2A4,12,0,3,4,16,177,139,131,52,51,120,0,90,0,120,0,19,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,42,40,13,30310,0,1,0,0,8,0,1,0,6,3,10,98,0,4,0,8,3,0,0,209,209,209,0,4461,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,M3,12,0,3,4,16,177,139,131,52,51,120,0,90,0,120,0,20,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,41,42,50,13,2157,0,2,0,0,8,1,2,0,6,3,12,98,0,4,0,11,3,0,0,209,209,209,0,4461,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M5A1,12,0,3,4,18,177,139,131,74,73,120,0,90,0,120,0,20,6,3,3,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,44,56,13,4469,0,3,0,0,8,1,2,0,6,3,15,114,0,4,0,12,12,0,0,209,209,209,0,3540,4430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,M4A1,13,0,5,5,46,177,140,131,50,40,120,0,90,0,120,0,13,7,4,4,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,44,77,13,514,0,3,0,0,7,1,3,0,13,3,30,1082,0,4,0,12,4,0,0,209,208,209,0,3567,4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,M4A3 (75),13,0,5,5,46,177,140,131,49,48,120,0,90,0,120,0,13,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,46,86,13,8719,0,3,0,0,7,1,6,0,13,3,30,1296,0,4,2,1,12,0,0,209,208,209,0,1086,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M4A2 (Late),13,0,5,5,46,177,140,131,45,45,120,0,90,0,120,0,13,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,44,44,79,13,2477,0,3,0,0,7,1,3,0,13,3,31,1085,0,4,2,2,12,0,0,209,208,209,0,4462,4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M3A1 Satan,17,0,3,4,108,177,0,0,25,0,120,0,0,0,0,0,20,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,45,57,13,8859,0,1,0,0,9,1,1,0,0,2,12,1422,0,4,0,6,12,0,0,209,0,0,0,1422,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,POA-CWS-H5(75),17,0,5,5,46,108,140,131,20,20,22,0,90,0,120,0,13,9,4,4,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,46,81,13,2466,0,3,0,0,7,1,2,0,0,2,23,1407,0,4,0,8,12,0,0,0,208,209,0,1407,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M4 Flail,36,0,5,5,46,177,140,0,49,48,120,0,90,0,0,0,12,11,4,4,9,5,5,2,109,4,4,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,46,146,13,2474,0,3,0,0,7,1,2,0,0,3,24,1076,0,4,0,6,12,0,0,209,208,0,0,1076,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,M4A2 Dozer,37,0,5,5,46,177,140,0,60,37,120,0,90,0,0,0,12,11,4,4,9,5,5,2,109,4,4,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,92,43,46,135,13,4438,0,3,0,0,7,1,3,0,0,3,33,1075,0,4,0,11,12,0,0,209,208,0,0,151,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
