rid,name,wclass,size,B17,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
1,Mexicanski,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Star SI35 SMG,1,0,0,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20mm Quad AA,4,0,0,2,1,3,19,0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Breda CM 20L55,5,0,0,2,1,4,9,0,14,30,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25mm SA34 L/72,6,0,0,2,1,5,1,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,37mm Canon AA,4,0,0,2,1,4,15,0,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm TR mle 16,6,0,0,2,1,0,1,0,6,64,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Arellano 40L27,6,0,0,2,1,4,2,0,7,40,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37mm PTP obr.30,6,0,0,2,1,5,1,0,11,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,37mm Gochkisa,6,0,0,2,1,5,1,0,11,40,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37mm PP obr 15R,6,0,0,2,1,0,1,0,6,64,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40mm Canon AA,4,0,0,3,1,7,15,0,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,45mm PTP obr.32,6,0,0,3,1,6,2,0,11,45,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0
19,37mm PaK 30 L40,6,0,0,2,1,5,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
20,37mm SA17 L21,5,0,0,2,1,0,1,0,6,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47L32 Mod.35,6,0,0,3,1,5,2,0,8,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,47mm L40 Gun,6,0,0,3,1,6,2,0,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,SB 60mm M.35,3,0,0,4,1,0,7,0,3,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Obus 75mm L32,6,0,0,4,2,0,5,0,6,207,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
31,Cannone de 65mm,6,0,0,4,2,2,4,0,6,142,60,3,4,0,0,0,0,0,0,0,0,0,0,0,0
32,75mm M.23 Mrtr,3,0,0,4,1,0,9,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
