rid,name,wclass,size,B17,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
1,M91/30 Rifle,1,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PPSh-41 SMG,1,0,0,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,0,1,0,0,8,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,152mm M1909/30,7,0,0,8,4,0,21,0,6,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.92mm MG34 BMG,5,0,0,1,0,0,8,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20mm TNSh AC,5,0,0,2,1,4,12,0,21,30,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,37mm Puteaux,6,0,0,2,1,0,1,0,6,30,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
11,37mm ZP obr.39,4,0,0,2,1,5,11,0,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm Hotchkiss,6,0,0,2,1,0,1,0,6,64,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13,37mm L45 obr.30,6,0,0,2,1,5,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37mm L46 B-3,6,0,0,2,1,5,1,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,37mm M5 L53,6,0,0,2,1,6,1,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37mm M6 L57,6,0,0,2,1,6,1,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,37mm L45 Bofors,6,0,0,2,1,5,1,0,11,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
18,45mm obr.32/38,6,0,0,3,1,6,2,0,11,45,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0
19,45mm L66 obr.42,6,0,0,3,1,7,2,0,16,45,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2 Pounder Gun,6,0,0,3,1,7,1,0,13,45,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47mm M35 Bohler,6,0,0,3,1,6,2,0,8,40,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3 Pounder Mk.I,6,0,0,3,1,4,2,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5cm KwK 38 L42,6,0,0,3,1,7,3,0,10,50,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5cm KwK 38 L60,6,0,0,3,1,9,3,0,15,50,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0
27,57mm ZiS L73,6,0,0,3,2,11,3,0,18,50,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0
28,57mm ZiS-4 Gun,6,0,0,3,2,11,3,0,18,50,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6 Pounder Gun,6,0,0,3,2,11,3,0,13,50,60,17,0,0,0,0,0,0,0,0,0,0,0,0,0
30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,76mm obr.39 FG,6,0,0,4,2,0,5,0,6,203,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
34,76mm L16 KT-28,6,0,0,4,2,4,5,0,6,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
35,76.2mm PS-3 Gun,6,0,0,4,2,4,5,0,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,76mm obr.02 FG,6,0,0,4,2,0,5,0,6,170,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
37,76mm obr.02/30,6,0,0,4,2,0,5,0,6,203,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
38,76.2mm obr43 IG,6,0,0,4,2,0,5,0,6,84,60,4,5,0,0,0,0,0,0,0,0,0,0,0,0
39,76mm L16 obr.27,6,0,0,4,2,0,5,0,6,170,60,4,5,0,0,0,0,0,0,0,0,0,0,0,0
40,50mm obr.38/40,3,0,0,3,0,0,5,0,3,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,75mm M2 L31,6,0,0,4,2,8,5,0,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,76mm L51 obr.36,6,0,0,4,2,12,5,0,13,60,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0
44,75mm M3 L37,6,0,0,4,2,10,5,0,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,75mm M3 L40,6,0,0,4,2,10,5,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7.5cm KwK40 L43,6,0,0,4,2,12,5,0,11,70,50,16,9,0,0,0,0,0,0,0,0,0,0,0,0
47,76.2mm K/DRP RG,3,0,0,4,2,0,5,0,9,140,50,8,0,0,0,0,0,0,0,0,0,0,0,0,0
48,76.2mm L31 F-32,6,0,0,4,2,8,5,0,8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,76.2mm L10 L/26,6,0,0,4,2,6,5,0,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,76.2mm L30 L-11,6,0,0,4,2,8,5,0,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,76.2mm L41 F-34,6,0,0,4,2,10,5,0,10,60,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0
52,76mm ZiS3 obr42,6,0,0,4,2,11,5,0,13,60,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0
53,76mm M1 L53,6,0,0,4,2,12,5,0,14,70,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0
