rid,name,wclass,size,B17,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Breda 20mm AA,4,0,0,2,1,4,9,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,.303 Carbine,1,0,11,1,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Breda CM 20L65,19,0,0,2,1,4,9,0,16,30,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20mm Polsten,5,0,0,2,1,3,12,0,18,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25mm SA34 L/72,6,0,0,2,1,5,1,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20mm Polsten AA,4,0,0,2,1,3,12,0,18,30,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,37mm M1 AA-Gun,4,0,0,2,1,6,13,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.5 pdr AA-Gun,4,0,0,2,1,4,11,0,13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37mm Mk.35/36,6,0,0,2,1,5,1,0,11,40,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
15,37mm MkI Bofors,6,0,0,2,1,5,1,0,10,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37mm Gun (M5),6,0,0,2,1,6,1,0,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,QF 2-pdr AA Gun,4,0,0,3,1,2,14,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,37mm Gun (M6),6,0,0,2,1,6,1,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,37mm LittleJohn,6,0,0,2,0,8,0,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2 Pounder Gun,6,0,0,3,1,7,1,0,13,45,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47mm L32 Mk.35,6,0,0,3,1,6,2,0,8,45,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
22,3 Pounder Mk.II,6,0,0,3,1,5,2,0,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3 Pounder Mk.I,6,0,0,3,1,4,2,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3 Pounder Mk.3,6,0,0,3,1,6,2,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,40mm Bofors AAG,4,0,0,3,1,7,15,0,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
