id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,ew,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,37,LT vz.34,132,light tank,2,armor,3,track,1935,12,1940,6,3,3,3,37,12,41,0,2,2,n/a,0,8,6,10,0,0,13,24,48,0,0,178,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,42,0,0,0,0,0,0,0,3701,0,1596,1596,1794
2,37,LT vz.35,132,light tank,2,armor,3,track,1936,12,1939,3,3,3,3,36,12,42,0,2,2,n/a,0,8,6,10,0,0,13,54,24,0,0,178,120,0,0,0,0,131,120,0,0,0,0,0,0,0,0,0,3,2,2,3,2,2,1,49,0,0,0,0,0,0,0,2324,0,473,4436,4487
3,37,LT vz.38,155,prototype tank,2,armor,3,track,1938,3,1941,12,3,4,3,40,13,50,0,2,2,n/a,0,8,6,10,0,0,16,40,35,0,5,156,120,0,0,0,0,126,120,0,0,0,0,0,0,0,0,0,3,2,2,3,2,2,1,29,0,0,0,0,0,0,0,2323,0,1046,4437,4488
4,37,ST vz.39,155,prototype tank,2,armor,3,track,1938,10,1941,12,3,4,3,45,13,50,0,2,2,n/a,0,8,6,10,0,0,24,30,35,0,5,179,120,0,0,0,0,130,120,0,0,0,0,0,0,0,0,0,5,3,2,5,3,2,1,29,0,0,0,0,0,0,0,4341,0,475,475,475
6,37,FT-17,140,infantry tank,2,armor,3,track,1930,1,1936,9,2,2,3,22,6,10,0,1,0,n/a,0,9,0,10,0,0,211,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,29,0,0,0,0,0,0,0,2156,0,4384,4383,4387
8,37,Tancik vz.33,126,tankette,2,armor,3,track,1934,2,1939,3,1,2,2,15,12,10,0,0,0,n/a,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,133,120,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,29,0,0,0,0,0,0,0,580,0,2757,2757,2759
9,37,Dragoons,118,cavalry,1,cavalry,0,default,1930,1,1939,3,2,10,0,18,12,0,0,0,0,n/a,0,9,0,25,1,0,157,80,0,0,0,144,80,0,87,20,0,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,9310,0,0,0,0
10,37,Cavalry,118,cavalry,1,cavalry,0,default,1943,11,1946,12,2,10,0,20,12,10,0,0,0,n/a,0,9,0,25,1,0,1,80,0,0,0,2,80,0,87,20,0,184,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,9310,0,0,0,0
11,37,Cavalry,118,cavalry,1,cavalry,0,default,1943,11,1946,12,2,10,0,18,12,10,0,0,0,n/a,0,9,0,25,1,0,1,80,0,0,0,2,80,0,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,9310,0,0,0,0
12,37,Pack Mules,305,pack animals,10,transport,0,default,1930,1,1946,12,2,4,0,8,7,0,0,0,0,n/a,0,0,109,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,30012,0,748,748,748
13,37,Tatra Truck,295,light truck,10,transport,2,wheel (AT),1930,1,1939,3,2,1,0,9,16,10,0,0,0,n/a,0,0,112,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,8903,0,3176,3177,3178
14,37,Cavalry Mounts,123,cavalry mounts,1,cavalry,0,default,1930,1,1946,12,2,4,0,13,12,0,0,0,0,n/a,0,9,10,10,1,0,144,60,0,0,0,87,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,8708,0,448,448,448
