id,name,wclass,wclass,size,warhead,kill,pen_AP,pen_HE,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
0,SPWAW,0,SPWOOB_WCLASS_UNKNOWN,0,0,0,0,0,0,0,0,0,0
2,3 inch M7 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,5,142,27,0,196,96,207,120
3,7.92mm MG34 LMG,2,SPWOOB_WCLASS_INF_SEC,2,1,9,0,0,0,0,36,64,0
4,7.92mm MG34 MMG,3,SPWOOB_WCLASS_TEAM,3,1,12,0,0,0,0,44,100,0
5,7.92mm MG42 MMG,3,SPWOOB_WCLASS_TEAM,3,1,14,0,0,0,0,52,140,0
9,25mm SA-L Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,2,40,9,0,0,50,120,0
11,37mm FlaK36/43,4,SPWOOB_WCLASS_AA,6,2,11,44,12,0,0,60,184,0
12,37mm SA18 Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,4,27,9,0,0,32,80,0
13,37mm M5 Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,4,71,12,0,86,44,120,40
15,94mm MkII L/50 ,4,SPWOOB_WCLASS_AA,12,5,7,95,28,0,0,108,230,0
16,37mm M6 Gun,5,SPWOOB_WCLASS_SML_GUN,6,3,8,77,13,0,91,44,140,68
17,40mm Bofors Gun,4,SPWOOB_WCLASS_AA,6,3,11,56,26,0,0,60,207,0
20,2pdr OQF Mk IX,5,SPWOOB_WCLASS_SML_GUN,6,2,0,60,0,0,108,60,128,40
21,47mm C 47 L/30 ,5,SPWOOB_WCLASS_SML_GUN,7,3,3,57,13,0,0,52,120,0
24,60mm C 60 L/50,5,SPWOOB_WCLASS_SML_GUN,7,3,4,69,18,0,0,44,160,0
29,6pdr OQF Mk3,5,SPWOOB_WCLASS_SML_GUN,7,3,4,98,22,0,148,72,160,160
30,60mm mle 35 Mtr,3,SPWOOB_WCLASS_TEAM,4,3,5,0,9,0,0,16,136,10
33,75mm L/30 GP,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,92,27,45,0,64,214,0
37,3in OML Mortar,3,SPWOOB_WCLASS_TEAM,5,5,7,0,12,0,0,16,208,20
38,17pdr OQF Gun,6,SPWOOB_WCLASS_MDM_GUN,9,4,5,184,29,0,251,140,207,192
39,75mm M6 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,98,25,0,0,68,160,0
40,50mm DBT Mortar,3,SPWOOB_WCLASS_TEAM,2,3,4,0,8,0,0,8,52,10
43,10 kg Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,5,8,0,25,0,0,12,4,0
44,75mm M3 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,102,25,0,0,68,160,0
45,75mm M3 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,102,25,0,0,68,160,0
49,76mm L9 FRC,3,SPWOOB_WCLASS_TEAM,8,4,6,69,24,0,0,28,180,0
53,76mm M1A1 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,5,144,27,0,196,100,207,140
54,77mm Mle 30 GP,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,57,23,0,0,48,220,0
55,Brandt 81mm Mrt,3,SPWOOB_WCLASS_TEAM,5,5,8,0,16,0,0,16,207,20
56,8cm GrW34 Mtr,3,SPWOOB_WCLASS_TEAM,5,5,8,0,18,0,0,16,207,20
57,70mm Van Deuren,3,SPWOOB_WCLASS_TEAM,6,4,6,0,15,0,0,0,64,24
63,25pdr QF GH,7,SPWOOB_WCLASS_LRG_GUN,10,5,8,87,20,0,0,56,216,0
65,90mm M3 Gun,7,SPWOOB_WCLASS_LRG_GUN,12,5,7,185,35,0,232,124,208,200
68,105mm L/28 M-13,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,74,34,85,0,48,228,40
70,105mm M4 Gun,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,84,37,128,0,56,160,0
71,105mm M1/M2 FH,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,74,34,85,0,48,222,40
72,4.2in Mortar,3,SPWOOB_WCLASS_TEAM,6,6,10,0,22,0,0,16,211,20
73,120mm sGrW42,3,SPWOOB_WCLASS_TEAM,6,7,12,0,24,0,0,16,215,20
74,170mm L/40 Krup,7,SPWOOB_WCLASS_LRG_GUN,12,11,20,0,61,0,0,34,229,80
75,5.5in Gun Mk2,7,SPWOOB_WCLASS_LRG_GUN,12,8,13,0,47,0,0,56,227,0
76,7.2in Howitzer,7,SPWOOB_WCLASS_LRG_GUN,12,11,22,0,56,0,0,20,229,40
77,220mm L/28 M-20,7,SPWOOB_WCLASS_LRG_GUN,14,13,27,0,72,0,0,16,223,80
78,280mm L/40 BrSK,7,SPWOOB_WCLASS_LRG_GUN,17,19,47,0,102,0,0,0,211,0
79,150mm L/17sFH13,7,SPWOOB_WCLASS_LRG_GUN,12,9,16,0,52,0,0,36,225,40
80,305mm MkII Vkrs,7,SPWOOB_WCLASS_LRG_GUN,18,20,51,0,106,0,0,0,212,0
81,155mm M1A1 FG,7,SPWOOB_WCLASS_LRG_GUN,12,9,17,0,58,0,0,68,229,80
82,6pdr OQF Mk4/5L,5,SPWOOB_WCLASS_SML_GUN,7,3,4,112,22,0,158,76,160,144
83,Flamethrower,8,SPWOOB_WCLASS_FLAME_INF,2,15,15,0,150,0,0,4,4,0
84,Satchel Charge,2,SPWOOB_WCLASS_INF_SEC,2,10,12,222,20,150,0,60,4,0
85,StHgr 24,2,SPWOOB_WCLASS_INF_SEC,1,2,10,0,19,0,0,4,4,0
86,Anti-Tank Mine,2,SPWOOB_WCLASS_INF_SEC,2,10,0,222,0,100,0,0,4,0
87,Mills Grenade,2,SPWOOB_WCLASS_INF_SEC,1,2,10,0,19,0,0,4,4,0
88,M9 Bazooka,2,SPWOOB_WCLASS_INF_SEC,3,4,8,222,0,110,0,8,20,0
89,Panzerfaust 30,2,SPWOOB_WCLASS_INF_SEC,4,4,2,222,0,160,0,4,4,0
90,PIAT,2,SPWOOB_WCLASS_INF_SEC,3,4,2,222,0,130,0,4,8,0
91,Incendiary Bomb,8,SPWOOB_WCLASS_FLAME_INF,1,3,2,222,55,55,0,4,4,0
92,Panzerschreck,2,SPWOOB_WCLASS_INF_SEC,4,4,2,222,0,185,0,8,16,0
93,TNT,2,SPWOOB_WCLASS_INF_SEC,2,10,12,0,20,80,0,4,4,0
94,Schiessbecher30,2,SPWOOB_WCLASS_INF_SEC,2,2,4,222,4,35,0,4,16,0
95,6.5mm M08/15 ,2,SPWOOB_WCLASS_INF_SEC,1,1,6,0,0,0,0,28,52,0
96,81mm M1 Mortar,3,SPWOOB_WCLASS_TEAM,5,5,8,0,18,0,0,16,208,20
97,.303 Bren LMG,2,SPWOOB_WCLASS_INF_SEC,2,1,6,0,0,0,0,32,60,0
98,8in Howitzer,7,SPWOOB_WCLASS_LRG_GUN,12,12,24,0,60,0,0,20,229,40
99,7.92mm MG42 LMG,2,SPWOOB_WCLASS_INF_SEC,2,1,10,0,0,0,0,36,72,0
100,8mm FM14 HMG,3,SPWOOB_WCLASS_TEAM,4,1,9,0,0,0,0,36,100,0
101,15mm Besa TMG,5,SPWOOB_WCLASS_SML_GUN,5,1,11,28,28,0,0,40,160,0
102,4.5in OQF FH,7,SPWOOB_WCLASS_LRG_GUN,12,7,11,0,38,0,0,48,216,40
103,8in M1 Howitzer,7,SPWOOB_WCLASS_LRG_GUN,12,12,24,0,63,0,0,20,229,40
105,75mm OQF MV,6,SPWOOB_WCLASS_MDM_GUN,8,4,5,106,25,0,0,84,192,0
106,.50cal M2-HB,3,SPWOOB_WCLASS_TEAM,4,1,16,23,23,0,0,60,160,0
107,2in Mortar,3,SPWOOB_WCLASS_TEAM,2,3,4,0,9,0,0,16,40,0
108,Flame Projector,9,SPWOOB_WCLASS_FLAME_VHC,3,20,20,0,200,0,0,8,8,0
110,155mm L/30 M-17,7,SPWOOB_WCLASS_LRG_GUN,9,9,17,0,52,0,0,48,225,40
111,6in B.L. L/15,7,SPWOOB_WCLASS_LRG_GUN,12,9,16,0,50,0,0,32,225,40
113,9mm Walther P38,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,4,4,0
114,9mm FN HP35,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,4,4,0
115,Twin Maxim AA,4,SPWOOB_WCLASS_AA,3,1,15,0,0,0,0,28,120,0
116,No.68 ATRG,2,SPWOOB_WCLASS_INF_SEC,2,2,8,222,0,50,0,8,16,0
117,.30cal FN FM/D,2,SPWOOB_WCLASS_INF_SEC,1,1,6,0,0,0,0,28,64,0
118,.303 Vickers MG,3,SPWOOB_WCLASS_TEAM,4,1,14,0,0,0,0,48,100,0
120,.30cal M1919A4,3,SPWOOB_WCLASS_TEAM,4,1,10,0,0,0,0,48,80,0
121,.30cal M1917A1,3,SPWOOB_WCLASS_TEAM,4,1,13,0,0,0,0,52,100,0
122,7.62 Maxim HMG,3,SPWOOB_WCLASS_TEAM,4,1,13,0,0,0,0,32,120,0
130,7.9mm Besa BMG,5,SPWOOB_WCLASS_SML_GUN,3,1,8,0,0,0,0,28,32,0
131,.30cal BMG,5,SPWOOB_WCLASS_SML_GUN,3,1,8,0,0,0,0,24,32,0
133,.303 Bren BMG,5,SPWOOB_WCLASS_SML_GUN,3,1,6,0,0,0,0,28,32,0
134,.55 Boys ATR,2,SPWOOB_WCLASS_INF_SEC,2,2,1,26,0,0,0,24,40,0
136,.303 SMLE No.4,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,20,24,0
137,.303 Vickrs CMG,5,SPWOOB_WCLASS_SML_GUN,3,1,10,0,0,0,0,48,120,0
138,7.62mm Maxim AA,4,SPWOOB_WCLASS_AA,3,1,4,0,0,0,0,28,80,0
139,.30cal M1917 AA,4,SPWOOB_WCLASS_AA,3,1,7,0,0,0,0,48,100,0
140,.50cal M2-HB AA,4,SPWOOB_WCLASS_AA,4,1,15,23,23,0,0,60,100,0
142,20mm Solothurn,2,SPWOOB_WCLASS_INF_SEC,2,2,0,32,0,0,0,32,60,0
143,9mm FN M.1922,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,4,4,0
145,SMLE No4 MkI(T),1,SPWOOB_WCLASS_INF_PRM,1,1,5,0,0,0,0,60,80,0
146,6.5mm Sniper,1,SPWOOB_WCLASS_INF_PRM,1,1,4,0,0,0,0,60,80,0
147,20mm Madsen AA,4,SPWOOB_WCLASS_AA,222,2,14,38,12,0,0,56,160,0
148,.303 Bren AAMG,4,SPWOOB_WCLASS_AA,3,1,5,0,0,0,0,36,80,0
150,60mm M19 Mortar,3,SPWOOB_WCLASS_TEAM,4,3,5,0,9,0,0,16,64,10
152,GewPzGr.30/1,2,SPWOOB_WCLASS_INF_SEC,2,2,6,222,6,75,0,8,16,0
157,8mm Kar 98k,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,48,0
158,9mm MP38/40,1,SPWOOB_WCLASS_INF_PRM,1,1,3,0,0,0,0,8,12,0
159,8mm Kar 98k,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,24,0
160,.303 MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,8,1,10,0,0,24,24,0
163,12.7mm MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,16,1,18,0,0,24,24,0
164,.50cal MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,15,1,18,0,0,24,24,0
166,20mm Cannon,11,SPWOOB_WCLASS_AIRCRAFT,0,2,6,0,25,0,0,20,24,0
174,60 lb Rocket,11,SPWOOB_WCLASS_AIRCRAFT,0,7,8,0,32,0,0,0,24,0
175,5 inch Rocket+,11,SPWOOB_WCLASS_AIRCRAFT,0,8,14,0,46,0,0,0,24,0
176,.30cal BMG x2,5,SPWOOB_WCLASS_SML_GUN,2,1,12,0,0,0,0,16,20,0
177,.30cal CMG,5,SPWOOB_WCLASS_SML_GUN,2,1,9,0,0,0,0,48,120,0
178,.30cal CMG x2,5,SPWOOB_WCLASS_SML_GUN,2,1,16,0,0,0,0,48,120,0
179,7.92mm Besa CMG,5,SPWOOB_WCLASS_SML_GUN,2,1,9,0,0,0,0,48,120,0
181,250 lb Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,20,29,0,75,0,0,16,4,0
183,.30cal FN MMG,2,SPWOOB_WCLASS_INF_SEC,3,1,8,0,0,0,0,36,120,0
184,.30cal FN MG,3,SPWOOB_WCLASS_TEAM,3,1,8,0,0,0,0,36,120,0
185,7.65mm M30 LMG,2,SPWOOB_WCLASS_INF_SEC,2,1,6,0,0,0,0,28,48,0
186,7.65mm M30 LMG,1,SPWOOB_WCLASS_INF_PRM,2,1,6,0,0,0,0,28,48,0
196,7.65mm FN30 CMG,5,SPWOOB_WCLASS_SML_GUN,2,1,9,0,0,0,0,36,100,0
197,7.5mm FM14 TMG,5,SPWOOB_WCLASS_SML_GUN,2,1,9,0,0,0,0,32,120,0
205,7.65mm M89/36,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,44,0
206,Vickers "K" AA,4,SPWOOB_WCLASS_AA,3,1,6,0,0,0,0,28,52,0
207,77mm QF Gun,6,SPWOOB_WCLASS_MDM_GUN,9,4,5,152,26,0,183,116,207,180
208,7.65mm M89/36,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,24,0
212,7.5mm mle31 CMG,5,SPWOOB_WCLASS_SML_GUN,2,1,9,0,0,0,0,36,100,0
216,SMLE No.4 x4,2,SPWOOB_WCLASS_INF_SEC,1,1,4,0,0,0,0,28,52,0
217,Vickrs "K" Twin,4,SPWOOB_WCLASS_AA,3,1,15,0,0,0,0,36,60,0
222,60mm M2 Mortar,2,SPWOOB_WCLASS_INF_SEC,3,3,5,0,9,0,0,16,80,8
223,2in Mortar,2,SPWOOB_WCLASS_INF_SEC,2,3,4,0,9,0,0,8,40,0
225,.50cal Twin AA,4,SPWOOB_WCLASS_AA,5,1,25,23,23,0,0,60,160,0
227,.45 M2 SMG,1,SPWOOB_WCLASS_INF_PRM,1,1,4,0,0,0,0,4,12,0
228,.45 M3 SMG,1,SPWOOB_WCLASS_INF_PRM,1,1,3,0,0,0,0,4,8,0
229,Misc Small Arms,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,8,12,0
230,2pdr OQF late,5,SPWOOB_WCLASS_SML_GUN,6,2,3,76,0,0,129,76,160,40
231,7.65mm M1889,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,12,20,0
232,75mm L/52 Krupp,4,SPWOOB_WCLASS_AA,9,4,6,50,23,75,0,48,216,0
233,13mm TMG,5,SPWOOB_WCLASS_SML_GUN,3,1,13,21,21,0,0,20,40,0
235,.45 Thompson,1,SPWOOB_WCLASS_INF_PRM,1,1,4,0,0,0,0,8,16,0
237,9mm Sten Mk2s,1,SPWOOB_WCLASS_INF_PRM,1,1,3,0,0,0,0,4,12,0
239,50 kg Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,15,19,0,40,0,0,12,4,0
240,110 kg Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,20,30,0,80,0,0,16,4,0
241,7.65mm M1889 x4,2,SPWOOB_WCLASS_INF_SEC,1,1,4,0,0,0,0,12,40,0
242,.303 SMLE No.4,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,20,48,0
243,7.65mm M1889,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,12,40,0
244,120mm M-31 FG,7,SPWOOB_WCLASS_LRG_GUN,12,7,12,67,40,0,0,48,225,0
245,75mm 1897A4,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,58,25,0,0,40,216,60
246,.303 SMLE No.4,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,20,24,0
247,Bayonet,1,SPWOOB_WCLASS_INF_PRM,1,1,4,0,0,0,0,4,4,0
248,7.65mm Carbine,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,12,30,0
249,76mm Vickers AA,4,SPWOOB_WCLASS_AA,8,4,6,98,24,0,0,64,230,0
