id,name,wclass,wclass,size,warhead,kill,pen_AP,pen_HE,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
0,SPWAW,0,SPWOOB_WCLASS_UNKNOWN,0,0,0,0,0,0,0,0,0,0
1,Misc Small Arms,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,8,12,0
2,Type 100 SMG,1,SPWOOB_WCLASS_INF_PRM,1,1,3,0,0,0,0,4,16,0
3,Bergmann SMG,1,SPWOOB_WCLASS_INF_PRM,1,1,3,0,0,0,0,8,16,0
4,57mm Type 90,5,SPWOOB_WCLASS_SML_GUN,7,3,4,49,22,55,0,48,110,0
12,37mm Type 11 IG,5,SPWOOB_WCLASS_SML_GUN,6,2,3,0,11,0,0,24,80,0
13,37mm Type 94,5,SPWOOB_WCLASS_SML_GUN,6,2,3,37,11,0,0,40,120,0
14,37mm Type 98,5,SPWOOB_WCLASS_SML_GUN,6,2,2,41,11,0,0,40,160,0
16,37mm L53 Gun M3,5,SPWOOB_WCLASS_SML_GUN,6,2,4,69,12,0,0,44,120,0
18,37mm Type 100,5,SPWOOB_WCLASS_SML_GUN,6,2,3,41,11,0,0,40,160,0
19,37mm Type 1,5,SPWOOB_WCLASS_SML_GUN,6,2,3,48,11,0,0,40,160,0
20,37mm Type 94 AT,5,SPWOOB_WCLASS_SML_GUN,6,2,2,37,11,0,0,40,160,0
23,47mm Type 1 Gun,5,SPWOOB_WCLASS_SML_GUN,7,3,3,83,16,0,0,56,120,0
31,70mm Type 92 IG,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,39,19,88,0,40,207,0
32,75mm Type 41 IG,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,43,21,100,0,36,207,0
33,75mm Type 38 Hw,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,66,23,100,0,36,220,40
34,75mm T94 Mtn Hw,6,SPWOOB_WCLASS_MDM_GUN,8,4,5,0,21,100,0,40,220,20
35,75mm Type 38 Hw,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,66,23,100,0,36,229,40
36,Type 3 76mm AA,4,SPWOOB_WCLASS_AA,9,4,7,74,25,0,0,64,180,0
39,75mm Type 99,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,84,24,0,0,48,120,0
44,75mm Type 90 Hw,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,89,24,45,0,52,231,40
45,75mm Type 3 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,98,25,0,0,52,160,0
48,75mm Type 5 Gun,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,145,26,0,198,84,210,200
50,75mm Bofors FH,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,0,23,45,0,40,215,40
56,81mm Type97 Mtr,3,SPWOOB_WCLASS_TEAM,5,5,7,0,18,0,0,16,208,20
66,150mm Type 4 Hw,7,SPWOOB_WCLASS_LRG_GUN,12,9,15,0,51,150,0,48,217,40
68,105mm Type 91 H,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,72,47,120,0,48,228,40
71,105mm Type 92,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,0,38,0,0,48,231,40
