id,nation,name,type,type,uclass,uclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,mclass,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_FH,arm_SH,arm_RH,arm_FT,arm_ST,arm_RT,arm_TP,arm_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT
1,75,Type 91 RailCar,78,armored car,8,recon,1931,1,1949,0,3,6,2,24,22,0,20,0,4,2,0,9,4,228,0,0,206,50,0,0,0,0,0,0,213,40,0,213,40,0,24,16,8,12,12,12,8,60,5,0,0,18,18,18
2,75,Type 92 AmrdCar,78,armored car,8,recon,1933,1,1940,0,2,4,1,18,26,0,20,0,4,2,0,5,4,226,0,0,118,90,0,0,0,0,0,0,206,50,0,206,50,0,16,11,11,11,11,11,8,60,5,0,15,12,22,22
3,75,Ammo Crates,110,ammo carrier,14,other,1930,1,1949,0,0,1,0,40,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,75,Type 92 Tkt,22,light tank,2,armor,1933,1,1940,0,2,3,1,23,22,0,10,0,4,2,0,8,4,224,0,0,244,90,0,0,0,0,0,0,0,0,0,233,60,0,6,6,4,6,6,4,4,50,50,12,22,0,7,7
6,75,Type 94 Tkt,22,light tank,2,armor,1935,1,1949,0,2,2,1,19,24,0,11,0,4,2,0,8,4,226,0,0,245,90,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,12,10,10,6,50,50,12,22,0,7,7
7,75,Type 97B Te-Ke,22,light tank,2,armor,1938,1,1949,0,2,2,1,32,26,0,11,0,4,2,0,4,4,226,0,0,13,60,36,0,0,0,0,0,0,0,0,0,0,0,12,10,8,12,16,10,6,50,56,24,15,5,22,22
8,75,Type 97A Te-Ke,22,light tank,2,armor,1938,1,1949,0,2,2,1,21,26,0,10,0,4,2,0,8,4,226,0,0,245,90,0,0,0,0,0,0,0,0,0,0,0,0,12,10,8,12,16,10,6,50,56,24,15,5,22,22
10,75,Renault FT,29,infantry tank,2,armor,1930,2,1933,0,2,2,1,3,6,0,12,0,4,2,0,3,0,226,0,0,227,90,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,10,8,8,4,0,52,0,0,0,0,0
11,75,Type 95 Ha-Go,23,medium tank,2,armor,1937,1,1939,0,2,3,3,37,28,0,10,0,4,2,0,4,6,226,0,0,13,80,39,0,0,0,0,0,0,0,0,209,90,0,12,12,8,12,12,12,6,50,48,15,10,15,18,15
12,75,Type 95 Ha-Go,23,medium tank,2,armor,1940,1,1949,0,2,3,3,42,28,0,10,0,4,2,0,4,6,226,0,0,14,80,39,0,0,0,0,0,0,0,0,209,90,0,12,12,8,12,12,12,6,50,48,15,10,15,18,15
13,75,Type 98 Ke-Ni,23,medium tank,2,armor,1942,3,1949,0,2,3,2,45,32,0,12,0,4,2,0,4,6,226,0,0,18,72,35,0,0,0,0,0,0,0,0,209,90,0,16,12,10,16,16,16,6,50,44,23,52,26,18,15
14,75,Type 2 Ke-To,23,medium tank,2,armor,1944,7,1949,0,2,3,2,45,28,0,12,0,4,2,0,4,6,226,0,0,19,72,35,0,0,0,0,0,0,0,0,209,90,0,16,12,10,16,16,16,6,60,44,23,52,26,18,15
15,75,Type 4 Ke-Nu,23,medium tank,2,armor,1945,1,1949,0,2,3,2,57,26,0,12,0,4,2,0,4,6,226,0,0,212,55,27,20,0,0,0,0,0,0,0,209,90,0,12,12,8,25,25,25,10,60,48,15,10,20,10,10
17,75,M3 Keisensha,35,captured tank,2,armor,1942,1,1946,0,2,4,2,64,34,0,13,0,4,2,0,6,6,226,0,0,16,33,70,0,0,139,90,0,177,90,0,131,90,0,44,25,25,56,25,25,12,50,18,0,16,5,5,5
20,75,Type 89 Yi-Go,26,main battle tank,2,armor,1932,1,1943,0,3,4,3,44,16,0,10,0,4,2,0,5,6,226,0,0,4,60,40,0,0,0,0,0,0,0,0,230,60,0,17,15,15,17,17,17,10,50,28,24,36,24,18,18
