id,name,wclass,wclass,size,warhead,kill,pen_AP,pen_HE,pen_HEAT,pen_APCR,accuracy,range_max,range_APCR
0,SPWAW,0,SPWOOB_WCLASS_UNKNOWN,0,0,0,0,0,0,0,0,0,0
2,75mm M3 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,102,25,0,0,68,160,0
11,37mm M1A2 AA,4,SPWOOB_WCLASS_AA,6,2,11,44,12,0,0,64,180,0
16,37mm M3 Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,4,69,12,0,0,44,120,0
17,40mm Bofors Gun,4,SPWOOB_WCLASS_AA,6,3,11,56,26,0,0,60,207,0
18,37mm M6 Gun,5,SPWOOB_WCLASS_SML_GUN,6,2,4,77,13,0,91,44,140,68
30,60mm M2 Mortar,3,SPWOOB_WCLASS_TEAM,4,3,5,0,9,0,0,0,160,10
33,75mm M1A1 Pack,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,0,23,0,0,48,216,40
35,3in Howitzer,6,SPWOOB_WCLASS_MDM_GUN,9,4,6,60,24,0,0,40,216,0
41,75mm 1897A2 FH,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,58,25,0,0,40,216,60
45,75mm M3 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,6,102,25,0,0,68,160,0
56,81mm M1 Mortar,3,SPWOOB_WCLASS_TEAM,5,5,7,0,18,0,0,0,207,20
59,76mm M1A1 Gun,6,SPWOOB_WCLASS_MDM_GUN,8,4,5,144,27,0,196,100,207,140
71,105mm M2A1 FH,7,SPWOOB_WCLASS_LRG_GUN,12,6,10,74,34,85,0,48,222,40
81,Torpedo,17,SPWOOB_WCLASS_ASM,12,15,100,222,0,210,0,80,80,8
83,Flamethrower,8,SPWOOB_WCLASS_FLAME_INF,2,15,15,0,150,0,0,4,4,0
84,Satchel Charge,2,SPWOOB_WCLASS_INF_SEC,2,10,12,222,20,150,0,60,4,0
85,Gasoline Bomb,8,SPWOOB_WCLASS_FLAME_INF,1,3,2,222,55,55,0,4,4,0
87,MkIIA Frag Gren,2,SPWOOB_WCLASS_INF_SEC,1,2,10,0,19,0,0,4,4,0
93,M1 RG Launcher,2,SPWOOB_WCLASS_INF_SEC,2,2,10,222,19,25,0,8,16,0
94,ATRG M9A1,2,SPWOOB_WCLASS_INF_SEC,2,2,4,222,6,85,0,8,16,0
106,.50cal M2-HB,3,SPWOOB_WCLASS_TEAM,4,1,16,23,23,0,0,40,160,0
108,Flame Projector,9,SPWOOB_WCLASS_FLAME_VHC,3,20,20,0,200,0,0,8,8,0
110,155mm M1 FG,7,SPWOOB_WCLASS_LRG_GUN,9,9,17,0,58,0,0,48,225,40
112,.30 M1 Garand,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,16,48,0
113,.30 M1918A2 BAR,2,SPWOOB_WCLASS_INF_SEC,1,1,5,0,0,0,0,28,56,0
114,.45 Colt M1911,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,4,4,0
120,.30cal M1919A4,3,SPWOOB_WCLASS_TEAM,4,1,10,0,0,0,0,48,100,0
121,.30cal M1917A1,3,SPWOOB_WCLASS_TEAM,4,1,13,0,0,0,0,52,100,0
131,.30cal BMG,5,SPWOOB_WCLASS_SML_GUN,3,1,8,0,0,0,0,28,32,0
139,.30cal M1917 AA,4,SPWOOB_WCLASS_AA,3,1,7,0,0,0,0,48,100,0
140,.50cal M2-HB AA,4,SPWOOB_WCLASS_AA,4,1,15,23,23,0,0,36,100,0
144,.30 M1 Carbine,1,SPWOOB_WCLASS_INF_PRM,1,1,3,0,0,0,0,8,24,0
146,.30-06 M1903A4,1,SPWOOB_WCLASS_INF_PRM,1,1,5,0,0,0,0,60,80,0
147,20mm Oerlikon,4,SPWOOB_WCLASS_AA,222,2,14,38,12,0,0,72,160,0
150,14in M1909 CG,10,SPWOOB_WCLASS_NAVAL,99,19,46,0,135,0,0,16,231,0
151,12in M1900 CG,10,SPWOOB_WCLASS_NAVAL,99,16,38,0,110,0,0,16,231,0
152,10in M1900 CG,10,SPWOOB_WCLASS_NAVAL,99,13,30,0,86,0,0,16,231,0
153,8in Gun Mk VI,10,SPWOOB_WCLASS_NAVAL,99,11,22,0,74,0,0,16,231,0
154,6in M1905 CG,10,SPWOOB_WCLASS_NAVAL,99,8,14,0,54,0,0,24,231,0
155,3in M1903 CG,10,SPWOOB_WCLASS_NAVAL,99,4,7,137,27,0,0,32,225,0
156,12in M1912 Mrtr,7,SPWOOB_WCLASS_LRG_GUN,11,16,40,0,110,0,0,16,226,80
159,7.62mm MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,10,1,10,0,0,24,24,0
162,.30cal M2 MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,8,1,10,0,0,24,24,0
164,.50cal M2 MG,11,SPWOOB_WCLASS_AIRCRAFT,0,1,15,1,18,0,0,24,24,0
175,5in Rocket+,11,SPWOOB_WCLASS_AIRCRAFT,0,8,14,0,46,0,0,0,24,0
177,.30cal CMG,5,SPWOOB_WCLASS_SML_GUN,2,1,9,0,0,0,0,48,120,0
178,3in M3 DP Gun,4,SPWOOB_WCLASS_AA,8,4,7,137,27,0,0,84,209,0
180,110 lb Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,15,19,0,40,0,0,12,4,0
181,250 lb Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,20,29,0,75,0,0,16,4,0
182,500 lb Bomb,11,SPWOOB_WCLASS_AIRCRAFT,0,21,41,0,100,0,0,12,4,0
200,.30 Johnson Rfl,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,20,20,0
201,.30-06 M1903,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,24,0
202,.30-06 M1917 US,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,24,0
203,6.5mm Type 99,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,24,0
204,.30 M1 Garand,1,SPWOOB_WCLASS_INF_PRM,1,1,2,0,0,0,0,16,24,0
205,6.5mm Type 99,1,SPWOOB_WCLASS_INF_PRM,1,1,1,0,0,0,0,16,48,0
206,6.5 Type 11 LMG,2,SPWOOB_WCLASS_INF_SEC,2,1,6,0,0,0,0,28,48,0
208,7.7 Type 92 HMG,3,SPWOOB_WCLASS_TEAM,4,1,8,0,0,0,0,32,100,0
217,50mm Type89 Mtr,3,SPWOOB_WCLASS_TEAM,2,3,5,0,8,0,0,0,52,10
