id,nation,name,type,type,uclass,uclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,mclass,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_FH,arm_SH,arm_RH,arm_FT,arm_ST,arm_RT,arm_TP,arm_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT
1,79,Carden-Loyd MG,80,recon tank,8,recon,1933,1,1940,0,2,2,2,16,30,0,50,0,2,2,0,9,5,224,0,0,137,60,0,0,0,0,0,0,0,0,0,0,0,0,10,7,7,11,7,7,0,0,14,0,8,0,0,0
3,79,Stuart V,22,light tank,2,armor,1943,1,1945,0,2,4,2,76,36,0,91,0,4,2,0,6,6,226,0,1,204,44,83,0,4,139,60,0,177,60,0,131,60,0,44,25,25,56,32,32,13,50,42,20,33,15,0,0
4,79,Stuart VI,22,light tank,2,armor,1943,7,1944,0,2,4,2,78,32,0,90,0,4,2,0,6,6,226,0,0,204,44,74,0,6,139,60,0,177,60,0,131,60,0,63,29,28,67,32,32,13,0,42,0,33,10,0,0
5,79,Sherman I,26,main battle tank,2,armor,1943,1,1944,0,4,5,2,99,22,0,91,0,4,3,0,5,12,230,0,0,45,47,50,0,0,177,60,0,0,0,0,131,60,0,51,38,38,95,51,51,18,70,56,0,5,28,15,8
6,79,Sherman V,26,main battle tank,2,armor,1943,7,1949,0,4,5,3,113,26,0,90,0,4,3,0,5,12,230,0,1,45,47,50,0,0,139,60,0,177,60,0,131,60,0,64,38,38,103,64,64,21,0,42,0,11,38,12,8
7,79,Pantserwgn M.36,79,heavy armored car,8,recon,1937,1,1940,0,3,5,2,40,38,0,11,0,4,2,0,6,4,228,0,0,13,45,65,0,0,212,60,0,0,0,0,227,60,0,9,5,5,9,9,9,5,0,33,14,20,0,14,15
8,79,Daimler AC,78,armored car,8,recon,1942,3,1949,0,2,3,2,49,50,0,90,0,4,3,0,6,4,224,0,0,19,0,44,0,4,179,60,0,0,0,0,0,0,0,14,10,10,16,14,16,8,0,16,22,12,18,8,28
9,79,Bren Carrier,39,tracked APC,3,APC,1942,3,1949,0,2,2,2,26,30,0,50,0,2,2,0,9,108,124,0,0,0,0,0,0,0,0,0,0,0,0,0,135,60,0,12,12,12,14,12,12,0,0,14,0,8,0,0,0
10,79,Miesse Hvy Trk,86,heavy truck,10,transport,1930,1,1937,0,4,2,4,15,20,0,12,0,0,0,0,9,215,229,0,0,114,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,79,AEC Matador,86,heavy truck,10,transport,1942,3,1945,0,4,2,5,21,21,0,20,0,0,0,0,9,220,228,0,0,114,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
