rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,ew,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B90,icon_winter,icon_desert,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123
1,PT-76,35,0,4,3,128,62,0,0,20,10,120,0,0,0,0,0,15,4,2,1,4,2,2,1,6,3,2,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,59,103,44,17,7138,0,5,5,5,7,0,5,0,6,3,10,1620,4,4,0,2,4,0,0,0,0,0,0,1620,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PT-76B,35,0,4,3,129,62,0,0,15,5,120,0,0,0,0,0,15,4,2,1,4,2,2,1,6,3,2,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40,66,103,63,17,7139,15,5,5,15,7,2,5,0,6,3,10,1609,4,4,0,1,4,0,0,0,0,0,0,1609,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Churchill VII,13,0,4,5,220,33,0,36,40,44,120,0,0,0,120,0,8,15,10,6,15,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,60,51,17,7017,0,3,0,0,7,0,3,0,13,4,34,4374,0,4,2,1,12,0,0,0,0,0,0,4375,4376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Valentine V,13,0,3,4,85,33,0,0,12,67,120,0,0,0,0,0,10,7,5,6,7,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,46,60,39,17,623,0,2,0,0,8,0,2,0,13,3,13,454,0,4,0,1,12,0,0,0,0,0,0,454,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Chieftain Mk.5P,159,0,5,4,100,74,73,0,0,0,120,0,90,0,0,0,16,35,12,6,39,20,11,5,35,30,9,39,22,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,92,81,103,191,17,8115,22,20,24,20,6,2,16,0,13,5,41,1242,0,4,2,1,4,0,0,0,0,0,0,1242,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M1A1 SA Abrams,13,0,5,4,148,31,29,0,10,0,120,0,90,0,0,0,22,60,12,9,88,30,15,8,81,68,30,131,48,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,90,110,125,357,17,52508,40,45,20,10,6,5,22,0,0,6,50,4457,0,4,1,9,12,0,0,55,208,0,0,4458,4459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M24,13,0,4,5,249,31,29,69,24,24,120,0,90,0,120,0,17,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,59,46,17,12001,0,3,0,0,7,1,5,0,6,3,15,324,0,4,2,1,12,0,0,210,208,210,0,324,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Centurion Mk 7,13,0,5,4,90,74,73,0,25,10,120,0,90,0,0,0,12,26,6,6,23,12,6,3,26,15,6,23,14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,90,56,75,114,17,8432,10,15,28,0,6,1,16,0,13,4,38,1018,0,4,2,1,12,0,0,0,0,0,0,1018,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M1A1 TUSK,13,0,5,4,148,31,29,31,34,0,120,0,90,0,120,0,22,60,12,9,89,30,15,8,81,69,30,150,52,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,93,110,125,319,17,32113,40,50,0,6,6,5,22,0,0,6,50,2604,0,4,2,12,12,0,0,0,0,0,0,2606,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
