id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,end_mo,exp_mod,mor_mod,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,81,Battalion HQ,0,average,5,force HQ,6,force HQ,1974,9,2025,12,0,0,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,81,Tank Company,0,average,2,company,1,armor,1974,9,2025,12,0,0,3,1,1009,1,1009,1,1009,1,0,0,0,0,0,0,0,0,0,0,0,0
4,81,Motor Inf Co,0,average,2,company,3,infantry,1974,9,2025,12,0,0,73,1,14,1,1037,1,1037,1,1037,1,0,0,0,0,0,0,0,0,0,0
5,81,Motor Inf Co +,0,average,2,company,3,infantry,1974,9,2025,12,0,0,73,1,14,1,1037,1,1037,1,1037,1,1015,1,1019,1,1022,1,1066,1,0,0
6,81,Rifle Company,0,average,2,company,3,infantry,1974,9,2025,12,0,0,72,1,1039,1,1039,1,1039,1,0,0,0,0,0,0,0,0,0,0,0,0
7,81,Rifle Company +,0,average,2,company,3,infantry,1975,6,2025,12,0,0,72,1,300,1,35,1,1039,1,1039,1,1039,1,1035,1,1029,1,0,0,0,0
8,81,Machinegun Pl,0,average,1,platoon,3,infantry,1974,9,2025,12,0,0,62,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,81,Tank Platoon,0,average,1,platoon,1,armor,1974,9,2025,12,0,0,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,81,Motor Patrol,0,average,0,section,3,infantry,1974,9,2025,12,0,0,77,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,81,Motor FO,0,average,1,platoon,2,artillery,1974,9,2025,12,0,0,170,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,81,Fwd Observer,0,average,1,platoon,2,artillery,1974,9,2025,12,0,0,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
