id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,ew,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,0,****Somalia****,344,NO UNIT,14,other,0,default,1960,7,2025,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65171,0,0,0,0
2,0,***7/60-12/2025,344,NO UNIT,14,other,0,default,1901,1,1901,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65171,0,0,0,0
4,88,T-34/85 M1947,130,main battle tank,2,armor,3,track,1962,6,1985,12,4,5,3,52,18,72,0,3,3,0,0,7,13,22,0,0,100,25,25,0,5,66,120,0,0,0,0,65,120,0,0,0,0,0,0,0,0,0,9,6,7,10,8,6,2,0,0,0,0,0,0,0,0,11002,0,1294,1294,1294
6,88,T-54,130,main battle tank,2,armor,3,track,1974,1,1990,12,4,4,4,76,16,82,10,3,6,0,1,6,13,27,0,0,90,19,15,0,0,62,120,0,54,90,0,81,120,0,0,0,0,0,0,0,0,0,19,8,6,23,15,6,4,0,0,0,0,0,0,0,0,11120,0,4423,4423,4423
7,88,T-54A,130,main battle tank,2,armor,3,track,1976,1,1990,12,4,4,4,81,16,82,20,3,6,0,1,6,13,27,0,0,90,19,12,3,0,62,120,0,54,90,0,81,120,0,0,0,0,0,0,0,0,0,19,8,6,23,15,6,4,0,0,0,0,0,0,0,0,11120,0,4411,4411,4411
9,88,T-54B,130,main battle tank,2,armor,3,track,1976,1,1990,12,4,4,4,85,16,81,20,5,6,0,2,6,13,27,0,0,90,19,9,6,0,62,120,0,53,90,0,61,120,0,0,0,0,0,0,0,0,0,19,8,6,23,15,6,4,0,0,0,0,0,0,0,0,11120,0,1466,1466,1466
12,88,T-55,130,main battle tank,2,armor,3,track,1976,1,1990,12,4,4,4,90,17,82,20,5,6,0,2,6,13,27,0,0,91,19,15,9,0,62,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,11146,0,1469,1469,1469
13,88,T-55A,130,main battle tank,2,armor,3,track,1976,1,1990,12,4,4,4,94,17,82,20,5,6,0,2,6,13,27,0,0,91,19,15,9,0,62,120,0,54,90,0,0,0,0,0,0,0,0,0,0,0,0,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,11146,0,1468,1468,1468
14,88,T-55A,130,main battle tank,2,armor,3,track,1990,1,1993,12,4,4,4,95,17,82,20,5,6,0,2,6,13,27,0,0,92,19,12,9,3,62,120,0,54,90,0,0,0,0,0,0,0,0,0,0,0,0,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,11146,0,4436,4436,4436
19,88,M47 Patton,130,main battle tank,2,armor,3,track,1978,1,1990,12,5,5,4,99,16,80,0,10,18,0,0,6,13,44,0,2,95,31,30,10,0,73,120,0,153,90,0,72,120,0,16,8,5,12,9,7,2,0,16,8,5,12,9,6,2,0,0,0,0,0,0,0,0,34024,0,186,186,186
