rid,name,wclass,size,sound,warhead,pen.HE,pen.AP,kill.HE,kill.AP,accuracy,range_max,range_APCR,pen_APCR,pen_HEAT,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39
1,Sniper Rifle,1,0,145,1,0,0,2,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Pistol,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M2/M4 Carbine,1,0,0,1,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,M1 Garand Rifle,1,0,119,1,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SMG,1,0,114,1,0,0,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M82 SniperRifle,1,0,223,1,2,2,2,0,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M14 Rifle,1,0,152,1,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M16A1/A2 Rifle,1,0,144,1,0,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M16A4 / M4 ACOG,1,0,143,1,0,0,3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SMG,2,0,147,1,0,0,5,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,M1918A2 BAR,2,0,56,1,0,0,5,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,M14A1 AR,2,0,146,1,0,0,5,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,M249 SAW,2,0,170,1,0,0,6,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7.62mm M60 LMG,2,0,121,1,0,0,5,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,M9A1 Bazooka,2,0,25,4,2,222,2,0,4,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
16,M20A1 Bazooka,2,0,25,5,2,222,7,0,4,6,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
17,M9A1 Rifle-Gren,2,0,2,3,2,222,3,0,1,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
18,M249 SAW (3),2,0,170,1,0,0,9,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Predator SRAW,23,0,0,5,2,222,7,0,15,12,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
20,M72 LAAW,2,0,25,4,2,222,4,0,5,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
21,M16A2 AR,2,0,141,1,0,0,4,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Mk.153 SMAW,2,0,0,5,2,222,7,0,10,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
23,Shotgun/shell,2,0,0,1,0,0,8,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,M16A1 AR,2,0,52,1,0,0,4,0,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
