rid,name,nation,start_yr,end_yr,pscr,type,ERID[1],ERID[2],ERID[3],ERID[4],ERID[5],ERID[6],ERID[7],ERID[8],ERID[9],ERID[10],start_mo,end_mo,exp_mod,mor_mod,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59
1,Battalion HQ,4,48,125,10,5,245,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tank Company,4,50,125,1,2,7,7,1009,1009,1009,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Infantry Co,4,48,125,3,2,185,185,1039,1039,1039,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Mech Inf Co Grp,4,48,125,3,2,190,79,1374,1148,1374,1148,1374,1148,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lt Tank Company,4,56,75,1,2,437,437,1008,1008,1008,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Inf Co Hvy Wpn,4,48,99,3,1,460,134,134,445,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Paratrooper Co,4,53,125,3,2,200,200,1133,1133,1133,0,0,0,0,0,1,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Light Tank Pl,4,56,75,1,0,437,437,437,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Tank Platoon,4,50,125,1,0,5,5,5,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Reserve Co,4,50,125,3,2,580,580,1040,1040,1040,0,0,0,0,0,1,12,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Scout Car Sec,4,48,125,1,0,570,570,0,0,0,0,0,0,0,0,5,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SPAA Vehicle,4,48,50,2,0,102,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,SP-ATGM Pl,4,65,125,1,1,485,485,485,485,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,SP-Mortar Sec,4,65,125,2,0,500,500,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,SP-ATGM Section,4,65,125,1,0,485,485,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Light Tank Pl,4,48,50,1,0,435,435,435,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,SPA Battery,4,48,125,2,1,510,510,510,510,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,SPAA Section,4,70,106,2,0,103,103,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SP-SAM Section,4,74,103,2,0,100,100,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SAM Battery,4,65,125,4,1,110,110,110,110,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Inf Co Recce Gp,4,48,125,3,3,425,425,1011,0,0,0,0,0,0,0,5,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,SP-Mortar Pl,4,65,125,2,1,500,500,500,500,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3 Heavy Trucks,4,48,125,4,0,339,339,339,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Utility Vehicle,4,48,125,4,0,341,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3 Medium Trucks,4,48,125,4,0,75,75,75,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3 Light Trucks,4,48,125,4,0,338,338,338,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Armoured Inf Co,4,48,125,3,2,190,79,1162,1162,1162,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Howitzer Bty,4,48,125,2,1,220,220,220,220,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Inf-AT Section,4,48,125,3,0,134,134,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Inf-SAM Section,4,70,125,3,0,150,150,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Mortar Platoon,4,48,125,2,1,446,446,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,SP-AT Section,4,48,80,1,0,475,475,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,AA Gun Section,4,48,125,2,0,166,166,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Howitzer Sec,4,48,125,2,1,220,220,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Machinegun Pl,4,48,125,3,1,460,460,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Arm'd Inf Grp A,4,48,125,3,3,190,134,80,1163,1163,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Arm'd Inf Grp B,4,48,125,3,3,190,134,1377,1377,1148,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Arm'd Inf Grp C,4,48,125,3,3,190,190,1029,1370,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
