rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,ew,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B90,icon_winter,icon_desert,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123
1,Vickers Mk.VIb,12,0,2,3,19,25,0,0,120,0,120,0,0,0,0,0,19,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,60,24,16,64512,0,1,0,0,9,0,1,0,0,2,10,3869,0,4,1,1,12,0,0,0,0,0,0,1208,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,M5 Stuart,12,0,3,4,79,66,51,65,44,103,120,0,90,0,120,0,17,6,3,3,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,50,65,43,16,3,0,3,0,0,8,1,2,0,6,3,13,1205,0,4,0,1,12,0,0,0,0,0,0,1205,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M24 Chaffee,12,0,4,5,84,66,55,65,20,28,120,0,90,0,120,0,17,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,55,75,43,16,12001,0,3,0,0,7,0,5,0,6,3,15,324,0,4,0,1,12,0,0,0,208,0,0,324,4124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,M41,12,0,4,4,86,66,55,0,25,25,120,0,90,0,0,0,26,4,2,2,4,3,3,1,4,3,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,60,70,63,16,12002,0,5,10,5,7,1,8,0,6,4,18,214,0,4,0,1,12,0,0,0,208,0,0,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AMX-13 /75,12,0,3,3,82,231,0,0,12,25,120,0,0,0,0,0,20,4,2,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,65,90,52,16,6003,0,10,0,0,7,0,8,0,6,4,11,2216,0,4,1,1,12,0,0,0,0,0,0,2216,2216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AMX-13 /90,12,0,3,3,99,234,0,0,13,0,120,0,0,0,0,0,20,4,2,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,75,91,57,16,6003,20,10,0,21,6,0,8,0,6,4,12,2450,0,4,1,1,12,0,0,0,0,0,0,2450,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AMX-13 /90,12,0,3,3,99,234,0,0,13,0,120,0,0,0,0,0,20,4,2,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,92,125,63,16,6003,20,10,10,11,6,0,8,0,6,4,12,2450,0,4,1,1,12,0,0,0,0,0,0,2450,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M41,12,0,4,4,86,66,55,0,25,5,120,0,90,0,0,0,26,4,2,2,4,3,3,1,4,3,2,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,70,80,63,16,12002,0,5,20,15,7,1,8,0,6,4,18,214,0,4,0,1,12,0,0,0,208,0,0,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Valentine Mk 5,59,0,3,4,76,26,0,0,12,67,120,0,0,0,0,0,10,7,5,6,7,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,60,39,16,32109,0,2,0,0,8,0,2,0,13,3,13,454,0,4,0,1,12,0,0,0,0,0,0,454,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
