rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,ew,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B90,icon_winter,icon_desert,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123
1,Scimitar,12,0,3,3,77,69,0,0,27,26,120,0,0,0,0,0,28,4,4,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,72,95,79,7,7083,30,15,0,0,9,2,12,0,0,4,10,1261,0,0,2,1,12,0,93,0,0,0,0,7428,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Scorpion,12,0,3,3,97,69,0,0,0,0,120,0,0,0,0,0,28,4,4,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,72,94,70,7,8121,30,10,0,40,7,0,10,0,0,4,10,1266,0,0,2,1,12,0,0,0,0,0,0,7400,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Scorpion,15,0,3,3,97,69,0,0,0,0,120,0,0,0,0,0,28,4,4,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,72,94,70,7,8121,30,10,0,40,7,0,10,0,0,4,10,1266,0,4,2,1,12,0,0,0,0,0,0,7400,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sabre,12,0,3,3,77,54,0,0,27,26,120,0,0,0,0,0,28,4,4,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,94,104,77,7,651,30,15,0,0,9,2,10,0,0,4,10,1261,0,0,2,4,12,0,93,0,0,0,0,4184,1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Centurion Mk 1,59,0,5,4,87,63,51,0,30,22,120,0,90,0,0,0,11,13,5,5,16,10,6,2,13,11,5,16,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,46,47,76,7,36751,0,6,22,0,7,1,6,0,13,4,38,1000,0,4,1,1,12,0,0,0,210,0,0,4058,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Centurion Mk 2,59,0,5,4,87,63,51,0,30,0,120,0,90,0,0,0,12,13,5,5,16,10,6,2,13,11,5,16,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,92,47,51,84,7,3988,0,6,51,0,7,1,6,0,13,4,38,999,0,4,1,1,12,0,0,0,210,0,0,4058,4057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Centurion Mk 3,59,0,5,4,90,63,51,0,25,20,120,0,90,0,0,0,12,13,5,5,16,10,6,2,13,11,5,16,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,50,51,80,7,8167,0,10,20,0,7,1,6,0,13,4,38,1002,0,4,1,1,12,0,0,0,210,0,0,4059,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Centurion Mk 3,59,0,5,4,91,63,51,0,25,0,120,0,90,0,0,0,12,13,5,5,16,10,6,2,13,11,5,16,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,52,61,87,7,8167,0,10,40,0,7,1,6,0,13,4,38,1002,0,4,1,1,12,0,0,0,210,0,0,4059,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sherman V,13,0,5,5,80,66,51,65,50,47,120,0,90,0,120,0,11,9,4,4,9,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,46,47,54,7,4015,0,3,0,0,7,1,3,0,13,3,31,129,0,4,2,1,12,0,0,210,210,210,0,4143,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Sherman Firefly,13,0,5,4,87,66,51,0,24,0,120,0,90,0,0,0,13,9,4,4,11,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,46,47,70,7,648,0,4,53,0,6,0,4,0,13,3,33,471,0,4,2,1,12,0,0,210,210,0,0,4235,4233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
