rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.AP_FH,arm.AP_SH,arm.AP_RH,arm.AP_FT,arm.AP_ST,arm.AP_RT,arm.AP_TP,arm.HE_FH,arm.HE_SH,arm.HE_RH,arm.HE_FT,arm.HE_ST,arm.HE_RT,arm.HE_TP,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,ew,load_cap,survive,load_cost,icon,swim,movcl,smkdev,start_mo,end_mo,sound,wpn_snd_s1,wpn_snd_s2,wpn_snd_s3,wpn_snd_s4,B90,icon_winter,icon_desert,B98,B99,B100,B101,B102,B103,B104,B105,B106,B107,B108,B109,B110,B111,B112,B113,B114,B115,B116,B117,B118,B119,B120,B121,B122,B123
1,******Cuba*****,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,125,2,0,65133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,M3A1 Stuart,12,0,3,4,78,66,51,65,43,60,120,0,90,0,120,0,20,5,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,46,62,39,49,18003,0,2,0,0,8,1,2,0,6,3,11,299,0,4,0,1,12,0,0,0,0,0,0,299,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CTMS ITB1,12,0,3,3,71,66,0,58,9,9,120,0,0,0,120,0,16,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,61,25,49,23901,0,2,0,0,9,0,1,0,6,2,10,445,0,4,0,1,12,0,0,0,0,0,0,445,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,210,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Sherman M4A3 W,13,0,5,5,84,66,55,65,40,23,120,0,90,0,120,0,14,9,4,4,9,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,57,62,57,49,24015,0,3,8,0,7,1,4,0,12,4,33,444,0,4,2,1,12,0,0,0,208,0,0,444,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Comet,103,0,4,5,85,63,0,64,31,20,120,0,0,0,120,0,17,8,3,3,10,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,58,63,51,49,7002,0,4,10,0,7,0,3,0,13,4,30,274,0,4,2,1,12,0,0,0,0,0,0,274,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,T-34/85 M1947,59,0,4,5,86,61,0,60,36,19,120,0,0,0,120,0,18,9,6,7,10,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,60,64,50,49,52603,0,3,0,0,7,0,3,0,13,3,22,1294,0,4,0,12,12,0,0,0,0,0,0,1294,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,T-34/85 M1947,59,0,4,5,86,61,0,60,25,19,120,0,0,0,120,0,18,9,6,7,10,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,65,69,52,49,52603,0,3,0,11,7,0,3,0,13,3,22,1294,0,4,0,12,12,0,0,0,0,0,0,1294,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,T-34/85M,59,0,4,5,96,61,0,60,20,20,120,0,0,0,120,0,19,9,6,7,10,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,70,74,58,49,52603,0,3,0,15,7,0,3,0,13,3,22,1294,0,4,0,12,12,0,0,0,0,0,0,1294,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,T-55,59,0,4,4,91,62,0,0,20,17,120,0,0,0,0,0,17,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,63,65,87,49,52659,20,5,0,6,6,2,6,0,13,4,27,4420,0,4,0,6,12,0,0,0,0,0,0,4416,4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,T-55A,59,0,4,4,91,62,54,0,17,20,120,0,90,0,0,0,17,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,65,71,92,49,52660,20,5,0,6,6,2,6,0,13,4,27,1466,0,4,0,1,12,0,0,0,111,0,0,1466,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,T-55M,59,0,4,4,91,62,54,0,17,14,120,0,90,0,0,0,17,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,72,77,94,49,52661,20,5,3,9,6,2,6,0,13,4,27,4444,0,4,0,1,12,0,0,0,111,0,0,4435,4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,T-55M,59,0,4,4,91,62,54,0,17,10,120,0,90,0,0,0,17,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,78,79,94,49,52661,20,5,7,9,6,2,6,0,13,4,27,4441,0,4,0,1,12,0,0,0,111,0,0,4445,4438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,T-55M,59,0,4,4,98,62,54,0,17,10,120,0,90,0,0,0,17,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,80,90,96,49,52661,20,5,7,9,6,2,6,0,13,4,27,1470,0,4,0,1,12,0,0,0,111,0,0,1470,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,T-55 M1975,59,0,4,4,91,62,54,0,19,6,120,0,90,0,0,0,18,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,76,77,127,49,11146,20,10,6,12,6,2,22,0,13,4,27,1466,0,4,0,1,12,0,0,0,111,0,0,1466,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,T-55 M1975,59,0,4,4,91,62,54,0,19,6,120,0,90,0,0,0,18,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,78,79,127,49,11146,20,10,6,12,6,2,22,0,13,4,27,1466,0,4,0,1,12,0,0,0,111,0,0,1466,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,T-55 M1975,59,0,4,4,98,62,54,0,19,6,120,0,90,0,0,0,18,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,80,92,130,49,11146,20,10,6,12,6,2,22,0,13,4,27,4441,0,4,0,1,12,0,0,0,111,0,0,4433,4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,T-55 M1975,59,0,4,4,98,62,54,0,22,6,120,0,90,0,0,0,18,20,8,6,23,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,93,125,128,49,11146,20,10,3,12,6,2,22,0,13,4,27,1466,0,4,0,1,12,0,0,0,111,0,0,1466,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,T-62M,59,0,4,4,99,67,54,0,20,0,120,0,90,0,0,0,21,20,8,5,28,18,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,76,84,107,49,32143,20,5,10,10,6,2,6,0,13,4,31,1303,0,4,0,1,12,0,0,0,111,0,0,1303,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,T-62 M1975,59,0,4,4,99,67,54,0,20,0,120,0,90,0,0,0,21,20,8,5,28,18,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,80,87,140,49,8436,20,10,10,10,6,2,22,0,13,4,33,1299,0,4,0,1,12,0,0,0,111,0,0,1299,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,T-62 M1975,59,0,4,4,100,67,54,0,20,0,120,0,90,0,0,0,21,20,8,5,28,18,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,88,92,143,49,8436,20,10,10,10,6,2,22,0,13,4,33,1299,0,4,0,1,12,0,0,0,111,0,0,1299,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,T-62 M1975,59,0,4,4,100,67,54,0,20,0,120,0,90,0,0,0,21,20,8,5,28,18,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,93,125,143,49,8436,20,10,10,10,6,2,22,0,13,4,33,1299,0,4,0,1,12,0,0,0,111,0,0,1299,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,<T-72>,59,0,4,3,101,67,52,0,20,0,120,0,90,0,0,0,22,31,9,6,39,18,7,5,41,16,6,43,20,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,93,79,88,174,0,11129,30,25,13,6,6,3,22,0,13,4,41,1472,0,4,1,1,12,0,0,0,111,0,0,1472,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,<T-72>,59,0,4,3,102,67,52,0,15,0,120,0,90,0,0,0,22,31,9,6,39,18,7,5,41,16,6,43,20,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,91,89,92,207,0,11129,30,25,12,12,6,3,22,0,13,4,41,1474,0,4,1,1,12,0,0,0,111,0,0,1474,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,<T-72>,59,0,4,3,102,67,52,0,20,0,120,0,90,0,0,0,22,31,9,6,39,18,7,5,41,16,6,43,20,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,90,93,125,195,0,11129,30,25,10,9,6,3,22,0,13,4,41,1475,0,4,1,1,12,0,0,0,111,0,0,1475,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
