rid,name,nation,start_yr,end_yr,pscr,type,ERID[1],ERID[2],ERID[3],ERID[4],ERID[5],ERID[6],ERID[7],ERID[8],ERID[9],ERID[10],start_mo,end_mo,exp_mod,mor_mod,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59
1,Battalion HQ,1,46,125,10,5,245,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tank Company,1,46,125,1,2,10,1009,1009,1009,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Rifle Company,1,46,125,3,2,385,1039,1039,1039,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Mech Inf Co,1,66,125,3,2,407,68,1037,1037,1037,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Motor Inf Co,1,55,125,3,2,395,56,1038,1038,1038,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Conscript Co,1,46,125,3,3,450,1170,1170,1170,1170,0,0,0,0,0,1,12,-8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Frontier Co,1,46,125,3,3,470,470,1395,1395,1395,1021,1394,1394,1394,0,1,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Amphib Tank Pl,1,66,110,1,1,2,2,2,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Tank Platoon,1,46,125,1,1,10,10,10,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bn Support Co,1,46,125,3,2,491,1034,1032,1025,1025,1042,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Flame Tank Pl,1,60,110,1,1,310,310,310,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
