id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,89,SP ENH FR v1.1,4,elite recon,4,force HQ,6,force HQ,1930,1,1949,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,89,UK Lt Cruis Sec,3,elite,1,platoon,5,*AI*,1936,1,1942,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,89,UK Lt Cruis Trp,3,elite,1,platoon,5,*AI*,1936,1,1942,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,89,UK Hv Cruis Trp,3,elite,1,platoon,5,*AI*,1942,5,1947,19,1,19,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,89,<ALLIED SUP 43>,3,elite,2,company,5,*AI*,1943,11,1949,22,1,22,1,1006,1,1006,1,1007,1,1007,1,1109,1,1109,1,0,0,0,0
6,89,UK Tank Troop,3,elite,1,platoon,5,*AI*,1943,11,1943,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,89,UK Tank Troop,3,elite,1,platoon,5,*AI*,1944,1,1947,23,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,89,Sikh Rifle Plt,3,elite,1,platoon,3,infantry,1930,1,1949,171,1,168,1,168,1,168,1,168,1,0,0,0,0,0,0,0,0,0,0
9,89,Rifle Platoon,0,average,1,platoon,3,infantry,1930,1,1949,88,1,212,1,70,1,70,1,82,1,0,0,0,0,0,0,0,0,0,0
10,89,Lorried Inf Plt,0,average,1,platoon,3,infantry,1942,11,1943,88,1,212,1,70,1,70,1,82,1,118,1,200,1,200,1,0,0,0,0
11,89,Lorried Inf Plt,0,average,1,platoon,3,infantry,1944,1,1949,88,1,173,1,70,1,70,1,78,1,82,1,118,1,200,1,200,1,0,0
12,89,<COMBAT TM 43>,0,average,2,company,5,*AI*,1942,10,1947,88,1,52,1,1085,1,1009,1,1009,1,1009,1,68,1,1109,1,1109,1,1033,1
13,89,Airborne Plt,3,elite,1,platoon,3,infantry,1943,8,1949,185,1,121,1,121,1,121,1,0,0,0,0,0,0,0,0,0,0,0,0
