rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,76,1,11,0,0,0,0,0,0,0,0,30,42,10,5,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cavalry Scouts,76,1,11,0,0,0,0,0,0,0,0,30,40,4,1,218,1,218,1,218,1,218,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Cavalry Troop,76,1,0,0,0,0,0,0,0,0,0,30,40,4,1,213,1,220,1,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Cavalry Sqdrn,76,1,1,0,0,0,0,0,0,0,0,30,40,4,2,28,1,1002,1,1003,1,1003,1,1003,1,1003,1,0,0,0,0,0,0,0,0
5,Rifle Platoon,76,1,0,0,0,0,0,0,0,0,0,30,40,3,1,219,1,24,1,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0
6,<<AI AFV 34-42>,76,1,10,0,0,0,0,0,0,0,0,34,42,5,2,1095,1,1104,1,1102,1,1102,1,1108,1,1108,1,1094,1,1115,1,0,0,0,0
7,<<AI AFV 30-40>,76,1,10,0,0,0,0,0,0,0,0,30,40,5,2,1104,1,1108,1,1099,1,1029,1,1110,1,1076,1,1013,1,0,0,0,0,0,0
8,Rifle Company,76,1,1,0,0,0,0,0,0,0,0,30,40,3,2,71,1,1012,1,1005,1,1005,1,1005,1,1005,1,1011,1,0,0,0,0,0,0
9,Rifle Platoon+,76,6,0,0,0,0,0,0,0,0,0,40,40,3,1,219,1,14,1,14,1,14,1,23,1,0,0,0,0,0,0,0,0,0,0
10,Rifle Company+,76,6,1,0,0,0,0,0,0,0,0,40,40,3,2,71,1,1012,1,1009,1,1009,1,1009,1,1009,1,1011,1,0,0,0,0,0,0
11,Hvy Weapons Plt,76,1,12,0,0,0,0,0,0,0,0,30,40,3,1,219,1,16,1,16,1,16,1,16,1,18,1,0,0,0,0,0,0,0,0
12,Inf Command Plt,76,1,2,0,0,0,0,0,0,0,0,30,40,5,1,219,1,24,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Inf AT Section,76,1,0,0,0,0,0,0,0,0,0,30,42,3,1,30,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
