rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,arm.B07,arm.B08,arm.B09,arm.B10,arm.B11,arm.B12,arm.B13,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,end_mo,smkdev,start_mo,B83,B84,B85,B86,text,sound,B89,B90
1,35M CV Tankette,95,50,1,2,0,0,0,199,0,0,0,0,0,0,60,0,16,13,13,13,16,13,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,8,15,8,8,10,38,41,13,74,7432,0,2,0,0,8,0,2,0,2,2,224,590,0,0,0,1,0,0,0,0,7432,0,0,0
2,38M Toldi I,12,0,2,3,8,119,0,0,0,48,60,0,0,0,0,0,30,13,13,6,15,13,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,40,0,0,70,39,49,33,74,7408,0,4,0,0,9,0,2,0,6,3,226,793,0,0,0,8,0,0,0,0,7408,0,0,0
3,40M Turan I,13,0,3,5,207,119,0,126,25,50,60,0,0,0,60,0,26,50,40,20,55,25,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,49,12,10,10,71,42,49,63,74,341,0,4,0,0,7,0,2,0,8,3,226,794,0,0,0,4,0,0,0,0,341,0,0,0
4,41M Turan II,13,0,3,5,208,119,0,126,20,36,60,0,0,0,60,0,26,50,40,20,55,25,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,49,12,10,10,72,43,49,67,74,342,0,4,0,0,5,0,2,0,8,3,226,795,0,0,0,5,0,0,0,0,342,0,0,0
5,38M(t) Lt Tank,12,0,2,4,16,156,0,112,24,48,60,0,0,0,60,0,24,50,22,12,65,30,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,49,12,10,10,70,42,43,64,74,8,0,4,0,0,6,0,2,0,6,3,226,417,0,0,0,1,0,0,0,0,8,0,0,0
6,PzKpfw III L,105,41,3,5,26,155,0,6,38,52,60,0,0,0,60,0,24,70,33,50,77,30,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,26,25,12,91,42,44,105,74,6,0,4,5,0,6,0,3,0,8,3,228,733,2,0,1,7,0,0,0,0,6,0,0,0
7,IVM F2 Hosszu,13,40,3,5,230,155,0,6,42,45,60,0,0,0,60,0,24,54,33,20,66,30,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,23,26,16,62,42,44,97,74,11,0,4,0,0,5,0,3,0,8,4,228,413,0,0,0,10,0,0,0,0,11,0,0,0
8,IVM H Hosszu,13,50,3,5,231,155,0,6,35,52,60,0,0,0,60,0,24,85,33,20,66,30,30,12,13,13,13,16,13,13,5,0,0,0,0,0,0,0,12,0,11,23,26,15,71,44,49,113,74,13,0,4,0,0,5,0,4,0,8,4,228,748,0,0,0,5,0,0,0,0,13,0,0,0
9,Tigris,14,40,4,5,60,155,0,6,30,62,60,0,0,0,60,0,22,102,82,82,148,82,82,25,13,13,6,15,13,6,10,0,0,0,0,0,0,0,24,0,9,12,12,18,72,44,49,197,74,15,0,4,0,0,5,0,7,0,10,5,230,754,0,0,0,8,0,0,0,0,15,0,0,0
10,Sturmkanone 40,18,41,3,4,244,174,0,6,22,30,60,0,0,0,60,0,26,85,33,50,88,30,30,11,50,40,20,55,25,25,15,0,0,0,0,0,0,0,21,0,10,10,11,0,71,44,49,105,74,20,0,4,0,0,4,0,3,0,8,3,226,340,0,0,0,7,0,0,0,0,20,0,0,0
11,40M Nimrod TD,79,0,3,4,232,0,0,0,40,80,0,0,0,0,0,0,34,20,10,10,22,10,10,0,50,40,20,55,25,25,15,0,0,0,0,0,0,0,20,0,0,40,0,0,70,42,49,29,74,347,0,4,0,0,8,0,3,0,6,3,226,796,0,0,0,3,0,0,0,0,347,0,0,0
12,39M Csaba,11,0,2,5,8,119,0,0,0,48,60,0,0,0,0,0,38,20,10,10,22,10,10,10,50,22,12,65,30,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,70,39,49,30,74,348,0,4,0,0,8,0,2,0,4,2,226,797,0,0,0,6,0,0,0,0,348,0,0,0
13,Raba Afi,27,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,70,33,50,77,30,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,49,15,74,240,0,0,0,0,9,0,0,0,112,4,226,968,0,0,0,1,0,0,0,0,0,0,0,0
14,47mm AT Gun,6,0,1,6,23,0,0,0,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,54,33,20,66,30,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,42,23,74,7811,0,3,0,0,7,0,2,0,0,0,106,55,0,0,0,11,0,0,0,0,0,0,0,0
15,75mm AT Gun,6,0,1,6,47,0,0,0,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,33,20,66,30,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43,49,64,74,50,0,3,0,0,6,0,4,0,0,0,106,57,0,0,0,1,0,0,0,0,50,0,0,0
16,40mm FlaK Gun,8,0,1,3,17,0,0,0,60,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,102,82,82,148,82,82,25,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,49,43,74,685,0,3,0,0,8,0,3,0,0,0,103,660,0,0,0,1,0,0,0,0,685,0,0,0
17,Mortar Brigad,5,0,1,4,56,218,0,0,50,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,85,33,50,88,30,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,70,36,49,28,74,56,0,2,0,0,8,0,0,0,0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0
18,Mortar Brigad,5,0,1,4,43,220,0,0,50,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,20,10,10,22,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,33,35,32,74,56,0,2,0,0,8,0,0,0,0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0
19,HMG Brigad,81,0,0,4,100,88,220,0,60,0,4,0,40,0,0,0,6,0,0,0,0,0,0,0,20,10,10,22,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,42,21,74,346,0,3,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,346,0,0,0
20,MG Brigad,4,0,0,4,5,87,222,0,60,0,4,0,40,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43,49,28,74,59,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,59,0,0,0
21,Rifle Brigad,99,0,1,10,227,85,88,0,50,0,0,5,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,42,19,74,7404,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7404,0,0,0
22,Rifle Brigad,99,0,1,10,226,85,95,88,50,0,0,5,50,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,45,22,74,7404,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7404,0,0,0
23,Rifle Brigad,99,0,1,10,228,246,99,87,50,0,0,5,50,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,45,28,74,7404,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7404,0,0,0
24,Assault Brigad,100,0,1,10,158,84,95,186,50,0,0,4,50,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,45,27,74,7421,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7417,0,0,0
25,ATM Brigad,2,0,0,2,86,238,0,0,0,4,40,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,49,5,74,7308,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,ATR Brigad,2,0,0,2,142,238,0,0,0,40,40,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,14,74,7450,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,296,0,0,0
27,PzrSchrk Brigad,2,0,0,2,92,159,0,0,0,6,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,45,14,74,7113,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,69,0,0,0
28,Sniper,45,0,0,1,146,0,0,0,50,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,20,74,7430,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7430,0,0,0
29,100mm Howitzer,9,0,1,8,70,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,30,45,42,74,210,0,2,0,0,6,0,1,0,0,0,108,656,0,0,0,1,0,0,0,0,210,0,0,0
30,122mm Howitzer,9,0,2,8,74,0,0,0,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,49,49,60,74,121,0,2,0,0,6,0,1,0,0,0,108,665,0,0,0,12,0,0,0,0,121,0,0,0
31,Ju 87B Stuka,44,0,3,2,161,241,239,239,30,2,1,0,2,0,2,0,3,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,44,60,74,145,0,4,0,0,9,0,1,0,0,0,255,818,0,0,0,7,0,0,0,0,145,0,0,0
32,Bunker,0,70,2,10,3,5,5,99,50,0,90,0,90,0,50,0,0,60,60,60,20,120,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,49,70,74,120,0,0,0,0,9,0,5,0,0,4,255,679,0,0,0,1,0,0,0,0,0,0,0,0
33,Bunker,0,70,2,10,228,100,100,95,50,0,90,0,90,0,50,0,0,60,60,60,20,120,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,43,68,74,120,0,0,0,0,9,0,5,0,0,3,255,684,0,0,0,1,0,0,0,0,0,0,0,0
34,Command Post,68,0,5,20,157,87,115,0,50,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,43,49,140,74,245,0,0,0,0,9,0,0,0,0,1,255,648,0,0,0,1,0,0,0,0,0,0,0,0
35,Munitions Depot,66,0,6,20,226,87,114,0,50,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,135,74,9919,0,0,0,0,9,0,0,0,0,0,255,649,0,0,0,1,0,0,0,0,9919,0,0,0
36,Command Post,68,0,5,20,228,88,114,0,50,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,30,31,137,74,245,0,0,0,0,9,0,0,0,0,1,255,648,0,0,0,1,0,0,0,0,0,0,0,0
37,Command Post,68,0,5,20,227,88,114,0,50,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,36,42,137,74,245,0,0,0,0,9,0,0,0,0,1,255,648,0,0,0,1,0,0,0,0,0,0,0,0
38,Command Post,68,0,5,20,221,87,114,0,50,0,7,0,40,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,31,35,136,74,245,0,0,0,0,9,0,0,0,0,1,255,648,0,0,0,1,0,0,0,0,0,0,0,0
39,38M Toldi II A,12,0,2,3,206,119,0,0,25,27,60,0,0,0,0,0,30,23,13,8,22,13,6,10,60,60,60,20,120,120,180,0,0,0,0,0,0,0,15,0,15,10,0,0,72,44,49,43,74,340,0,4,0,0,6,0,2,0,6,3,226,793,0,0,0,4,0,0,0,0,340,0,0,0
40,40M Nimrod GLV,22,0,3,4,232,0,0,0,60,30,0,0,0,0,0,0,34,20,10,10,20,10,10,0,60,60,60,20,120,120,180,0,0,0,0,0,0,0,20,0,0,40,0,0,70,44,49,65,74,347,0,4,0,0,8,0,2,0,6,3,226,796,0,0,0,4,0,0,0,0,347,0,0,0
