rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,85,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Arm'd Car Plt,85,10,1,0,0,0,0,0,0,0,0,40,44,1,1,63,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Arm'd Car Sqdrn,85,10,1,0,0,0,0,0,0,0,0,40,41,1,2,63,1,1002,1,1002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Hvy Arm Car Plt,85,3,0,0,0,0,0,0,0,0,0,40,41,1,1,64,1,64,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HvyArm Car Sqdn,85,3,1,0,0,0,0,0,0,0,0,40,41,1,2,64,1,1004,1,1004,1,1004,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Recon Tank Sec,85,12,1,0,0,0,0,0,0,0,0,40,41,1,1,56,1,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Recon Tank Plt,85,12,1,0,0,0,0,0,0,0,0,40,41,1,1,56,1,56,1,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Recon Tank Co,85,2,1,0,0,0,0,0,0,0,0,41,41,1,2,56,1,1007,1,1007,1,1007,1,0,0,0,0,0,0,0,0,0,0,0,0
9,UK Inf Tank Sec,85,3,0,0,0,0,0,0,0,0,0,41,41,1,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,UK Inf Tank Trp,85,3,0,0,0,0,0,0,0,0,0,41,41,1,1,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lt Tank Platoon,85,1,0,0,0,0,0,0,0,0,0,30,41,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
