rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,90,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,<AI-COMB ARMS>,90,1,0,0,0,0,0,0,0,0,0,30,49,5,2,1021,1,1130,1,1010,1,1094,1,1137,1,1018,1,1147,1,1062,1,0,0,0,0
3,Sentinel Sec,90,8,0,0,0,0,0,0,0,0,0,42,43,1,1,101,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sentinel Troop,90,8,0,0,0,0,0,0,0,0,0,42,43,1,1,101,1,101,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Inf Tank Troop,90,1,0,0,0,0,0,0,0,0,0,41,49,1,1,28,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,NZ Tank Troop,90,10,0,0,0,0,0,0,0,0,0,42,44,1,1,223,1,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Captured Tanks,90,12,0,0,0,0,0,0,0,0,0,40,41,1,1,13,1,13,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Engineer Co,90,1,0,0,0,0,0,0,0,0,0,30,49,3,2,225,1,1015,1,1015,1,1015,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Amphib Tank Trp,90,1,0,0,0,0,0,0,0,0,0,44,49,1,1,154,1,154,1,154,1,154,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Rifle Platoon,90,1,0,0,0,0,0,0,0,0,0,40,49,3,1,234,1,123,1,129,1,69,1,69,1,0,0,0,0,0,0,0,0,0,0
11,<<AI-INF PICK>>,90,1,0,0,0,0,0,0,0,0,0,39,49,5,2,168,1,1033,1,1010,1,1010,1,1113,1,1035,1,1012,1,1153,1,0,0,0,0
12,<<AI-MECH INF>>,90,10,10,0,0,0,0,0,0,0,0,42,49,5,1,234,1,69,1,70,1,70,1,123,1,52,1,203,1,203,1,203,1,0,0
13,Airborne Plt,90,1,10,0,0,0,0,0,0,0,0,42,49,3,1,72,1,72,1,72,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Commando Sec,90,1,11,0,0,0,0,0,0,0,0,41,49,3,1,76,1,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Engineer Plt,90,1,0,0,0,0,0,0,0,0,0,30,49,3,1,75,1,75,1,126,1,126,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Pioneer Company,90,1,11,0,0,0,0,0,0,0,0,37,49,3,2,208,1,132,1,123,1,1019,1,1044,1,0,0,0,0,0,0,0,0,0,0
17,LMG Platoon,90,1,11,0,0,0,0,0,0,0,0,41,49,3,1,185,1,185,1,185,1,185,1,0,0,0,0,0,0,0,0,0,0,0,0
18,NZ Armd Car Sec,90,7,1,0,0,0,0,0,0,0,0,43,49,1,1,138,1,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Pioneer Platoon,90,1,10,0,0,0,0,0,0,0,0,37,49,3,1,184,1,184,1,184,1,181,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Engineer Sec,90,1,10,0,0,0,0,0,0,0,0,30,49,3,1,75,1,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Armored Car Sec,90,1,1,0,0,0,0,0,0,0,0,30,49,1,1,137,1,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,AUS CS Tank Sec,90,5,0,0,0,0,0,0,0,0,0,43,45,1,1,167,1,167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Inf CS Tank Trp,90,5,0,0,0,0,0,0,0,0,0,41,49,1,1,29,1,29,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Cruiser Section,90,6,0,0,0,0,0,0,0,0,0,41,43,1,1,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Cruiser Troop,90,6,0,0,0,0,0,0,0,0,0,41,43,1,1,8,1,5,1,5,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
26,NZ Armd Car Trp,90,7,1,0,0,0,0,0,0,0,0,43,49,1,1,138,1,138,1,138,1,138,1,0,0,0,0,0,0,0,0,0,0,0,0
27,NZ SPATG Sec,90,9,0,0,0,0,0,0,0,0,0,44,49,1,1,44,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NZ SPATG Troop,90,9,0,0,0,0,0,0,0,0,0,44,49,1,1,44,1,44,1,44,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Rover Troop,90,10,1,0,0,0,0,0,0,0,0,42,43,1,1,49,1,49,1,49,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0
30,SPA Battery,90,12,2,0,0,0,0,0,0,0,0,42,49,2,1,46,1,46,1,46,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Lt Tank Section,90,7,0,0,0,0,0,0,0,0,0,36,49,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,<<AI-ATG SEC>>,90,1,0,0,0,0,0,0,0,0,0,36,49,5,1,59,1,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,<AI MED MORTAR>,90,1,2,0,0,0,0,0,0,0,0,32,39,5,1,45,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,AUS Dozer Sec,90,10,0,0,0,0,0,0,0,0,0,43,49,1,1,159,1,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Inf AT Section,90,6,0,0,0,0,0,0,0,0,0,38,49,3,1,78,1,78,1,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Sniper,90,1,11,0,0,0,0,0,0,0,0,30,49,3,1,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Fortifications,90,1,0,0,0,0,0,0,0,0,0,30,45,4,1,104,1,104,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
