rid,name,nation,start_mo,status,B18,B19,B20,B21,B22,B23,B24,B25,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,77,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AC Regtl HQ,77,3,1,0,0,0,0,0,0,0,0,43,44,1,1,183,1,17,1,2,1,2,1,12,1,12,1,0,0,0,0,0,0,0,0
3,<AI AFV 40-49>>,77,1,1,0,0,0,0,0,0,0,0,40,49,5,2,1009,1,13,1,1020,1,28,1,1079,1,1046,1,1047,1,1177,1,1098,1,0,0
4,Heavy AC Sec,77,6,1,0,0,0,0,0,0,0,0,41,49,1,1,13,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Armored Car Trp,77,1,1,0,0,0,0,0,0,0,0,30,45,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AC Regtl HQe,77,6,1,0,0,0,0,0,0,0,0,44,49,1,1,183,1,17,1,9,1,9,1,10,1,0,0,0,0,0,0,0,0,0,0
7,Armored Car Trp,77,3,1,0,0,0,0,0,0,0,0,43,49,1,1,2,1,2,1,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Heavy AC Troop,77,7,1,0,0,0,0,0,0,0,0,43,49,1,1,9,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Armored Car Sec,77,1,1,0,0,0,0,0,0,0,0,30,49,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,<<AI CRUISERS>>,77,1,1,0,0,0,0,0,0,0,0,30,43,5,2,21,1,1019,1,1020,1,1020,1,1020,1,1020,1,0,0,0,0,0,0,0,0
11,Arm Car Sqdn38,77,1,1,0,0,0,0,0,0,0,0,38,39,1,2,113,1,1053,1,1054,1,1054,1,1054,1,0,0,0,0,0,0,0,0,0,0
12,Arm Car Sqdn40,77,1,1,0,0,0,0,0,0,0,0,40,40,1,2,113,1,1053,1,1055,1,1055,1,1055,1,1055,1,1055,1,0,0,0,0,0,0
13,Arm Car Sqdn41,77,1,1,0,0,0,0,0,0,0,0,41,42,1,2,5,1,1004,1,1005,1,1005,1,1005,1,1005,1,1005,1,0,0,0,0,0,0
14,Arm Car Sqdn42,77,11,1,0,0,0,0,0,0,0,0,42,43,1,2,2,1,1004,1,1183,1,1183,1,1183,1,1183,1,1183,1,0,0,0,0,0,0
15,Scout Car Sec,77,5,1,0,0,0,0,0,0,0,0,40,42,1,1,17,1,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Arm Car Sqdn43,77,3,1,0,0,0,0,0,0,0,0,43,44,1,2,5,1,1184,1,1007,1,1007,1,1007,1,1007,1,1007,1,1198,1,1193,1,0,0
17,Arm Car Sqdn44,77,6,1,0,0,0,0,0,0,0,0,44,49,1,2,5,1,1184,1,1007,1,1007,1,1007,1,1007,1,1007,1,1198,1,1018,1,0,0
18,AC Support Trp,77,6,1,0,0,0,0,0,0,0,0,44,49,3,1,183,1,17,1,165,1,139,1,165,1,139,1,165,1,139,1,0,0,0,0
19,Lt Cruiser Sec,77,1,1,0,0,0,0,0,0,0,0,36,49,1,1,21,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Lt Cruiser Trp,77,1,1,0,0,0,0,0,0,0,0,36,49,1,1,21,1,21,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Lt Cruiser Sqdn,77,1,1,0,0,0,0,0,0,0,0,36,39,1,2,21,1,1019,1,1020,1,1020,1,1020,1,1020,1,1020,1,0,0,0,0,0,0
22,Lt Cruiser Sqdn,77,1,1,0,0,0,0,0,0,0,0,40,42,1,2,21,1,1019,1,1020,1,1020,1,1020,1,1020,1,0,0,0,0,0,0,0,0
23,Inf Tank Sec,77,2,0,0,0,0,0,0,0,0,0,39,43,1,1,64,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Inf Tank Troop,77,2,0,0,0,0,0,0,0,0,0,39,45,1,1,63,1,63,1,63,1,76,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Inf Tank Sqdn,77,2,1,0,0,0,0,0,0,0,0,39,39,1,2,63,1,63,1,1020,1,1024,1,1024,1,1024,1,1024,1,1024,1,0,0,0,0
26,Inf Tank Sqdn*,77,1,1,0,0,0,0,0,0,0,0,40,41,1,2,63,1,63,1,1020,1,1024,1,1024,1,1024,1,1024,1,0,0,0,0,0,0
27,Inf Tank Sqdn+,77,5,1,0,0,0,0,0,0,0,0,41,43,1,2,63,1,63,1,1030,1,1024,1,1024,1,1024,1,1024,1,0,0,0,0,0,0
28,Inf Tank Sqdn-,77,6,1,0,0,0,0,0,0,0,0,41,43,1,2,63,1,63,1,1024,1,1024,1,1024,1,1024,1,0,0,0,0,0,0,0,0
29,Inf Tank Sqdn*,77,9,1,0,0,0,0,0,0,0,0,43,45,1,2,71,1,71,1,1047,1,1024,1,1024,1,1024,1,1024,1,1024,1,0,0,0,0
30,Matilda CS Sec,77,5,0,0,0,0,0,0,0,0,0,41,43,5,1,65,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,<AI AFV 42-49>>,77,10,11,0,0,0,0,0,0,0,0,42,49,5,2,51,1,1023,1,59,1,1023,1,59,1,1023,1,1077,1,1046,1,1054,1,1054,1
32,Cruiser Section,77,5,0,0,0,0,0,0,0,0,0,38,45,1,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cruiser Troop,77,5,0,0,0,0,0,0,0,0,0,38,43,1,1,28,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cruiser CS Sec,77,5,0,0,0,0,0,0,0,0,0,38,43,5,1,30,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cruiser Sqdn,77,5,1,0,0,0,0,0,0,0,0,38,40,1,2,27,1,27,1,1032,1,1033,1,1033,1,1033,1,1033,1,1033,1,0,0,0,0
36,Cruiser Sqdn,77,10,1,0,0,0,0,0,0,0,0,38,40,1,2,28,1,28,1,1034,1,1033,1,1033,1,1033,1,1033,1,1033,1,0,0,0,0
37,Mixd Cruis Sqdn,77,12,1,0,0,0,0,0,0,0,0,40,41,1,2,33,1,33,1,1046,1,1033,1,1033,1,1020,1,1020,1,0,0,0,0,0,0
