rid,name,nation,start_mo,status,B18,B19,B20,B21,B22,B23,B24,B25,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,71,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Inf Tank Plt,71,1,0,0,0,0,0,0,0,0,0,30,40,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,Panzer IV Plt,71,9,0,0,0,0,0,0,0,0,0,44,49,1,1,28,1,28,1,28,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0
4,Panzer IV Sec,71,9,0,0,0,0,0,0,0,0,0,44,49,1,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Capt T-34 Plt,71,1,10,0,0,0,0,0,0,0,0,42,49,1,1,26,1,26,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Howitzer Sec,71,1,0,0,0,0,0,0,0,0,0,30,49,2,1,82,1,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Howitzer Btry,71,1,0,0,0,0,0,0,0,0,0,30,49,2,1,82,1,82,1,82,1,82,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Assault Gun Plt,71,7,10,0,0,0,0,0,0,0,0,43,49,1,1,21,1,21,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Assault Gun Sec,71,7,10,0,0,0,0,0,0,0,0,43,49,1,1,21,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AT Gun Section,71,10,0,0,0,0,0,0,0,0,0,36,49,2,1,39,1,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,HMG Platoon,71,1,0,0,0,0,0,0,0,0,0,30,49,3,1,107,1,107,1,107,1,107,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Lt Mortar Sec,71,1,2,0,0,0,0,0,0,0,0,40,49,2,1,122,1,48,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Rifle Platoon,71,1,0,0,0,0,0,0,0,0,0,30,40,3,1,122,1,125,1,125,1,115,1,115,1,0,0,0,0,0,0,0,0,0,0
14,Lt Mortar Plt,71,1,2,0,0,0,0,0,0,0,0,41,49,2,1,122,1,48,1,48,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Ski Inf Platoon,71,1,0,0,0,0,0,0,0,0,0,30,49,5,1,167,1,167,1,167,1,167,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Engineer/FT Grp,71,1,0,0,0,0,0,0,0,0,0,30,49,3,1,148,1,148,1,148,1,156,1,156,1,0,0,0,0,0,0,0,0,0,0
17,Engineer Plt,71,1,0,0,0,0,0,0,0,0,0,30,49,3,1,148,1,148,1,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,HMG Section,71,1,0,0,0,0,0,0,0,0,0,30,49,3,1,107,1,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Inf AT Platoon,71,1,0,0,0,0,0,0,0,0,0,36,49,3,1,143,1,143,1,143,1,143,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Sniper,71,1,11,0,0,0,0,0,0,0,0,30,49,3,1,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Hvy Truck Plt,71,1,0,0,0,0,0,0,0,0,0,39,49,4,1,223,1,223,1,223,1,223,1,223,1,0,0,0,0,0,0,0,0,0,0
22,Hvy Truck Sec,71,1,0,0,0,0,0,0,0,0,0,39,49,4,1,223,1,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Truck Platoon,71,1,0,0,0,0,0,0,0,0,0,39,49,4,1,224,1,224,1,224,1,224,1,224,1,0,0,0,0,0,0,0,0,0,0
24,Truck Section,71,1,0,0,0,0,0,0,0,0,0,39,49,4,1,224,1,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Inf AT Section,71,1,0,0,0,0,0,0,0,0,0,36,49,3,1,141,1,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Strike Element,71,1,10,0,0,0,0,0,0,0,0,37,49,4,1,61,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Mot ATG Plt,71,2,0,0,0,0,0,0,0,0,0,40,49,5,1,39,1,39,1,222,1,222,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Mech ATG Plt,71,1,0,0,0,0,0,0,0,0,0,40,49,5,1,39,1,39,1,227,1,227,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Artillery Btry,71,1,0,0,0,0,0,0,0,0,0,30,49,2,1,180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Artillery Btln,71,1,0,0,0,0,0,0,0,0,0,30,49,2,1,180,1,180,1,180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Light Mortar,71,1,2,0,0,0,0,0,0,0,0,40,49,2,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Fortifications,71,1,0,0,0,0,0,0,0,0,0,30,49,4,1,105,1,105,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Rifle Platoon,71,1,0,0,0,0,0,0,0,0,0,41,49,3,1,122,1,129,1,129,1,129,1,129,1,0,0,0,0,0,0,0,0,0,0
34,Fast Tank Plt,71,1,0,0,0,0,0,0,0,0,0,41,42,1,1,13,1,13,1,13,1,13,1,13,1,0,0,0,0,0,0,0,0,0,0
35,Pz IV Co,71,9,0,0,0,0,0,0,0,0,0,44,49,1,2,28,1,28,1,1003,1,1003,1,1003,1,0,0,0,0,0,0,0,0,0,0
36,Lt Tank Company,71,8,1,0,0,0,0,0,0,0,0,39,45,1,2,3,1,3,1,1059,1,1059,1,1059,1,0,0,0,0,0,0,0,0,0,0
37,Asslt Gun Co 43,71,7,11,0,0,0,0,0,0,0,0,43,44,1,2,27,1,1008,1,1008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Rifle Company,71,1,1,0,0,0,0,0,0,0,0,41,49,3,2,135,1,1033,1,1033,1,1033,1,1019,1,1011,1,0,0,0,0,0,0,0,0
39,Rifle Company-,71,1,1,0,0,0,0,0,0,0,0,41,49,3,2,135,1,1033,1,1033,1,1033,1,1019,1,0,0,0,0,0,0,0,0,0,0
40,Ski Inf Company,71,1,1,0,0,0,0,0,0,0,0,30,49,5,2,167,1,1015,1,1015,1,1015,1,1015,1,0,0,0,0,0,0,0,0,0,0
41,Munitions Dump,71,1,0,0,0,0,0,0,0,0,0,30,49,4,1,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Rifle Company,71,1,1,0,0,0,0,0,0,0,0,30,40,3,2,135,1,1013,1,1013,1,1013,1,1013,1,1011,1,0,0,0,0,0,0,0,0
43,Assault Eng Plt,71,1,10,0,0,0,0,0,0,0,0,41,49,3,1,149,1,149,1,149,1,156,1,156,1,0,0,0,0,0,0,0,0,0,0
44,Command Post,71,1,11,0,0,0,0,0,0,0,0,30,49,4,1,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Rifle Company-,71,1,1,0,0,0,0,0,0,0,0,30,40,3,2,135,1,1013,1,1013,1,1013,1,1013,1,0,0,0,0,0,0,0,0,0,0
46,Rifle Company+,71,1,1,0,0,0,0,0,0,0,0,41,49,3,2,135,1,1033,1,1033,1,1033,1,1019,1,1011,1,1014,1,0,0,0,0,0,0
47,Cav ATG Platoon,71,10,0,0,0,0,0,0,0,0,0,36,49,5,1,39,1,39,1,228,1,228,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Tank Rider Plt,71,1,0,0,0,0,0,0,0,0,0,41,42,1,1,13,1,13,1,13,1,110,1,110,1,110,1,0,0,0,0,0,0,0,0
49,Asslt Gun Co 44,71,7,11,0,0,0,0,0,0,0,0,44,49,1,2,27,1,1008,1,1008,1,1008,1,0,0,0,0,0,0,0,0,0,0,0,0
50,AA Gun Section,71,1,0,0,0,0,0,0,0,0,0,30,49,2,1,76,1,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,AA Gun Battery,71,1,0,0,0,0,0,0,0,0,0,30,49,2,1,76,1,76,1,76,1,76,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Mixed Mortar Co,71,1,12,0,0,0,0,0,0,0,0,40,49,2,2,135,1,52,1,52,1,1014,1,1014,1,0,0,0,0,0,0,0,0,0,0
53,Capt T-34 Sec,71,1,10,0,0,0,0,0,0,0,0,42,49,1,1,26,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Jaeger Platoon,71,1,10,0,0,0,0,0,0,0,0,41,49,3,1,124,1,205,1,205,1,205,1,205,1,0,0,0,0,0,0,0,0,0,0
