rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,AMR 33,13,50,2,2,211,0,0,0,100,0,0,0,0,0,0,0,38,13,13,10,13,13,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,20,5,15,15,11,34,40,18,76,233,0,4,0,0,7,0,2,0,6,3,220,0,0,0,0,0,1,0,0,0,0,30,0,0,0
2,Renault R35,12,70,2,2,12,212,0,0,70,30,70,0,0,0,0,0,14,32,40,40,45,40,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,24,16,30,30,50,36,40,55,76,227,0,4,0,0,5,0,2,0,6,2,226,208,0,0,0,0,3,0,0,0,233,9,0,0,0
3,Hotchkiss H35,13,70,2,2,12,212,0,0,60,40,70,0,0,0,0,0,18,35,35,35,45,40,40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,40,16,20,30,12,36,42,56,76,228,0,4,0,0,5,0,2,0,6,2,226,3,0,0,0,0,1,0,0,0,0,30,0,0,0
4,Hotchkiss H39,13,70,2,2,12,212,0,0,60,40,70,0,0,0,0,0,22,40,40,40,40,40,40,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,30,16,28,30,11,39,42,57,76,696,0,4,0,0,5,0,2,0,6,2,226,61,0,0,0,0,1,0,0,0,227,10,0,0,0
5,Renault FT17c,63,60,2,2,12,0,0,0,80,25,0,0,0,0,0,0,8,16,12,10,22,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,20,12,10,14,11,30,42,29,76,230,0,4,0,0,5,0,2,0,0,1,226,2,0,0,0,0,1,0,0,0,0,30,0,0,0
6,Renault Char B1,14,52,4,4,28,212,128,39,20,30,70,0,70,0,67,7,16,40,40,40,50,40,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,32,11,23,23,92,36,40,94,76,231,0,4,0,0,6,0,2,0,8,4,230,63,0,0,0,0,1,0,0,0,228,236,0,0,0
7,Somua S35,13,72,3,3,21,212,0,0,78,40,70,0,0,0,0,0,25,47,40,30,52,42,42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,30,11,23,24,52,37,42,71,76,232,0,4,0,0,6,0,2,0,6,3,228,2,0,0,0,0,1,0,0,0,0,3,0,0,0
8,AMR 35 ZDT1+,13,50,2,2,233,0,0,0,130,0,0,0,0,0,0,0,36,13,13,10,13,13,13,6,13,13,10,13,13,13,6,0,0,0,0,0,0,0,25,0,20,5,15,15,11,37,40,18,76,7618,0,4,0,0,7,0,2,0,6,3,226,64,0,0,0,0,1,0,0,0,184,252,0,0,0
9,Renault B1bis,14,50,4,4,21,212,128,39,20,30,70,0,70,0,67,7,16,60,55,55,66,56,56,28,32,40,40,45,40,40,13,0,0,0,0,0,0,0,35,0,30,11,23,23,92,37,40,113,76,234,0,4,0,0,6,0,2,0,8,4,230,2,0,0,0,0,9,0,0,0,2,29,0,0,0
10,FCM 36,12,52,2,2,12,212,0,0,76,26,80,0,0,0,0,0,16,40,20,20,45,40,40,15,35,35,35,45,40,40,22,0,0,0,0,0,0,0,36,45,70,24,30,35,11,38,40,58,76,235,0,4,0,0,5,0,2,0,6,2,226,65,0,0,0,0,1,0,0,0,230,244,0,0,0
