rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,88,1,11,0,0,0,0,0,0,0,0,30,49,10,5,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Armored Car Sec,88,7,1,0,0,0,0,0,0,0,0,41,43,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,<<AI RECCE>>,88,7,11,0,0,0,0,0,0,0,0,41,49,5,2,2,1,2,1,1104,1,1094,1,1011,1,1078,1,1039,1,0,0,0,0,0,0
4,Armored Car Sqn,88,7,11,0,0,0,0,0,0,0,0,41,43,1,2,2,1,19,1,1081,1,1081,1,1081,1,1081,1,1081,1,1061,1,1041,1,0,0
5,Hussar Section,88,8,1,0,0,0,0,0,0,0,0,38,41,1,1,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Hussar Troop,88,1,1,0,0,0,0,0,0,0,0,39,41,1,1,8,1,8,1,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Hussar Sqdn,88,9,1,0,0,0,0,0,0,0,0,39,41,1,2,8,1,1006,1,1006,1,1006,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Firefly Section,88,6,0,0,0,0,0,0,0,0,0,44,49,5,1,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Centaur Section,88,7,0,0,0,0,0,0,0,0,0,44,45,5,1,51,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Tank Section,88,10,0,0,0,0,0,0,0,0,0,41,49,1,1,13,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lt Tank Section,88,11,0,0,0,0,0,0,0,0,0,41,44,1,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Lt Tank Troop,88,11,0,0,0,0,0,0,0,0,0,41,44,1,1,9,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Lt Tank Sqdrn,88,11,1,0,0,0,0,0,0,0,0,41,44,1,2,9,1,9,1,1012,1,1012,1,1012,1,0,0,0,0,0,0,0,0,0,0
14,Inf Tank Plt,88,11,0,0,0,0,0,0,0,0,0,41,43,1,1,30,1,30,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Inf Tank Co,88,11,1,0,0,0,0,0,0,0,0,41,43,1,2,30,1,30,1,1014,1,1014,1,1014,1,0,0,0,0,0,0,0,0,0,0
16,<<AI TANKS>>,88,10,0,0,0,0,0,0,0,0,0,41,49,5,1,2,1,13,1,13,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Tank Troop 45,88,1,0,0,0,0,0,0,0,0,0,45,49,1,1,14,1,11,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Tank Troop,88,10,0,0,0,0,0,0,0,0,0,41,43,1,1,16,1,16,1,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Tank Troop 44,88,6,0,0,0,0,0,0,0,0,0,44,44,1,1,22,1,13,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Tank Sqdn,88,10,1,0,0,0,0,0,0,0,0,41,43,1,2,16,1,1018,1,1018,1,1018,1,1018,1,1018,1,0,0,0,0,0,0,0,0
21,Tank Sqdn 43,88,7,1,0,0,0,0,0,0,0,0,43,43,1,2,20,1,1030,1,1030,1,1030,1,1030,1,1030,1,0,0,0,0,0,0,0,0
22,Tank Sqdn 45,88,1,1,0,0,0,0,0,0,0,0,45,49,1,2,22,1,1029,1,1017,1,1017,1,1017,1,1017,1,0,0,0,0,0,0,0,0
23,TD Section,88,7,0,0,0,0,0,0,0,0,0,44,49,1,1,35,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,TD Troop,88,7,0,0,0,0,0,0,0,0,0,44,49,1,1,35,1,35,1,35,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Turreted TD Sec,88,1,0,0,0,0,0,0,0,0,0,43,49,1,1,38,1,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Turreted TD Trp,88,1,0,0,0,0,0,0,0,0,0,43,49,1,1,2,1,38,1,38,1,38,1,38,1,0,0,0,0,0,0,0,0,0,0
27,AT Regiment ,88,7,1,0,0,0,0,0,0,0,0,44,49,1,2,2,1,1024,1,1024,1,1183,1,1183,1,0,0,0,0,0,0,0,0,0,0
28,TD Regiment,88,1,1,0,0,0,0,0,0,0,0,43,49,1,2,118,1,1026,1,1026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,CS Tank Troop,88,6,0,0,0,0,0,0,0,0,0,44,49,1,1,26,1,26,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Tank Troop 43,88,7,0,0,0,0,0,0,0,0,0,43,43,1,1,20,1,12,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,MSW Tank Sec,88,7,0,0,0,0,0,0,0,0,0,43,49,1,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,MSW Tank Trp,88,7,0,0,0,0,0,0,0,0,0,43,49,1,1,32,1,32,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Flame Tank Sec,88,8,0,0,0,0,0,0,0,0,0,44,49,1,1,48,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Flame Tank Trp,88,8,0,0,0,0,0,0,0,0,0,44,49,1,1,48,1,48,1,48,1,48,1,50,1,0,0,0,0,0,0,0,0,0,0
35,<<AI ASSAULT>>,88,7,11,0,0,0,0,0,0,0,0,43,49,5,2,32,1,1080,1,1033,1,1079,1,1014,1,0,0,0,0,0,0,0,0,0,0
36,Tank Sqdn 44,88,6,1,0,0,0,0,0,0,0,0,44,44,1,2,22,1,1029,1,1019,1,1019,1,1019,1,1019,1,0,0,0,0,0,0,0,0
37,Amphib Tank Trp,88,6,0,0,0,0,0,0,0,0,0,44,45,1,4,24,1,24,1,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Inf Tank Sec,88,11,0,0,0,0,0,0,0,0,0,41,43,1,1,30,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,<<AI TANKS>>,88,10,0,0,0,0,0,0,0,0,0,41,49,5,1,12,1,12,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Truck Section,88,1,0,0,0,0,0,0,0,0,0,30,49,4,1,57,1,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Truck Platoon,88,1,0,0,0,0,0,0,0,0,0,30,49,4,1,57,1,57,1,57,1,57,1,0,0,0,0,0,0,0,0,0,0,0,0
42,Hvy Truck Sec,88,6,0,0,0,0,0,0,0,0,0,43,49,4,1,63,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Hvy Truck Plt,88,6,0,0,0,0,0,0,0,0,0,43,49,4,1,63,1,63,1,63,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Halftrack Sec,88,10,0,0,0,0,0,0,0,0,0,42,49,4,1,58,1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Utility Veh Plt,88,6,0,0,0,0,0,0,0,0,0,42,49,4,1,148,1,148,1,148,1,148,1,0,0,0,0,0,0,0,0,0,0,0,0
46,Scout Car Plt,88,5,1,0,0,0,0,0,0,0,0,42,46,4,1,54,1,54,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,APC Platoon,88,8,0,0,0,0,0,0,0,0,0,44,49,4,1,53,1,53,1,53,1,53,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Lt Amphib Sec,88,7,0,0,0,0,0,0,0,0,0,49,49,4,1,176,1,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Lt Amphib Plt,88,7,0,0,0,0,0,0,0,0,0,49,49,4,1,176,1,176,1,176,1,176,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Hvy Amphib Sec,88,10,0,0,0,0,0,0,0,0,0,44,49,4,1,178,1,178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Hvy Amphib Plt,88,10,0,0,0,0,0,0,0,0,0,44,49,4,1,178,1,178,1,178,1,178,1,0,0,0,0,0,0,0,0,0,0,0,0
52,Amphib,88,6,0,0,0,0,0,0,0,0,0,44,49,4,1,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Amphib Platoon,88,6,0,0,0,0,0,0,0,0,0,44,49,4,1,177,1,177,1,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Hvy AA Section,88,1,0,0,0,0,0,0,0,0,0,30,42,5,1,98,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,<<AI PICK INF>>,88,1,0,0,0,0,0,0,0,0,0,30,49,5,2,69,1,1061,1,1109,1,1181,1,1161,1,1132,1,0,0,0,0,0,0,0,0
56,AA Gun Battery,88,1,0,0,0,0,0,0,0,0,0,30,49,2,1,100,1,100,1,100,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0
57,SPAA Section,88,7,0,0,0,0,0,0,0,0,0,42,49,2,1,104,1,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,SPAA Battery,88,7,0,0,0,0,0,0,0,0,0,42,49,2,1,104,1,104,1,104,1,104,1,0,0,0,0,0,0,0,0,0,0,0,0
59,Wheeled AA Sec,88,7,0,0,0,0,0,0,0,0,0,43,49,2,1,102,1,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Halftrack Plt,88,10,0,0,0,0,0,0,0,0,0,42,49,4,1,58,1,58,1,58,1,58,1,0,0,0,0,0,0,0,0,0,0,0,0
61,Rifle Platoon,88,1,0,0,0,0,0,0,0,0,0,30,49,3,1,95,1,68,1,68,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0
62,Rifle Company,88,1,1,0,0,0,0,0,0,0,0,40,49,3,2,136,1,1061,1,1061,1,1061,1,1113,1,0,0,0,0,0,0,0,0,0,0
63,Rifle Company,88,1,1,0,0,0,0,0,0,0,0,30,39,3,2,136,1,1061,1,1061,1,1061,1,93,1,0,0,0,0,0,0,0,0,0,0
64,Rifle Platoon+,88,6,0,0,0,0,0,0,0,0,0,41,49,5,1,95,1,67,1,70,1,70,1,85,1,0,0,0,0,0,0,0,0,0,0
65,Rifle Company+,88,6,1,0,0,0,0,0,0,0,0,41,49,3,2,136,1,1064,1,1064,1,1064,1,1108,1,1113,1,1154,1,0,0,0,0,0,0
66,AA Gun Section,88,1,0,0,0,0,0,0,0,0,0,30,49,2,1,100,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Engineer Sec,88,1,0,0,0,0,0,0,0,0,0,30,49,3,1,73,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Engineer Plt,88,1,0,0,0,0,0,0,0,0,0,39,49,5,1,163,1,74,1,74,1,74,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Engineer Plt,88,1,0,0,0,0,0,0,0,0,0,30,49,3,1,163,1,73,1,73,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0
70,Assault Platoon,88,11,10,0,0,0,0,0,0,0,0,43,43,3,1,141,1,117,1,66,1,74,1,74,1,0,0,0,0,0,0,0,0,0,0
71,Assault Platoon,88,1,10,0,0,0,0,0,0,0,0,44,49,3,1,141,1,117,1,66,1,66,1,66,1,0,0,0,0,0,0,0,0,0,0
72,Engineer Co,88,1,1,0,0,0,0,0,0,0,0,39,49,3,2,136,1,1068,1,1068,1,1068,1,1150,1,1107,1,0,0,0,0,0,0,0,0
73,Home Guard,88,5,20,0,0,0,0,0,0,0,0,40,45,3,1,95,1,161,1,161,1,161,1,162,1,0,0,0,0,0,0,0,0,0,0
74,Commando Plt,88,1,11,0,0,0,0,0,0,0,0,41,49,3,1,212,1,76,1,76,1,76,1,0,0,0,0,0,0,0,0,0,0,0,0
75,Elite Rifle Plt,88,1,10,0,0,0,0,0,0,0,0,43,49,3,1,141,1,137,1,138,1,138,1,85,1,0,0,0,0,0,0,0,0,0,0
76,Elite Rifle Co,88,1,11,0,0,0,0,0,0,0,0,43,49,3,2,136,1,1075,1,1075,1,1075,1,1108,1,1113,1,1154,1,0,0,0,0,0,0
77,Utility Veh Sec,88,6,0,0,0,0,0,0,0,0,0,42,49,4,1,148,1,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,<AI SP-AA UNIT>,88,7,0,0,0,0,0,0,0,0,0,42,49,5,1,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,CS Tank Sec,88,10,0,0,0,0,0,0,0,0,0,44,49,1,1,26,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Eng Tank Sec,88,6,0,0,0,0,0,0,0,0,0,44,49,1,1,34,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Armored Car Trp,88,7,11,0,0,0,0,0,0,0,0,41,43,1,1,19,1,19,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
82,Hvy Tank Troop,88,6,0,0,0,0,0,0,0,0,0,45,49,1,1,159,1,159,1,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,OS 25pdr Troop,88,4,0,0,0,0,0,0,0,0,0,40,49,2,1,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,OS 25pdr Btry,88,4,0,0,0,0,0,0,0,0,0,40,49,2,1,185,1,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,OS 4.5in Troop,88,1,0,0,0,0,0,0,0,0,0,30,42,2,1,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,OS 4.5in Btry,88,1,0,0,0,0,0,0,0,0,0,30,42,2,1,186,1,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,OS 5.5in Troop,88,5,0,0,0,0,0,0,0,0,0,42,49,2,1,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,OS 5.5in Btry,88,5,0,0,0,0,0,0,0,0,0,42,49,2,1,187,1,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,OS 7.2in Troop,88,1,0,0,0,0,0,0,0,0,0,42,45,2,1,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,OS 7.2in Btry,88,1,0,0,0,0,0,0,0,0,0,42,45,2,1,188,1,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Carrier AT Trp,88,7,1,0,0,0,0,0,0,0,0,39,45,1,1,36,1,36,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Carrier Recce,88,7,1,0,0,0,0,0,0,0,0,43,49,4,1,118,1,118,1,90,1,90,1,58,1,58,1,0,0,0,0,0,0,0,0
93,Carrier Troop,88,10,1,0,0,0,0,0,0,0,0,42,49,4,1,36,1,125,1,125,1,125,1,125,1,125,1,0,0,0,0,0,0,0,0
94,Arm'd Recce Sec,88,1,11,0,0,0,0,0,0,0,0,43,45,1,1,122,1,122,1,78,1,90,1,117,1,0,0,0,0,0,0,0,0,0,0
