rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,arm.B07,arm.B08,arm.B09,arm.B10,arm.B11,arm.B12,arm.B13,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,end_mo,smkdev,start_mo,B83,B84,B85,B86,text,sound,B89,B90
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Cpt 95 Ha-Go,12,50,3,3,13,0,0,209,60,19,0,0,0,0,60,0,28,12,12,8,12,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,15,10,15,18,15,12,37,45,34,9,764,0,4,0,0,6,0,2,0,6,3,226,600,0,0,0,1,0,0,0,0,764,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Command Car,26,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,49,6,9,352,0,0,0,0,9,0,0,0,6,1,224,1020,0,0,0,8,0,0,0,0,352,0,0,0
14,1-1/2ton Truck,27,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,12,12,8,12,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,49,13,9,406,0,0,0,0,9,0,0,0,112,4,228,476,0,0,0,1,0,0,0,0,406,0,0,0
15,2-1/2ton Truck,27,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,49,18,9,404,0,0,0,0,9,0,0,0,218,4,228,545,0,0,0,1,0,0,0,0,404,0,0,0
16,37mm AT Gun,6,0,1,4,16,110,0,0,20,40,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,43,46,22,9,407,0,2,0,0,8,0,2,0,0,0,104,54,0,0,0,11,0,0,0,0,407,0,0,0
17,75mm Inf Gun,62,0,1,8,39,0,0,0,40,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,30,49,10,9,221,0,2,0,0,4,0,1,0,0,0,108,651,0,0,0,1,0,0,0,0,221,0,0,0
18,Hvy AAMG,8,0,1,4,141,0,0,0,60,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,49,15,9,241,0,2,0,0,9,0,2,0,0,0,104,664,0,0,0,1,0,0,0,0,241,0,0,0
19,75mm Howitzer,9,0,1,6,33,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,38,49,29,9,411,0,2,0,0,6,0,1,0,0,0,106,651,0,0,0,1,0,0,0,0,411,0,0,0
20,75mm FH Btry,10,0,1,32,227,227,227,227,40,0,40,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,30,45,71,9,411,0,2,0,0,8,0,0,0,0,0,255,656,0,0,0,1,0,0,0,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Chinese HMG,81,0,0,4,122,87,249,0,60,0,4,0,40,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,47,49,24,9,107,0,3,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,107,0,0,0
25,Chinese HMG,81,0,0,4,122,87,159,0,60,0,4,0,40,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,46,24,9,107,0,3,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,107,0,0,0
26,Chinese MG,4,0,0,4,120,87,179,0,60,0,4,0,40,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,43,49,17,9,418,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,418,0,0,0
27,Chinese MG ,4,0,0,4,123,87,249,0,60,0,4,0,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,47,49,20,9,108,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,108,0,0,0
28,ATR Team,2,0,0,2,228,202,0,0,0,40,40,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,48,17,9,804,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,804,0,0,0
29,Warlord Rifles,107,0,1,14,213,87,113,0,40,0,7,0,40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,19,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Warlord Rifles,107,0,1,14,178,87,113,0,40,0,7,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,17,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Warlord Rifles,107,0,1,14,178,87,113,0,40,0,7,0,40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,17,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Chinese Sniper,45,0,0,1,146,0,0,0,50,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,49,20,9,7067,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,ATR Team ,2,0,0,2,88,160,0,0,0,40,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,44,15,9,70,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,0,0,0
34,Bunker,0,70,2,10,178,122,122,0,50,0,120,0,90,0,0,0,0,60,60,60,20,120,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,45,67,9,120,0,0,0,0,9,0,5,0,0,3,255,679,0,0,0,1,0,0,0,0,0,0,0,0
35,Bunker,0,70,2,10,21,208,122,0,70,50,120,0,90,0,0,0,0,60,60,60,20,120,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,44,49,130,9,120,0,4,0,0,9,0,5,0,0,4,255,680,0,0,0,1,0,0,0,0,0,0,0,0
36,RPG Team,2,0,0,2,6,5,0,0,0,10,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,49,16,9,11071,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,689,0,0,0
37,ATR Team,2,0,0,2,10,5,0,0,0,32,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,13,9,5805,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5805,0,0,0
38,NK RPG Team,2,0,0,2,185,5,0,0,0,10,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,49,16,9,11071,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,689,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Chinese Rifles,40,0,1,10,1,87,98,93,50,0,10,0,50,0,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,47,49,28,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,Chinese Rifles,40,0,1,10,112,87,207,218,50,0,10,0,50,0,10,0,9,0,0,0,0,0,0,0,60,60,60,20,120,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,49,23,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Chinese Rifles,1,0,1,10,157,87,207,0,50,0,10,0,50,0,0,0,9,0,0,0,0,0,0,0,60,60,60,20,120,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,48,19,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,Chinese Rifles,1,0,1,10,1,87,98,0,50,0,10,0,50,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,48,49,19,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,75mm Howitzer,9,0,1,8,227,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,30,45,27,9,411,0,2,0,0,6,0,1,0,0,0,108,655,0,0,0,1,0,0,0,0,0,0,0,0
45,76.2mm Howitzer,9,0,1,6,36,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,30,42,25,9,8134,0,2,0,0,6,0,1,0,0,0,106,656,0,0,0,1,0,0,0,0,8134,0,0,0
46,105mm FH Btry,10,0,2,8,71,71,71,71,40,0,40,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,49,83,9,427,0,2,0,0,6,0,0,0,0,0,255,0,0,0,0,1,0,0,0,0,427,0,0,0
47,149mm FH Btry,10,0,1,10,111,111,111,111,40,0,40,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,30,45,89,9,67,0,2,0,0,4,0,0,0,0,0,255,0,0,0,0,1,0,0,0,0,0,0,0,0
48,45mm AT Gun,6,0,1,5,18,0,0,0,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,46,23,9,7326,0,3,0,0,7,0,2,0,0,0,105,55,0,0,0,1,0,0,0,0,7326,0,0,0
49,37mm AT Gun,6,0,1,5,14,159,0,0,20,40,50,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,42,22,9,48,0,2,0,0,8,0,2,0,0,0,105,54,0,0,0,1,0,0,0,0,48,0,0,0
50,57mm AT Gun,6,0,1,5,27,229,0,0,0,40,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,45,46,26,9,670,0,3,0,0,7,0,3,0,0,0,105,55,0,0,0,1,0,0,0,0,670,0,0,0
51,Lt Cavalry,3,0,2,10,178,87,0,0,50,0,10,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,43,21,9,204,0,0,0,0,9,0,0,0,0,0,255,0,2,0,0,1,0,0,0,0,0,0,0,0
52,Chinese Pioneer,20,0,1,10,178,84,87,0,50,0,0,4,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,44,20,9,8413,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,20mm AA Gun,8,0,1,5,147,0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,49,21,9,7905,0,3,0,0,9,0,3,0,0,0,105,658,0,0,0,1,0,0,0,0,0,0,0,0
54,40mm AA Gun,8,0,1,6,17,0,0,0,50,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44,49,42,9,685,0,3,0,0,8,0,3,0,0,0,108,660,0,0,0,1,0,0,0,0,685,0,0,0
55,Chinese Pioneer,20,0,1,10,1,84,4,87,50,0,0,4,50,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,45,49,25,9,8413,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,Cpt Type 92 AC,88,60,2,4,245,0,206,206,90,0,0,0,50,0,50,0,26,16,11,11,11,11,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,12,22,22,22,33,38,24,9,775,0,4,0,0,5,0,2,0,0,1,226,606,0,0,0,1,0,0,0,0,775,0,0,0
57,Chinese Rifles,1,0,1,10,157,87,97,0,50,0,10,0,50,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,43,20,9,8412,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,Chinese Pioneer,20,0,1,10,178,87,82,0,50,0,8,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,44,20,9,8413,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,Chinese Pioneer,20,0,1,10,1,87,4,81,50,0,10,0,50,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,45,49,25,9,8413,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,Pioneer Leader,102,0,1,7,178,87,0,0,50,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49,14,9,8408,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1004,0,0,0
61,Pioneer Leader,102,0,1,7,248,87,4,0,50,0,6,0,50,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49,15,9,8408,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1004,0,0,0
62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,45mm AT Gun,6,0,1,5,19,0,0,0,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,11,11,11,11,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,49,27,9,8132,0,3,4,0,7,0,2,0,0,0,105,55,0,0,0,1,0,0,0,0,8132,0,0,0
