rid,name,wclass,B16,size,warhead,pen.HE,pen.AP,kill,accuracy,rng_max,rng_APCR,pen_APCR,pen_HEAT,sound,X1,X2,X3,X4,X5,X6,X7
1,Misc Small Arms,1,0,1,1,0,0,2,8,12,0,0,0,662,0,0,0,0,0,0,0
2,Type 100 SMG,1,0,1,1,0,0,3,4,16,0,0,0,573,0,0,0,0,0,0,0
3,Bergmann SMG,1,0,1,1,0,0,3,8,16,0,0,0,573,0,0,0,0,0,0,0
4,57mm Type 90,5,0,7,3,22,49,4,48,110,0,0,55,0,0,0,0,0,0,0,0
5,Bergmann SMG,2,0,1,1,0,0,3,8,16,0,0,0,573,0,0,0,0,0,0,0
6,Type 100 SMG,2,0,1,1,0,0,3,4,16,0,0,0,573,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,37mm T11 CFIG,5,0,6,2,11,0,3,24,80,0,0,0,0,0,0,0,0,0,0,0
13,37mm Type 94,5,0,6,2,11,37,3,40,160,0,0,0,0,0,0,0,0,0,0,0
14,37mm Type 98,5,0,6,2,11,41,2,40,160,0,0,0,0,0,0,0,0,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37mm L53 Gun M3,5,0,6,2,12,69,4,44,120,0,0,0,0,0,0,0,0,0,0,0
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,37mm Type 100,5,0,6,2,11,41,3,40,160,0,0,0,0,0,0,0,0,0,0,0
19,37mm Type 1,5,0,6,2,11,48,3,40,160,0,0,0,0,0,0,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,47mm Type 1 Gun,5,0,7,3,16,83,3,56,120,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,50mm Type98 Mtr,3,0,2,6,8,0,4,0,32,10,0,0,819,0,0,0,0,0,0,0
28,50mm Type98 Mtr,2,0,2,6,8,0,4,0,32,10,0,0,819,0,0,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,70mm Type 92 Gn,6,0,8,4,19,39,6,40,207,0,0,88,0,0,0,0,0,0,0,0
32,75mm T41 MtnG,6,0,8,4,21,43,6,40,216,20,0,100,0,0,0,0,0,0,0,0
33,75mm Type 38 Hw,6,0,9,4,23,66,6,36,220,20,0,0,0,0,0,0,0,0,0,0
34,75mm Type 94 Hw,6,0,8,4,21,68,5,40,220,20,0,0,0,0,0,0,0,0,0,0
35,75mm T38 Imp Hw,6,0,9,4,23,66,6,36,228,40,0,0,0,0,0,0,0,0,0,0
36,Type 3 76mm AA,4,0,9,4,25,74,7,64,180,0,0,0,0,0,0,0,0,0,0,0
37,75mm Type 95 Gn,6,0,9,4,23,66,6,36,231,40,0,100,0,0,0,0,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,75mm Type 99 Gn,6,0,8,4,24,84,6,48,120,0,0,0,0,0,0,0,0,0,0,0
40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,75mm Type 90 Gn,6,0,8,4,24,89,6,52,231,40,0,100,0,0,0,0,0,0,0,0
45,75mm Type 3 Gun,6,0,8,4,25,98,6,52,160,0,0,0,0,0,0,0,0,0,0,0
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,75mm Type 5 Gun,6,0,9,4,26,145,6,84,210,200,198,0,0,0,0,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,81mm T97 CFIG,3,0,5,5,18,0,7,16,208,20,0,0,0,0,0,0,0,0,0,0
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
63,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,150mm Type 4 Hw,7,0,12,9,51,116,15,48,217,40,0,0,0,0,0,0,0,0,0,0
67,150mm Type 89,7,0,12,9,56,120,15,52,217,40,0,0,0,0,0,0,0,0,0,0
68,105mm Type 91,7,0,12,6,47,72,10,48,228,40,0,0,0,0,0,0,0,0,0,0
69,105mm Type 14,7,0,12,6,38,72,10,48,228,40,0,0,0,0,0,0,0,0,0,0
70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,105mm Type 92,7,0,12,6,47,80,10,48,231,40,0,0,0,0,0,0,0,0,0,0
72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
75,120mm Naval How,7,0,12,7,41,193,12,36,213,0,0,140,0,0,0,0,0,0,0,0
76,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
77,TNT,2,0,2,10,80,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0
78,,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0
79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Type 93 Flame,8,0,3,15,150,0,16,4,4,0,0,0,0,0,0,0,0,0,0,0
84,Satchel Charge,2,0,2,10,0,222,8,4,4,0,0,150,0,0,0,0,0,0,0,0
85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Anti-Tank Mine,2,0,2,10,0,222,0,4,4,0,0,100,483,0,0,0,0,0,0,0
87,Type 97 Grenade,2,0,1,2,19,0,8,4,4,0,0,0,705,0,0,0,0,0,0,0
88,Type 100 Flame,8,0,3,20,150,0,20,4,4,0,0,0,0,0,0,0,0,0,0,0
89,Type 91 Grenade,2,0,1,2,19,0,10,4,4,0,0,0,705,0,0,0,0,0,0,0
90,,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
91,70mm AT Rocket,2,0,4,4,0,222,4,8,16,0,0,85,633,0,0,0,0,0,0,0
92,10th Yr Grenade,2,0,4,2,22,222,3,4,4,0,0,28,705,0,0,0,0,0,0,0
93,T-2 RGL 40mm,2,0,2,2,4,222,4,4,12,0,0,60,0,0,0,0,0,0,0,0
94,Bamboo Spear,1,0,0,1,0,0,1,4,4,0,0,0,990,0,0,0,0,0,0,0
95,Ceramic Grenade,2,0,4,3,12,0,3,4,4,0,0,0,705,0,0,0,0,0,0,0
96,6.5mm Type 44,1,0,1,1,0,0,1,12,24,0,0,0,0,0,0,0,0,0,0,0
97,6.5mm Type 44,2,0,1,1,0,0,1,12,24,0,0,0,0,0,0,0,0,0,0,0
98,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,T-91 RGL ,2,0,2,2,12,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0
100,T-2 RGL 30mm,2,0,2,2,4,222,4,4,12,0,0,24,0,0,0,0,0,0,0,0
101,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Flame Projector,9,0,3,20,200,0,20,8,8,0,0,0,0,0,0,0,0,0,0,0
109,200mm Rocket,7,0,18,12,84,0,27,0,216,0,0,0,0,0,0,0,0,0,0,0
110,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Nambu Pistol,1,0,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0
115,Nambu Pistol,2,0,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0
116,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,.303 Vickers MG,3,0,4,1,0,0,14,48,100,0,0,0,579,0,0,0,0,0,0,0
119,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,.30cal BMG,5,0,3,1,0,0,8,28,32,0,0,0,525,0,0,0,0,0,0,0
132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,7.7mm Type 99,2,0,1,1,0,0,1,16,24,0,0,0,0,0,0,0,0,0,0,0
135,7.7mm Type 99,1,0,1,1,0,0,1,16,24,0,0,0,0,0,0,0,0,0,0,0
136,Samurai Sword,1,0,1,1,0,0,4,4,4,0,0,0,725,0,0,0,0,0,0,0
137,Samurai Sword,2,0,1,1,0,0,4,4,4,0,0,0,725,0,0,0,0,0,0,0
138,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,.30cal M1917 AA,4,0,3,1,0,0,7,48,100,0,0,0,525,0,0,0,0,0,0,0
140,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,6.5mm Type 44,2,0,1,1,0,0,1,12,40,0,0,0,0,0,0,0,0,0,0,0
142,6.5mm Type 44,1,0,1,1,0,0,1,12,40,0,0,0,0,0,0,0,0,0,0,0
