rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,7-TP jw,12,50,3,3,15,137,0,0,25,55,60,0,0,0,0,0,18,17,13,13,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,20,5,12,12,52,37,39,45,80,370,0,4,0,0,6,0,2,0,6,3,226,0,1,0,0,0,10,0,0,0,0,0,0,0,0
2,R-35,95,70,2,2,12,212,0,0,70,30,70,0,0,0,0,0,14,32,40,40,45,40,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,24,16,30,30,50,36,40,55,80,8055,0,4,0,0,5,0,2,0,6,2,226,66,200,0,0,0,3,0,0,0,114,87,0,0,0
3,Vickers VI B,12,0,2,3,249,179,0,0,80,0,60,0,0,0,0,0,34,16,12,6,18,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,32,12,8,8,90,36,41,42,80,9956,0,4,0,0,9,0,2,0,4,1,224,4,1,0,0,1,7,0,0,0,1,0,0,0,0
4,Stuart III/IV,12,50,3,4,14,139,177,131,33,70,60,0,60,0,60,0,34,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,16,5,5,5,90,41,44,71,80,9963,0,4,0,0,6,4,2,0,6,2,226,61,163,0,0,1,11,0,0,0,119,86,0,0,0
5,Stuart VI,12,0,2,4,16,139,177,131,44,83,60,0,60,0,60,0,32,63,29,28,67,32,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,33,10,0,0,90,44,46,74,80,381,0,4,0,0,5,0,2,0,6,2,226,2,0,0,0,0,1,0,0,0,31,0,0,0,0
6,FT-17 (MG),98,0,2,2,248,0,0,0,60,0,0,0,0,0,0,0,6,8,8,6,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,13,30,39,13,80,8091,0,4,0,0,9,0,2,0,0,1,226,247,217,0,0,0,1,0,0,0,228,204,0,0,0
7,FT-17 (37mm),91,0,2,2,12,0,0,0,50,50,0,0,0,0,0,0,6,8,8,6,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,11,30,40,18,80,8099,0,4,0,0,6,0,1,0,0,2,226,1,1,0,0,0,1,0,0,0,38,31,0,0,0
8,Matilda I,63,0,2,2,249,0,0,0,90,0,0,0,0,0,0,0,10,60,54,45,66,60,20,14,17,13,13,15,15,15,10,0,0,0,0,0,0,0,22,0,0,5,18,18,12,41,42,58,80,7713,0,4,0,0,9,0,2,0,4,3,226,28,97,0,0,0,9,0,0,0,235,206,0,0,0
9,FT-17 (MG),98,0,2,2,211,0,0,0,90,0,0,0,0,0,0,0,6,8,8,6,10,8,8,4,32,40,40,45,40,40,13,0,0,0,0,0,0,0,52,0,0,0,0,0,11,40,40,10,80,8091,0,4,0,0,7,0,2,0,0,1,226,2,3,0,0,0,1,0,0,0,38,31,0,0,0
10,Valentine I/II,63,70,3,3,20,179,0,0,0,79,60,0,0,0,0,0,16,60,60,31,65,65,65,14,16,12,6,18,12,12,4,0,0,0,0,0,0,0,17,6,24,18,8,8,80,41,43,68,80,9972,0,4,0,0,5,0,3,0,8,3,226,29,105,0,0,1,7,0,0,0,125,235,0,0,0
11,Valentine III/V,63,70,3,4,20,179,0,0,0,79,60,0,0,0,0,0,16,54,54,31,68,54,65,14,44,25,25,56,25,25,13,0,0,0,0,0,0,0,17,6,24,18,8,8,80,43,43,69,80,639,0,4,0,0,6,0,3,0,8,3,226,2,3,0,0,1,3,0,0,0,1,31,0,0,0
12,Valentine IX,63,0,3,3,80,0,0,0,16,37,0,0,0,0,0,0,18,62,54,31,74,45,65,14,63,29,28,67,32,32,13,0,0,0,0,0,0,0,17,6,24,18,12,8,81,43,43,88,80,9973,0,4,0,0,5,0,3,0,8,4,226,114,55,0,0,1,4,0,0,0,155,99,0,0,0
13,Churchill I,63,72,3,5,20,179,0,35,0,150,60,0,0,0,58,0,16,95,76,64,89,89,89,22,8,8,6,10,8,8,4,0,0,0,0,0,0,0,25,0,8,0,8,8,92,42,42,108,80,9975,0,4,0,0,6,0,3,0,4,5,228,2,0,0,0,1,9,0,0,0,31,0,0,0,0
14,25pdr FG Btry,10,0,2,32,63,63,63,63,40,0,40,0,40,0,40,0,0,0,0,0,0,0,0,0,8,8,6,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,91,40,46,80,80,672,0,2,0,0,8,0,0,0,0,0,255,223,56,0,0,0,1,0,0,0,163,167,0,0,0
