rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,84,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tankette,84,8,0,0,0,0,0,0,0,0,0,36,49,1,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lt Cav Sqdn,84,1,11,0,0,0,0,0,0,0,0,30,44,3,2,51,1,1030,1,1030,1,1030,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Rifle Company,84,1,1,0,0,0,0,0,0,0,0,35,49,3,2,125,1,1032,1,1032,1,1032,1,1056,1,0,0,0,0,0,0,0,0,0,0
5,Rifle Company+,84,1,1,0,0,0,0,0,0,0,0,30,42,3,2,124,1,1033,1,1033,1,1033,1,1033,1,0,0,0,0,0,0,0,0,0,0
6,Rifle Company-,84,1,1,0,0,0,0,0,0,0,0,30,42,3,2,124,1,1033,1,1033,1,1033,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Motor Rifle Co,84,1,1,0,0,0,0,0,0,0,0,39,49,3,2,124,1,99,1,1031,1,1031,1,1031,1,1025,1,1056,1,1021,1,0,0,0,0
8,Tank Section,84,2,0,0,0,0,0,0,0,0,0,44,49,1,1,94,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Tank Platoon,84,2,0,0,0,0,0,0,0,0,0,44,49,1,1,94,1,94,1,94,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Tankette Plt,84,8,0,0,0,0,0,0,0,0,0,36,49,1,1,93,1,93,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lt Tank Platoon,84,1,0,0,0,0,0,0,0,0,0,36,43,1,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Stuart Platoon,84,10,0,0,0,0,0,0,0,0,0,43,49,1,1,4,1,4,1,4,1,4,1,4,1,0,0,0,0,0,0,0,0,0,0
13,Stuart Company,84,2,1,0,0,0,0,0,0,0,0,44,49,1,2,4,1,1012,1,1012,1,1012,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Stuart Section,84,10,0,0,0,0,0,0,0,0,0,43,49,1,1,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
