id,nation,name,type,type,uclass,uclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,mclass,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_FH,arm_SH,arm_RH,arm_FT,arm_ST,arm_RT,arm_TP,arm_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT
2,19,AC Bilbao,77,light armored car,8,recon,1936,7,1938,0,3,3,2,16,24,0,12,0,4,2,0,9,5,226,0,0,211,90,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,3,3,3,3,50,5,0,12,5,5,5
3,19,Lancia 1Z,77,light armored car,8,recon,1937,1,1940,0,3,5,2,21,36,0,62,0,4,2,0,9,0,226,0,0,224,90,0,0,0,0,0,0,0,0,0,218,60,0,10,10,10,12,10,10,10,60,25,0,0,0,0,0
4,19,Lancia 1ZM,77,light armored car,8,recon,1937,1,1940,0,3,5,2,21,36,0,62,0,4,2,0,9,0,226,0,0,224,90,0,0,0,0,0,0,0,0,0,218,60,0,10,10,10,12,10,10,10,60,25,0,0,0,0,0
5,19,Cpt FAI AC,77,light armored car,8,recon,1937,3,1940,0,2,3,2,18,36,0,22,0,4,2,0,9,0,226,0,0,172,90,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,4,60,15,0,15,20,15,15
6,19,Cpt BA-6,78,armored car,8,recon,1937,3,1949,0,2,4,2,42,26,0,22,0,4,2,0,6,0,226,0,0,18,30,30,0,0,171,60,0,0,0,0,129,60,0,9,9,9,9,9,9,4,60,25,8,20,30,0,0
7,19,UNL-35 AC,77,light armored car,8,recon,1938,1,1949,0,2,3,2,27,40,0,92,0,4,2,0,9,104,226,0,0,176,90,0,0,0,0,0,0,0,0,0,6,60,0,8,8,8,12,8,8,8,60,15,5,15,20,15,15
8,19,Chevrolet AC,77,light armored car,8,recon,1938,1,1949,0,2,3,2,21,30,0,92,0,4,2,0,9,0,226,0,0,176,90,0,0,0,0,0,0,0,0,0,6,60,0,8,8,8,12,8,8,8,0,25,8,20,30,5,5
9,19,Chevrolet AC+,78,armored car,8,recon,1939,1,1949,0,2,4,2,46,30,0,92,0,4,2,0,6,0,226,0,0,18,24,30,0,6,155,60,0,0,0,0,6,60,0,8,8,8,12,8,8,8,0,25,8,20,30,5,5
11,19,M1917 (MG),29,infantry tank,2,armor,1936,7,1938,0,2,2,1,12,6,0,11,0,4,2,0,7,0,226,0,0,211,90,0,0,0,0,0,0,0,0,0,0,0,0,11,8,8,15,7,7,4,0,52,0,35,18,22,22
12,19,M1917 (37),29,infantry tank,2,armor,1937,5,1938,0,2,2,1,21,6,0,12,0,4,2,0,7,0,226,0,0,12,50,50,0,0,0,0,0,0,0,0,0,0,0,11,8,8,15,7,7,4,0,52,0,35,18,22,22
