id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,end_mo,exp_mod,mor_mod,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,78,SP ENH FR v1.1,4,elite recon,5,force HQ,6,force HQ,1930,1,1949,12,0,0,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,78,T.15 Section,4,elite recon,1,platoon,1,armor,1937,1,1940,12,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,78,Inf Tank Sec,0,average,1,platoon,1,armor,1930,1,1940,12,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,78,Lt Tank Platoon,1,recon,1,platoon,1,armor,1941,11,1945,12,0,0,6,1,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
5,78,Lt Tank Section,1,recon,1,platoon,1,armor,1941,11,1949,12,0,0,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,78,Tank Platoon,0,average,1,platoon,1,armor,1942,11,1949,12,0,0,67,1,67,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,78,Tank Section,0,average,1,platoon,1,armor,1942,11,1949,12,0,0,67,1,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,78,Rifle Platoon,0,average,1,platoon,3,infantry,1930,1,1940,12,0,0,51,1,30,1,30,1,30,1,30,1,60,1,0,0,0,0,0,0,0,0
9,78,Lorried Inf Plt,0,average,1,platoon,3,infantry,1940,7,1945,12,0,0,156,1,141,1,212,1,103,1,103,1,105,1,105,1,0,0,0,0,0,0
10,78,Motor Cav Plt,0,average,1,platoon,3,infantry,1937,1,1940,12,0,0,51,1,104,1,104,1,104,1,104,1,0,0,0,0,0,0,0,0,0,0
11,78,Reserve Platoon,6,second line,1,platoon,3,infantry,1930,1,1940,12,0,0,51,1,30,1,30,1,30,1,30,1,60,1,0,0,0,0,0,0,0,0
12,78,Pionnier Plt,3,elite,1,platoon,3,infantry,1930,1,1939,12,0,0,52,1,61,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,78,Pionnier Co,4,elite recon,2,company,3,infantry,1930,1,1939,12,0,0,142,1,15,1,1012,1,1012,1,1028,1,1028,1,0,0,0,0,0,0,0,0
14,78,Cavalry Platoon,4,elite recon,1,platoon,3,infantry,1930,1,1932,12,0,0,35,1,35,1,35,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0
15,78,Armor Car Sqdrn,4,elite recon,2,company,1,armor,1941,11,1946,12,0,0,12,1,1053,1,1053,1,1053,1,0,0,0,0,0,0,0,0,0,0,0,0
16,78,TD Platoon,0,average,1,platoon,1,armor,1939,7,1940,12,0,0,149,1,149,1,149,1,149,1,0,0,0,0,0,0,0,0,0,0,0,0
17,78,T.13 Section,0,average,1,platoon,1,armor,1937,1,1940,12,0,0,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,78,AT Gun Section,0,average,1,platoon,2,artillery,1933,1,1949,12,0,0,18,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,78,Howitzer Btry,0,average,1,platoon,2,artillery,1930,1,1940,12,0,0,19,1,19,1,19,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0
20,78,T.13 Platoon,0,average,1,platoon,1,armor,1935,5,1940,12,0,0,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,78,AA Gun Section,0,average,1,platoon,2,artillery,1934,1,1945,12,0,0,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,78,Trench Mortars,2,dedicated artillery,1,platoon,2,artillery,1930,1,1939,12,0,0,62,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,78,PIAT Section,0,average,1,platoon,3,infantry,1943,7,1945,12,0,0,38,1,38,1,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,78,Inf AT Section,0,average,1,platoon,3,infantry,1940,3,1943,12,0,0,37,1,37,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,78,Sniper,4,elite recon,1,platoon,3,infantry,1930,1,1949,12,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,78,Carrier Section,0,average,1,platoon,4,miscellaneous,1940,5,1946,12,0,0,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,78,Truck Section,0,average,1,platoon,4,miscellaneous,1930,1,1949,12,0,0,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,78,Truck Platoon,0,average,1,platoon,4,miscellaneous,1930,1,1949,12,0,0,231,1,231,1,231,1,231,1,0,0,0,0,0,0,0,0,0,0,0,0
29,78,Hvy Truck Sec,0,average,1,platoon,4,miscellaneous,1938,7,1949,12,0,0,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,78,Hvy Truck Plt,0,average,1,platoon,4,miscellaneous,1938,7,1949,12,0,0,17,1,17,1,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0
31,78,Strike Element,0,average,1,platoon,4,miscellaneous,1937,1,1940,12,0,0,45,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,78,MG Section,0,average,1,platoon,3,infantry,1930,1,1949,12,0,0,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,78,MG Platoon,0,average,1,platoon,3,infantry,1930,1,1949,12,0,0,28,1,28,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0
34,78,<<AI FORTS>>,1,recon,2,company,5,*AI*,1930,1,1949,12,0,0,42,1,1181,1,1155,1,1083,1,1083,1,1083,1,1077,1,1033,1,1033,1,1072,1
35,78,Rifle Platoon-,0,average,1,platoon,3,infantry,1940,7,1945,12,0,0,156,1,33,1,33,1,31,1,31,1,0,0,0,0,0,0,0,0,0,0
