rid,name,wclass,B16,size,warhead,pen.HE,pen.AP,kill,accuracy,rng_max,rng_APCR,pen_APCR,pen_HEAT,sound,X1,X2,X3,X4,X5,X6,X7
1,7.62mm Mosin/38,1,0,1,1,0,0,1,16,40,0,0,0,0,0,0,0,0,0,0,0
2,7.62mm Mosin/38,1,0,1,1,0,0,1,16,24,0,0,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,2,1,0,0,9,36,64,0,0,0,540,0,0,0,0,0,0,0
4,7.92mm MG34 MG,3,0,3,1,0,0,12,44,100,0,0,0,543,0,0,0,0,0,0,0
5,7.92mm MG42 MG,3,0,3,1,0,0,14,40,100,0,0,0,552,0,0,0,0,0,0,0
6,7.92mm MG34 BMG,5,0,3,1,0,0,10,28,32,0,0,0,546,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20mm KwK38 Hglf,4,0,222,2,12,38,14,48,96,64,63,0,477,0,0,0,0,0,0,0
9,40M 40mm Cannon,6,0,7,3,16,56,3,44,100,0,0,0,0,0,0,0,0,0,0,0
10,8mm 34/40 CMG,5,0,4,1,0,0,9,40,80,0,0,0,0,0,0,0,0,0,0,0
11,8mm 34/40 BMG,5,0,3,1,0,0,8,28,32,0,0,0,573,0,0,0,0,0,0,0
12,37mm SA18 Gun,5,0,6,2,10,32,2,40,100,0,0,0,0,0,0,0,0,0,0,0
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,37mm vz.34 Gun,5,0,6,2,11,39,2,40,160,0,0,0,0,0,0,0,0,0,0,0
15,37mm PaK36/46,5,0,6,2,12,40,2,44,160,72,58,0,0,0,0,0,0,0,0,0
16,37mm KwK38 L/48,5,0,6,2,12,44,2,44,160,72,78,0,0,0,0,0,0,0,0,0
17,40mm Bofors Gun,4,0,6,3,26,56,11,60,207,0,0,0,991,0,0,0,0,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,45mm L66 Gun,5,0,7,3,13,77,3,56,120,120,101,0,0,0,0,0,0,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47mm QFSA Gun,5,0,7,3,13,57,3,56,120,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,50mm PaK38/45,5,0,7,3,20,100,3,72,196,80,161,0,0,0,0,0,0,0,0,0
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,75mm mle34 Mtn,6,0,8,4,21,0,6,36,216,20,0,45,0,0,0,0,0,0,0,0
33,75mm mle18 FH,6,0,9,4,23,72,6,48,216,40,0,45,0,0,0,0,0,0,0,0
34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,75mm PaK40/1,6,0,8,4,27,140,5,84,207,144,178,0,0,0,0,0,0,0,0,0
36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,50mm leGrW 36,3,0,2,3,8,0,4,8,52,10,0,0,819,0,0,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,75mm KwK40 L/48,6,0,8,4,27,140,5,84,207,144,195,0,0,0,0,0,0,0,0,0
48,75mm KwK42 L/70,6,0,9,4,28,188,5,136,209,160,251,0,0,0,0,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
