rid,name,nation,start_mo,status,B18,B19,B20,B21,B22,B23,B24,B25,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,70,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Armored Car Sec,70,1,11,0,0,0,0,0,0,0,0,33,49,1,1,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Armored Car Plt,70,1,11,0,0,0,0,0,0,0,0,33,49,1,1,3,1,3,1,3,1,3,1,3,1,3,1,0,0,0,0,0,0,0,0
4,Lt Armr Car Sec,70,1,1,0,0,0,0,0,0,0,0,35,49,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lt Panzer Sec,70,1,1,0,0,0,0,0,0,0,0,34,43,1,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Hvy Panzer Co,70,11,0,0,0,0,0,0,0,0,0,42,44,1,2,69,1,1045,1,1021,1,1045,1,1021,1,0,0,0,0,0,0,0,0,0,0
7,Lt Panzer Plt,70,1,1,0,0,0,0,0,0,0,0,34,43,1,1,10,1,10,1,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0
8,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panzer Section,70,12,0,0,0,0,0,0,0,0,0,38,49,1,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Lt Panzer Co,70,1,1,0,0,0,0,0,0,0,0,39,42,1,2,17,1,17,1,1007,1,1015,1,1015,1,1015,1,0,0,0,0,0,0,0,0
11,Lt Panzer Co,70,1,1,0,0,0,0,0,0,0,0,34,38,1,2,10,1,10,1,1007,1,1007,1,1007,1,0,0,0,0,0,0,0,0,0,0
12,AI Panzer Co40 ,70,1,1,0,0,0,0,0,0,0,0,40,41,5,2,14,1,14,1,1007,1,1015,1,1015,1,1021,1,0,0,0,0,0,0,0,0
13,AI Panzer Co42,70,1,1,0,0,0,0,0,0,0,0,42,45,5,2,19,1,19,1,1007,1,1015,1,1015,1,1021,1,0,0,0,0,0,0,0,0
14,Med Panzer Co,70,1,1,0,0,0,0,0,0,0,0,39,43,1,2,24,1,24,1,1007,1,1007,1,1021,1,1021,1,0,0,0,0,0,0,0,0
15,Panzer Platoon,70,12,0,0,0,0,0,0,0,0,0,38,49,1,1,28,1,28,1,28,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0
16,Panzer Company,70,1,1,0,0,0,0,0,0,0,0,43,49,1,2,28,1,28,1,1015,1,1015,1,1015,1,0,0,0,0,0,0,0,0,0,0
