rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,83,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Scout Car Sec,83,1,1,0,0,0,0,0,0,0,0,42,49,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Scout Car Plt,83,1,1,0,0,0,0,0,0,0,0,42,49,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sm Arms Resup,83,1,0,0,0,0,0,0,0,0,0,30,49,4,1,83,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Lt Tank Section,83,7,1,0,0,0,0,0,0,0,0,40,49,1,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lt Tank Platoon,83,7,1,0,0,0,0,0,0,0,0,40,49,1,1,10,1,10,1,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0
8,Lt Tank Company,83,7,1,0,0,0,0,0,0,0,0,40,49,1,2,10,1,10,1,10,1,1007,1,1007,1,1007,1,0,0,0,0,0,0,0,0
9,Tank Section,83,7,0,0,0,0,0,0,0,0,0,43,49,1,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,<<AI CS AMPHIB>,83,1,0,0,0,0,0,0,0,0,0,30,49,5,1,221,1,221,1,223,1,222,1,0,0,0,0,0,0,0,0,0,0,0,0
11,<<AI TANK CO>>,83,1,1,0,0,0,0,0,0,0,0,43,49,5,2,21,1,21,1,31,1,1020,1,1020,1,1020,1,1020,1,0,0,0,0,0,0
12,<<AI TANK PLT>>,83,1,0,0,0,0,0,0,0,0,0,43,49,5,1,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CS Tank Section,83,9,0,0,0,0,0,0,0,0,0,45,49,1,1,47,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CS Tank Platoon,83,9,0,0,0,0,0,0,0,0,0,45,49,1,1,47,1,47,1,47,1,47,1,47,1,0,0,0,0,0,0,0,0,0,0
16,CS Tank Company,83,9,1,0,0,0,0,0,0,0,0,45,49,1,2,24,1,30,1,1015,1,1038,1,1031,1,1034,1,0,0,0,0,0,0,0,0
17,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
