rid,name,nation,start_mo,status,B18,B19,B20,B21,B22,B23,B24,B25,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,80,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7-TP Tank Plt,80,1,0,0,0,0,0,0,0,0,0,36,39,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,7-TP Tank Co,80,1,1,0,0,0,0,0,0,0,0,36,39,1,2,94,1,1002,1,1002,1,1002,1,0,0,0,0,0,0,0,0,0,0,0,0
4,FT-17 Tank Plt,80,1,0,0,0,0,0,0,0,0,0,30,40,1,1,7,1,7,1,7,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0
5,R-35 Tank Plt,80,8,0,0,0,0,0,0,0,0,0,39,39,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Lt Tank Troop,80,9,0,0,0,0,0,0,0,0,0,42,46,1,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lt Tank Section,80,7,0,0,0,0,0,0,0,0,0,42,43,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Tank Troop,80,11,0,0,0,0,0,0,0,0,0,42,44,1,1,18,1,18,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Tank Squadron,80,11,0,0,0,0,0,0,0,0,0,42,44,1,2,15,1,15,1,1008,1,1008,1,1008,1,1008,1,0,0,0,0,0,0,0,0
10,Armored Car,80,1,1,0,0,0,0,0,0,0,0,30,45,1,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Armored Car Sqn,80,5,1,0,0,0,0,0,0,0,0,42,45,1,1,149,1,149,1,149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CS Tank Section,80,9,0,0,0,0,0,0,0,0,0,44,46,1,1,98,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,SPA Section,80,10,2,0,0,0,0,0,0,0,0,43,46,2,1,99,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Rifle Platoon,80,1,0,0,0,0,0,0,0,0,0,30,39,3,1,112,1,54,1,54,1,54,1,16,1,142,1,49,1,0,0,0,0,0,0
15,Elite Platoon,80,1,10,0,0,0,0,0,0,0,0,36,45,3,1,112,1,63,1,63,1,63,1,16,1,91,1,0,0,0,0,0,0,0,0
16,Motor Rifle Plt,80,7,0,0,0,0,0,0,0,0,0,40,46,3,1,112,1,76,1,76,1,76,1,52,1,46,1,32,1,32,1,32,1,32,1
17,Elite Company,80,1,11,0,0,0,0,0,0,0,0,36,45,3,2,70,1,1015,1,1015,1,1015,1,1148,1,1079,1,1025,1,0,0,0,0,0,0
18,Mechanized Plt,80,10,0,0,0,0,0,0,0,0,0,43,46,3,1,112,1,76,1,76,1,76,1,53,1,46,1,30,1,30,1,30,1,30,1
19,Engineer Sec,80,1,0,0,0,0,0,0,0,0,0,30,46,3,1,61,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Airborne Plt,80,1,10,0,0,0,0,0,0,0,0,44,46,3,1,112,1,74,1,74,1,74,1,50,1,89,1,0,0,0,0,0,0,0,0
21,+Infantry Plt+,80,1,1,0,0,0,0,0,0,0,0,30,39,5,1,112,1,54,1,54,1,54,1,142,1,0,0,0,0,0,0,0,0,0,0
22,++Assault-AI+++,80,1,11,0,0,0,0,0,0,0,0,30,46,5,2,190,1,1130,1,1130,1,1021,1,1021,1,1002,1,1030,1,1136,1,1013,1,1122,1
23,AT Gun Section,80,1,0,0,0,0,0,0,0,0,0,36,46,2,1,35,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Inf AT Team,80,1,0,0,0,0,0,0,0,0,0,37,49,3,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Mortar Section,80,1,2,0,0,0,0,0,0,0,0,30,40,2,1,143,1,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Lt Mortar Sec,80,1,2,0,0,0,0,0,0,0,0,37,46,2,1,112,1,91,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Inf AT Section,80,1,0,0,0,0,0,0,0,0,0,37,49,3,1,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,APC,80,10,0,0,0,0,0,0,0,0,0,43,46,4,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sniper,80,1,11,0,0,0,0,0,0,0,0,30,49,3,1,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Inf Tank Plt,80,7,0,0,0,0,0,0,0,0,0,41,43,1,1,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Truck Section,80,1,0,0,0,0,0,0,0,0,0,30,46,4,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Truck Platoon,80,1,0,0,0,0,0,0,0,0,0,30,46,4,1,32,1,32,1,32,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0
33,Hvy Truck Sec,80,1,0,0,0,0,0,0,0,0,0,30,46,4,1,114,1,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Hvy Truck Plt,80,1,0,0,0,0,0,0,0,0,0,30,46,4,1,114,1,114,1,114,1,114,1,114,1,0,0,0,0,0,0,0,0,0,0
35,Strike Element,80,1,0,0,0,0,0,0,0,0,0,36,39,4,1,72,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Howitzer Btry,80,1,0,0,0,0,0,0,0,0,0,30,49,2,1,90,1,90,1,90,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Artillery Btry,80,1,0,0,0,0,0,0,0,0,0,30,49,2,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Artillery Btln,80,1,0,0,0,0,0,0,0,0,0,30,49,2,1,101,1,101,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
