rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,73,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Pioneri Section,73,1,0,0,0,0,0,0,0,0,0,30,40,3,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Rifle Platoon,73,1,0,0,0,0,0,0,0,0,0,30,44,3,1,215,1,25,1,27,1,27,1,27,1,0,0,0,0,0,0,0,0,0,0
4,Lt Tank Platoon,73,3,0,0,0,0,0,0,0,0,0,36,44,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Lt Tank Plt (b),73,8,0,0,0,0,0,0,0,0,0,40,43,5,1,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,T-38  Section,73,1,0,0,0,0,0,0,0,0,0,43,43,1,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Assault Gun Plt,73,7,0,0,0,0,0,0,0,0,0,43,45,1,1,10,1,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Lt Armr Car Sec,73,3,1,0,0,0,0,0,0,0,0,39,49,1,1,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CS Tank Platoon,73,10,0,0,0,0,0,0,0,0,0,42,44,1,3,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Tank Platoon 3,73,8,0,0,0,0,0,0,0,0,0,42,45,1,1,7,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Assault Gun Sec,73,7,0,0,0,0,0,0,0,0,0,43,45,1,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,TD Section,73,6,0,0,0,0,0,0,0,0,0,43,45,1,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,AT Gun Section,73,1,0,0,0,0,0,0,0,0,0,37,49,2,1,19,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
