rid,name,nation,start_mo,special,X1,X2,X3,X4,X5,X6,X7,X8,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,79,1,11,0,0,0,0,0,0,0,0,30,49,10,5,244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Rifle Platoon,79,1,0,0,0,0,0,0,0,0,0,30,40,3,1,31,1,25,1,25,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Motor Rifle Plt,79,3,0,0,0,0,0,0,0,0,0,42,49,3,1,48,1,30,1,27,1,27,1,27,1,33,1,11,1,11,1,11,1,0,0
4,Sapper/FT Sec,79,3,10,0,0,0,0,0,0,0,0,42,45,3,1,88,1,134,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Sapper Platoon,79,1,10,0,0,0,0,0,0,0,0,30,49,3,1,64,1,50,1,50,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Infantry Gun,79,1,2,0,0,0,0,0,0,0,0,30,40,2,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Motorcyclists,79,1,1,0,0,0,0,0,0,0,0,30,40,3,1,235,1,235,1,235,1,220,1,0,0,0,0,0,0,0,0,0,0,0,0
8,KNIL LtTank Trp,79,7,1,0,0,0,0,0,0,0,0,40,42,1,1,176,1,176,1,176,1,176,1,0,0,0,0,0,0,0,0,0,0,0,0
9,KNIL LtTank Sec,79,5,1,0,0,0,0,0,0,0,0,37,42,1,1,176,1,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Tank Platoon,79,10,0,0,0,0,0,0,0,0,0,42,49,1,1,207,1,207,1,207,1,207,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Tank Section,79,10,0,0,0,0,0,0,0,0,0,42,49,1,1,207,1,207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,MG Carrier Sec,79,1,0,0,0,0,0,0,0,0,0,33,40,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Armored Car Sec,79,1,1,0,0,0,0,0,0,0,0,37,40,1,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Truck Section,79,1,0,0,0,0,0,0,0,0,0,30,49,4,1,172,1,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Carrier Section,79,3,0,0,0,0,0,0,0,0,0,42,49,4,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Truck Platoon,79,1,0,0,0,0,0,0,0,0,0,30,49,4,1,172,1,172,1,172,1,172,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Howitzer Sec,79,1,0,0,0,0,0,0,0,0,0,30,49,2,1,69,1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Hvy Truck Sec,79,1,0,0,0,0,0,0,0,0,0,30,49,4,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,AT Gun Section,79,1,0,0,0,0,0,0,0,0,0,30,40,2,1,75,1,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,AA Gun Section+,79,1,0,0,0,0,0,0,0,0,0,30,40,2,1,81,1,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Inf Gun Section,79,1,2,0,0,0,0,0,0,0,0,30,40,2,1,65,1,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Commandos,79,1,11,0,0,0,0,0,0,0,0,39,49,3,1,85,1,85,1,85,1,85,1,0,0,0,0,0,0,0,0,0,0,0,0
23,Mortar Section,79,3,2,0,0,0,0,0,0,0,0,37,49,2,1,62,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,HMG Section,79,1,0,0,0,0,0,0,0,0,0,30,40,3,1,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Inf AT Section,79,1,0,0,0,0,0,0,0,0,0,39,49,3,1,32,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Sniper,79,1,11,0,0,0,0,0,0,0,0,30,49,3,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Strike Element,79,1,0,0,0,0,0,0,0,0,0,30,49,2,1,144,1,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
