rid,name,nation,start_mo,status,B18,B19,B20,B21,B22,B23,B24,B25,start_yr,end_yr,purchscrn,type,ERID[1],ECNT[1],ERID[2],ECNT[2],ERID[3],ECNT[3],ERID[4],ECNT[4],ERID[5],ECNT[5],ERID[6],ECNT[6],ERID[7],ECNT[7],ERID[8],ECNT[8],ERID[9],ECNT[9],ERID[10],ECNT[10]
1,SP ENH FR v1.1,29,1,11,0,0,0,0,0,0,0,0,30,49,10,5,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Truck Platoon,29,1,0,0,0,0,0,0,0,0,0,39,49,4,1,41,1,41,1,41,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Truck Section,29,1,0,0,0,0,0,0,0,0,0,39,49,4,1,41,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Rifle Platoon,29,1,0,0,0,0,0,0,0,0,0,30,49,3,1,77,1,8,1,8,1,63,1,63,1,0,0,0,0,0,0,0,0,0,0
5,AI Elite*****,29,1,11,0,0,0,0,0,0,0,0,41,49,5,2,77,1,1085,1,1085,1,1085,1,1050,1,1013,1,0,0,0,0,0,0,0,0
6,Light Mortar,29,1,2,0,0,0,0,0,0,0,0,30,49,2,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Lt Mortar Plt,29,1,2,0,0,0,0,0,0,0,0,30,49,2,1,77,1,51,1,51,1,51,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Mortar Platoon,29,1,2,0,0,0,0,0,0,0,0,35,49,2,1,5,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
9,AT Gun Section,29,1,0,0,0,0,0,0,0,0,0,35,49,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,FlaK Section,29,1,0,0,0,0,0,0,0,0,0,35,49,2,1,52,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,AI Tank***** ,29,7,1,0,0,0,0,0,0,0,0,43,45,5,2,15,1,15,1,1072,1,1075,1,1032,1,1032,1,0,0,0,0,0,0,0,0
12,Mortar Section,29,1,2,0,0,0,0,0,0,0,0,35,49,2,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,MG Section,29,1,0,0,0,0,0,0,0,0,0,30,49,3,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Sniper,29,1,11,0,0,0,0,0,0,0,0,30,49,3,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Howitzer Btry,29,1,0,0,0,0,0,0,0,0,0,30,49,2,1,16,1,16,1,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0
16,MG Platoon,29,1,0,0,0,0,0,0,0,0,0,30,49,3,1,7,1,7,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Munitions Dump,29,1,0,0,0,0,0,0,0,0,0,30,49,4,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Rifle Company,29,1,1,0,0,0,0,0,0,0,0,30,49,3,2,78,1,1004,1,1004,1,1004,1,1050,1,1013,1,0,0,0,0,0,0,0,0
19,Vickers Platoon,29,1,0,0,0,0,0,0,0,0,0,38,44,1,1,49,1,49,1,49,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Artillery Btry,29,7,0,0,0,0,0,0,0,0,0,30,49,2,1,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,*AI Infantry***,29,1,1,0,0,0,0,0,0,0,0,30,49,5,2,78,1,1004,1,1004,1,1064,1,1050,1,1013,1,0,0,0,0,0,0,0,0
22,AI Tank?***** ,29,4,0,0,0,0,0,0,0,0,0,45,49,5,2,15,1,15,1,1072,1,1075,1,1032,1,1032,1,0,0,0,0,0,0,0,0
23,Wheel FlaK Plt,29,3,0,0,0,0,0,0,0,0,0,41,49,2,1,42,1,42,1,42,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Sapper Company,29,1,11,0,0,0,0,0,0,0,0,33,49,3,2,78,1,1061,1,1061,1,1061,1,1013,1,1007,1,0,0,0,0,0,0,0,0
25,Tankette Plt,29,1,0,0,0,0,0,0,0,0,0,35,44,1,1,39,1,39,1,39,1,39,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Tankette Co,29,1,1,0,0,0,0,0,0,0,0,35,44,1,2,39,1,39,1,1025,1,1025,1,1025,1,0,0,0,0,0,0,0,0,0,0
27,Lt Tank Co/1Bn,29,2,0,0,0,0,0,0,0,0,0,40,44,1,2,66,1,1028,1,1028,1,1028,1,1028,1,0,0,0,0,0,0,0,0,0,0
28,Lt Tank Platoon,29,3,0,0,0,0,0,0,0,0,0,40,44,1,1,40,1,40,1,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Assault Gun Sec,29,4,0,0,0,0,0,0,0,0,0,43,45,1,1,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Assault Gun Sec,29,4,0,0,0,0,0,0,0,0,0,43,45,5,1,24,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,AI Lt Tank*****,29,3,0,0,0,0,0,0,0,0,0,40,44,5,1,40,1,40,1,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Wheel FlaK Sec,29,3,0,0,0,0,0,0,0,0,0,41,49,2,1,42,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Inf Gun Section,29,1,2,0,0,0,0,0,0,0,0,30,49,2,1,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Tank Platoon,29,7,0,0,0,0,0,0,0,0,0,43,49,1,1,15,1,15,1,15,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0
