rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,Renault FT-17,63,60,2,2,197,0,0,0,90,0,0,0,0,0,0,0,8,16,12,10,22,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,20,12,10,14,11,30,40,13,78,7626,0,4,0,0,6,0,2,0,0,1,226,0,0,0,0,0,1,0,0,0,0,38,0,0,0
2,Renault FT-18,63,60,2,2,12,0,0,0,50,30,0,0,0,0,0,0,8,16,12,10,22,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,20,12,10,14,11,30,40,25,78,230,0,4,0,0,5,0,2,0,0,1,226,65,76,0,0,0,1,0,0,0,202,194,0,0,0
3,T.15,12,50,2,3,233,0,0,0,90,0,0,0,0,0,0,0,24,20,10,10,22,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,11,37,40,17,78,7804,0,4,0,0,4,0,2,0,0,2,224,2,0,0,0,0,1,0,0,0,29,38,0,0,0
4,ACG-1,64,0,3,3,21,233,0,0,15,40,60,0,0,0,0,0,19,34,34,28,52,40,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,27,20,30,30,12,40,40,67,78,226,0,4,0,0,5,0,2,0,5,4,226,223,77,0,0,0,4,0,0,0,230,220,0,0,0
5,T.13 B.1,79,0,2,3,21,196,0,0,20,30,60,0,0,0,0,0,18,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,11,35,40,32,78,7815,0,4,0,0,4,0,2,0,0,2,224,3,0,0,0,0,5,0,0,0,0,29,0,0,0
6,Stuart I,12,50,2,4,13,139,177,176,33,70,60,0,60,0,60,0,34,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,16,5,5,5,70,41,43,62,78,7710,0,4,0,0,5,0,2,0,6,2,226,228,183,0,0,0,8,0,0,0,124,173,0,0,0
7,Stuart VI,12,0,2,4,16,139,177,131,24,70,60,0,60,0,60,0,32,63,29,28,67,32,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,33,10,18,18,90,44,49,91,78,381,0,4,20,0,6,0,2,0,6,2,226,3,2,0,0,0,1,0,0,0,30,38,0,0,0
8,Sherman I,13,70,4,5,44,177,0,131,47,50,60,0,0,0,60,0,22,51,38,38,95,51,51,18,16,12,10,22,12,12,8,0,0,0,0,0,0,0,56,0,5,28,15,8,91,43,44,88,78,8215,0,4,0,0,5,0,2,0,8,2,230,251,182,0,0,1,1,0,0,0,226,182,0,0,0
9,Sherman V,13,0,4,5,45,139,177,131,47,50,60,0,60,0,60,0,26,64,38,38,103,64,64,21,16,12,10,22,12,12,8,0,0,0,0,0,0,0,42,0,11,38,12,8,90,43,49,113,78,7772,0,4,0,0,5,0,3,0,8,3,230,0,2,0,0,1,7,0,0,0,0,38,0,0,0
10,T.13 B.3,79,0,2,2,21,196,0,0,20,30,60,0,0,0,0,0,26,20,10,10,22,10,10,0,20,10,10,22,10,10,10,0,0,0,0,0,0,0,25,0,0,0,0,0,20,37,40,36,78,7801,0,4,0,0,4,0,2,0,0,2,224,143,0,0,0,0,1,0,0,0,0,149,0,0,0
11,AMD Panhard 178,11,50,2,4,9,212,0,0,0,90,60,0,0,0,0,0,44,20,18,18,26,15,15,7,34,34,28,52,40,40,15,0,0,0,0,0,0,0,20,0,41,24,26,30,13,40,41,43,78,238,0,4,0,0,7,0,2,0,6,2,228,0,0,0,0,0,5,0,0,0,0,27,0,0,0
12,Humber II,11,0,2,3,101,179,0,0,60,0,60,0,0,0,0,0,46,15,10,10,15,15,15,7,10,10,10,10,10,0,0,0,0,0,0,0,0,0,24,16,20,30,12,12,71,41,42,45,78,662,0,4,0,0,8,0,2,0,2,2,224,248,0,0,0,1,11,0,0,0,30,143,0,0,0
13,Daimler AC,11,0,2,3,230,179,0,0,0,44,60,0,0,0,0,0,50,14,10,10,16,14,16,8,44,25,25,56,25,25,13,0,0,0,0,0,0,0,16,22,12,20,24,36,90,42,49,54,78,661,0,4,8,0,6,0,3,0,4,2,224,1,0,0,0,1,7,0,0,0,30,27,0,0,0
14,Bren Carrier,25,0,2,2,109,0,0,133,0,0,0,0,0,0,90,0,30,12,12,12,14,12,12,0,63,29,28,67,32,32,13,0,0,0,0,0,0,0,14,0,8,0,0,0,51,40,46,27,78,664,0,2,0,0,9,0,2,0,108,2,124,29,0,0,0,1,5,0,0,0,125,180,0,0,0
15,Citroen 23,27,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,51,38,38,95,51,51,18,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40,18,78,7675,0,0,0,0,9,0,0,0,115,4,226,2,0,0,0,0,1,0,0,0,1,27,0,0,0
16,Bedford QL,27,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,64,38,38,103,64,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,49,18,78,7778,0,0,0,0,9,0,0,0,115,4,226,119,0,0,0,0,7,0,0,0,23,128,0,0,0
17,Renault AGR2,28,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,20,10,10,22,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,40,23,78,7624,0,0,0,0,9,0,0,0,221,5,226,3,0,0,0,0,7,0,0,0,32,27,0,0,0
18,Canon 47mm AC,6,0,1,5,21,0,0,0,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,18,18,26,15,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,40,21,78,7811,0,3,0,0,6,0,2,0,0,0,105,27,0,0,0,0,1,0,0,0,89,69,0,0,0
19,75mm Howitzer,9,0,1,4,33,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,10,10,15,15,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,90,34,40,30,78,7909,0,2,0,0,6,0,1,0,0,0,104,2,0,0,0,0,1,0,0,0,30,0,0,0,0
20,Canon 2pdr AC,6,0,1,4,20,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,10,10,16,14,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,42,16,78,669,0,2,0,0,7,0,3,0,0,0,104,230,0,0,0,0,7,0,0,0,121,167,0,0,0
