rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,Daimler I,11,0,2,3,20,179,0,0,0,48,60,0,0,0,0,0,50,14,10,10,16,14,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,12,18,8,28,90,42,42,44,88,661,0,4,0,0,5,0,3,0,4,2,224,0,1,0,0,1,7,0,0,0,0,39,0,0,0
2,Daimler II,11,0,2,3,21,179,0,0,0,56,60,0,0,0,0,0,50,16,14,14,20,14,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,12,20,24,36,90,43,49,59,88,661,0,4,12,0,6,0,3,0,4,2,224,8,190,0,0,1,1,0,0,0,149,113,0,0,0
3,Staghound I,11,0,3,5,198,139,177,131,34,64,60,0,60,0,60,0,54,22,19,16,44,32,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,8,32,8,8,90,43,45,64,88,663,0,4,5,0,5,0,2,0,2,2,226,2,2,0,0,0,9,0,0,0,2,34,0,0,0
4,AEC II,11,0,3,4,82,130,0,0,10,35,60,0,0,0,0,0,40,30,30,11,45,45,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,24,18,12,8,73,43,44,79,88,678,0,4,0,0,5,0,3,0,4,2,226,8,250,0,0,1,7,0,0,0,149,83,0,0,0
5,AEC III,11,0,3,4,99,179,0,0,20,17,60,0,0,0,0,0,40,30,30,11,45,45,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,24,18,12,8,73,44,49,96,88,679,0,4,0,0,6,0,4,0,4,2,226,2,1,0,0,0,6,0,0,0,2,30,0,0,0
6,Otter II,11,0,2,3,148,0,134,0,90,0,0,0,0,30,0,0,36,12,12,12,12,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,28,64,0,15,0,90,41,49,25,88,8812,0,4,0,0,5,0,2,0,4,2,226,10,129,0,0,1,7,0,0,0,151,41,0,0,0
7,Vickers IIA,12,0,2,2,121,0,0,0,90,0,0,0,0,0,0,0,24,15,9,6,10,7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,34,8,14,14,22,40,40,20,88,630,0,4,0,0,9,0,2,0,4,1,224,2,3,0,0,0,1,0,0,0,2,30,0,0,0
8,Vickers VIB,12,0,2,3,40,137,0,0,80,0,60,0,0,0,0,0,34,16,12,6,18,12,12,4,14,10,10,16,14,16,8,0,0,0,0,0,0,0,48,0,32,12,8,8,90,38,41,42,88,632,0,4,0,0,9,0,2,0,4,1,224,65,0,0,0,1,8,0,0,0,166,238,0,0,0
9,Stuart I,12,50,2,4,2,139,177,131,33,70,60,0,60,0,60,0,34,44,25,25,56,25,25,13,16,14,14,20,14,14,8,0,0,0,0,0,0,0,18,0,16,5,5,5,70,41,43,67,88,7710,0,4,0,0,6,0,2,0,6,2,226,3,0,0,0,1,11,0,0,0,2,3,0,0,0
10,Stuart VI,12,0,2,4,198,139,177,131,44,83,60,0,60,0,60,0,32,63,29,28,67,32,32,13,22,19,16,44,32,32,12,0,0,0,0,0,0,0,42,0,33,10,0,0,90,44,44,96,88,7773,0,4,25,0,6,4,2,0,6,2,226,40,150,0,0,0,6,0,0,0,167,15,0,0,0
11,Sherman IVA,13,0,4,5,52,140,177,131,25,34,60,0,60,0,60,0,26,64,51,51,103,64,64,21,30,30,11,45,45,45,8,0,0,0,0,0,0,0,42,0,11,38,12,8,90,48,49,195,88,392,0,4,4,0,5,4,5,0,8,4,230,0,2,0,0,1,4,0,0,0,2,32,0,0,0
12,Sherman III,13,70,4,5,45,0,177,131,52,45,0,0,60,0,60,0,26,51,38,38,95,51,51,18,30,30,11,45,45,45,8,0,0,0,0,0,0,0,56,0,5,28,15,8,91,42,43,98,88,384,0,4,0,0,5,4,2,0,8,3,230,29,144,0,0,0,10,0,0,0,108,12,0,0,0
13,Sherman V,13,0,4,5,45,139,177,131,47,50,60,0,60,0,60,0,26,64,38,38,103,64,64,21,12,12,12,12,12,12,6,0,0,0,0,0,0,0,42,0,11,38,12,8,90,43,49,121,88,7772,0,4,0,0,5,4,3,0,8,3,230,0,2,0,0,1,7,0,0,0,34,32,0,0,0
14,VC Firefly,91,50,4,4,38,139,177,0,24,36,60,0,60,0,0,0,26,64,38,38,90,51,64,21,15,9,6,10,7,7,9,0,0,0,0,0,0,0,42,0,11,28,12,8,91,44,49,191,88,648,0,4,8,0,5,0,7,0,8,3,230,241,149,0,0,1,6,0,0,0,118,160,0,0,0
15,Grizzly I,13,50,4,5,44,139,177,131,33,45,60,0,60,0,60,0,22,51,38,38,94,51,51,22,16,12,6,18,12,12,4,0,0,0,0,0,0,0,51,0,5,28,12,8,92,43,45,95,88,8214,0,4,0,0,5,4,2,0,8,2,230,1,2,0,0,0,9,0,0,0,2,2,0,0,0
16,Ram I,13,50,4,5,20,139,177,131,0,90,60,0,60,0,60,0,24,76,64,38,76,76,51,21,44,25,25,56,25,25,13,0,0,0,0,0,0,0,44,0,0,0,5,0,92,41,41,78,88,8820,0,4,0,0,5,0,3,0,8,3,230,81,149,0,0,1,10,0,0,0,120,57,0,0,0
17,Ram II,13,50,4,5,29,139,177,131,0,65,60,0,60,0,60,0,22,76,64,38,76,76,51,21,63,29,28,67,32,32,13,0,0,0,0,0,0,0,44,0,10,0,5,0,92,42,42,85,88,8806,0,4,0,0,5,0,3,0,8,3,230,0,2,0,0,1,1,0,0,0,2,30,0,0,0
18,Staghound (21),11,0,3,5,21,139,177,131,0,50,60,0,60,0,60,0,54,45,38,25,42,38,25,9,64,51,51,103,64,64,21,0,0,0,0,0,0,0,24,12,8,32,8,0,90,45,49,75,88,663,0,4,20,0,5,0,3,0,2,2,226,248,149,0,0,0,2,0,0,0,30,13,0,0,0
19,Humber I/II,32,0,2,3,101,179,0,0,60,0,60,0,0,0,0,0,46,15,10,10,15,15,15,7,51,38,38,95,51,51,18,0,0,0,0,0,0,0,24,16,20,30,12,12,70,41,42,46,88,662,0,4,0,0,8,0,2,0,2,2,224,1,2,0,0,1,11,0,0,0,30,32,0,0,0
20,Sherman V,65,0,4,5,45,140,177,0,47,50,60,0,60,0,0,0,26,64,38,38,103,64,64,21,64,38,38,103,64,64,21,0,0,0,0,0,0,0,42,0,11,38,12,8,90,43,44,140,88,7772,0,4,0,0,5,4,3,0,8,3,230,29,0,0,0,1,7,0,0,0,93,104,0,0,0
21,IIC Firefly,91,50,4,4,38,139,177,0,24,40,60,0,60,0,0,0,22,51,38,38,90,51,64,22,64,38,38,90,51,64,21,0,0,0,0,0,0,0,51,0,5,28,12,8,90,44,45,195,88,7768,0,4,12,0,5,0,7,0,8,3,230,2,0,0,0,1,6,0,0,0,30,30,0,0,0
22,VC Firefly,65,50,4,4,38,139,177,0,24,34,60,0,60,0,0,0,26,64,38,38,90,51,64,21,51,38,38,94,51,51,22,0,0,0,0,0,0,0,42,0,11,28,12,8,91,44,49,191,88,648,0,4,8,0,5,0,7,0,8,3,230,222,0,0,0,1,6,0,0,0,136,239,0,0,0
23,Skink Tank (CS),15,50,4,5,10,10,0,131,90,0,90,0,0,0,60,0,22,51,38,38,94,51,51,22,76,64,38,76,76,51,21,0,0,0,0,0,0,0,51,0,5,28,12,8,91,45,49,79,88,8821,0,4,0,0,8,0,3,0,0,4,230,1,0,0,0,0,3,0,0,0,1,3,0,0,0
24,Sherman DD,35,50,4,5,45,139,177,131,47,50,60,0,60,0,60,0,24,51,38,38,95,51,51,18,76,64,38,76,76,51,21,0,0,0,0,0,0,0,56,0,5,28,15,8,90,44,45,114,88,436,0,4,0,0,5,4,3,0,0,3,230,223,0,6,0,0,6,0,0,0,128,98,0,0,0
25,Grizzly I CS,15,70,4,5,68,139,0,131,56,0,60,0,0,0,60,0,22,51,38,38,97,51,51,18,45,38,25,42,38,25,9,0,0,0,0,0,0,0,51,0,5,28,12,0,92,44,45,78,88,395,0,4,0,10,4,0,2,0,6,4,230,1,0,0,0,1,10,0,0,0,1,34,0,0,0
26,Sherman IB CS,15,70,4,5,68,140,177,131,56,0,60,0,60,0,60,0,22,64,38,38,97,51,51,18,15,10,10,15,15,15,7,0,0,0,0,0,0,0,47,0,10,28,12,8,91,44,49,99,88,395,0,4,0,10,4,0,2,0,6,3,230,27,0,0,0,1,6,0,0,0,89,98,0,0,0
27,Churchill I,63,72,3,5,20,179,0,35,0,150,60,0,0,0,58,0,16,95,76,64,89,89,89,22,64,38,38,103,64,64,21,0,0,0,0,0,0,0,25,0,8,0,8,8,90,42,42,108,88,641,0,4,0,0,6,0,3,0,4,5,228,2,0,0,0,1,6,0,0,0,30,34,0,0,0
