id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,ew,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
7,9,Cpt 95 Ha-Go,132,light tank,2,armor,0,default,1937,1,1945,0,3,3,3,34,28,12,0,4,2,n/a,0,6,6,226,0,0,13,60,19,0,0,0,0,0,0,0,0,209,60,0,0,0,0,0,0,0,0,0,12,12,8,12,12,12,6,50,48,15,10,15,18,15,0,764,764,600,0,0
13,9,Command Car,337,utility vehicle,14,other,0,default,1942,8,1949,0,2,1,1,6,45,20,0,0,0,n/a,0,9,6,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,352,1020,0,0
14,9,1-1/2ton Truck,296,medium truck,10,transport,0,default,1930,1,1949,0,4,2,4,13,31,12,0,0,0,n/a,0,9,112,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,406,476,0,0
15,9,2-1/2ton Truck,296,medium truck,10,transport,0,default,1930,1,1949,0,4,2,4,18,23,12,0,0,0,n/a,0,9,218,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,404,545,0,0
16,9,37mm AT Gun,212,AT gun,5,anti-tank,0,default,1943,11,1946,0,1,4,0,22,4,20,0,2,2,n/a,0,8,0,104,0,0,16,20,40,0,0,110,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,407,54,0,0
17,9,75mm Inf Gun,192,infantry gun,4,artillery,0,default,1930,1,1949,0,1,8,0,10,4,90,0,2,1,n/a,0,4,0,108,0,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,221,651,0,0
18,9,Hvy AAMG,233,AA gun,6,anti-air,0,default,1939,1,1949,0,1,4,0,15,4,0,0,2,2,n/a,0,9,0,104,0,0,141,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,241,664,0,0
19,9,75mm Howitzer,196,howitzer,4,artillery,0,default,1938,1,1949,0,1,6,0,29,1,91,0,2,1,n/a,0,6,0,106,0,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,411,651,0,0
20,9,75mm FH Btry,205,offboard artillery,4,artillery,0,default,1930,1,1945,0,1,32,0,71,0,93,0,2,0,n/a,0,8,0,255,0,0,227,40,0,0,0,227,40,0,227,40,0,227,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,656,0,0
24,9,Chinese HMG,11,heavy MG squad,0,infantry,0,default,1947,1,1949,0,0,4,0,24,6,12,0,3,2,n/a,0,9,0,0,0,0,122,60,0,0,0,87,4,0,249,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0
25,9,Chinese HMG,11,heavy MG squad,0,infantry,0,default,1930,1,1946,0,0,4,0,24,6,12,0,3,2,n/a,0,9,0,0,0,0,122,60,0,0,0,87,4,0,159,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,0,0,0
26,9,Chinese MG,7,machine gun,0,infantry,0,default,1943,1,1949,0,0,4,0,17,8,10,0,2,2,n/a,0,9,0,0,0,0,120,60,0,0,0,87,4,0,179,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,418,0,0,0
27,9,Chinese MG ,7,machine gun,0,infantry,0,default,1947,1,1949,0,0,4,0,20,8,10,0,2,2,n/a,0,9,0,0,0,0,123,60,0,0,0,87,4,0,249,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0
28,9,ATR Team,220,AT infantry,5,anti-tank,0,default,1939,1,1948,0,0,2,0,17,8,0,0,0,0,n/a,0,9,0,0,0,0,228,0,40,0,0,202,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,804,0,0,0
29,9,Warlord Rifles,22,second line infantry,0,infantry,0,default,1930,1,1931,0,1,14,0,19,10,0,0,0,0,n/a,0,9,0,0,0,0,213,40,0,0,0,87,7,0,113,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8412,0,0,0,0
30,9,Warlord Rifles,22,second line infantry,0,infantry,0,default,1930,1,1931,0,1,14,0,17,10,0,0,0,0,n/a,0,9,0,0,0,0,178,40,0,0,0,87,7,0,113,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8412,0,0,0,0
31,9,Warlord Rifles,22,second line infantry,0,infantry,0,default,1930,1,1931,0,1,14,0,17,10,0,0,0,0,n/a,0,9,0,0,0,0,178,40,0,0,0,87,7,0,113,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8412,0,0,0,0
