rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,OA vz.30,11,0,2,3,127,0,0,133,90,0,0,0,0,0,60,0,36,5,5,3,6,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,12,12,12,30,33,44,20,15,1512,0,4,0,0,9,0,2,0,2,3,226,0,0,0,0,0,1,0,0,0,0,6,0,0,0
2,Skoda PA II,11,0,3,5,96,96,0,0,90,0,90,0,0,0,0,0,40,6,6,6,10,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,12,12,12,32,30,37,23,15,1501,0,4,0,0,9,0,2,0,2,3,226,36,139,0,0,0,1,0,0,0,232,254,0,0,0
3,Skoda PA III,11,0,3,5,119,0,0,118,90,0,0,0,0,0,60,0,20,6,6,6,6,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,15,15,15,12,30,38,19,15,1523,0,4,0,0,9,0,2,0,2,3,226,3,2,0,0,0,1,0,0,0,5,5,0,0,0
4,Tancik vz.33,95,0,2,2,0,0,133,133,0,0,0,0,90,0,90,0,20,10,10,10,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,33,43,20,15,1524,0,4,0,0,9,0,2,0,4,2,224,73,0,0,0,0,1,0,0,0,221,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0
6,Renault FT(37),63,0,2,2,134,0,0,0,50,50,0,0,0,0,0,0,8,8,8,6,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,11,30,36,15,15,230,0,4,0,0,3,0,1,0,6,1,226,29,146,0,0,0,1,0,0,0,243,5,0,0,0
7,Renault FT(MG),63,0,2,2,187,0,0,0,90,0,0,0,0,0,0,0,8,8,8,6,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,12,30,36,17,15,7626,0,4,0,0,9,0,2,0,6,1,226,3,2,0,0,0,1,0,0,0,5,6,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,6,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,64,0,0,0,1,0,0,0,244,109,0,0,0
9,Pz II C,12,0,2,3,8,155,0,0,48,0,90,0,0,0,0,0,28,33,15,15,44,15,15,10,6,6,6,10,6,6,6,0,0,0,0,0,0,0,12,0,8,12,21,21,91,44,48,51,15,2,0,4,0,0,8,0,2,0,4,2,226,3,0,0,0,1,1,0,0,0,5,0,0,0,0
10,Pz III N,15,41,3,5,41,155,0,6,40,24,60,0,0,0,60,0,22,50,30,50,63,30,30,10,6,6,6,6,6,6,3,0,0,0,0,0,0,0,21,0,9,15,25,12,53,43,44,72,15,7,0,4,0,0,5,0,2,0,8,3,228,0,166,0,0,1,3,0,0,0,0,13,0,0,0
