id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,87,SP ENH FR v1.1,4,elite recon,4,force HQ,6,force HQ,1930,1,1949,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,87,IND Tank Plt,0,average,1,platoon,1,armor,1940,5,1941,84,1,84,1,84,1,84,1,84,1,0,0,0,0,0,0,0,0,0,0
3,87,Tank Platoon,0,average,1,platoon,1,armor,1944,11,1949,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,87,TD Battery,0,average,1,platoon,1,armor,1945,1,1949,7,1,7,1,7,1,7,1,7,1,0,0,0,0,0,0,0,0,0,0
5,87,Lt SPG Btry,0,average,1,platoon,1,armor,1945,1,1949,6,1,6,1,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
6,87,Rifle Platoon,0,average,1,platoon,3,infantry,1930,1,1941,235,1,41,1,41,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0
7,87,AI Purchase***,1,recon,2,company,5,*AI*,1939,1,1949,48,1,1006,1,1066,1,1056,1,1061,1,39,1,41,1,0,0,0,0,0,0
8,87,Rifle Platoon,0,average,1,platoon,3,infantry,1944,11,1949,235,1,48,1,47,1,47,1,47,1,0,0,0,0,0,0,0,0,0,0
9,87,SMG Platoon,0,average,1,platoon,3,infantry,1944,11,1949,235,1,48,1,48,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0
10,87,Engineer Plt,0,average,1,platoon,3,infantry,1930,1,1949,61,1,61,1,61,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0
11,87,TD Section,0,average,1,platoon,1,armor,1945,1,1949,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,87,Guard Cav Trp,3,elite,1,platoon,3,infantry,1930,1,1941,49,1,49,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,87,Guard Cav Sqdrn,4,elite recon,2,company,3,infantry,1930,1,1941,49,1,1012,1,1012,1,1012,1,32,1,226,1,0,0,0,0,0,0,0,0
14,87,Armored Car Sec,1,recon,1,platoon,1,armor,1942,7,1944,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,87,Armored Car Plt,1,recon,1,platoon,1,armor,1945,1,1949,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,87,Truck Platoon,0,average,1,platoon,4,miscellaneous,1930,1,1949,11,1,11,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0
17,87,Truck Section,0,average,1,platoon,4,miscellaneous,1930,1,1949,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,87,Fast AFV Plt,1,recon,1,platoon,1,armor,1938,1,1941,99,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,87,Fast AFV Sqdrn,1,recon,2,company,1,armor,1938,1,1941,99,1,1018,1,1018,1,1018,1,1018,1,0,0,0,0,0,0,0,0,0,0
20,87,Tank Section,0,average,1,platoon,1,armor,1944,11,1949,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,87,Mortar Section,2,dedicated artillery,1,platoon,2,artillery,1931,1,1949,27,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,87,Hvy Mortar Sec,2,dedicated artillery,1,platoon,2,artillery,1944,7,1949,29,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,87,HMG Section,0,average,1,platoon,3,infantry,1930,1,1949,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,87,Inf AT Section,0,average,1,platoon,3,infantry,1930,1,1949,40,1,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,87,Pioneer Sec,3,elite,1,platoon,3,infantry,1941,1,1944,51,1,51,1,68,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0
26,87,Sniper,4,elite recon,1,platoon,3,infantry,1939,5,1949,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,87,Fortifications,0,average,1,platoon,4,miscellaneous,1939,1,1949,58,1,58,1,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,87,Howitzer,5,elite dedicated artillery,1,platoon,2,artillery,1930,1,1949,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,87,Howitzer Brty,5,elite dedicated artillery,1,platoon,2,artillery,1930,1,1949,94,1,94,1,94,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0
30,87,Howitzer Sec,2,dedicated artillery,1,platoon,2,artillery,1930,1,1941,95,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,87,MG Section,0,average,1,platoon,3,infantry,1940,1,1949,33,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,87,Artillery Btry,0,average,1,platoon,2,artillery,1930,1,1949,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,87,Artillery Btln,0,average,1,platoon,2,artillery,1930,1,1949,63,1,63,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,87,Partisan Band,1,recon,1,platoon,3,infantry,1941,5,1949,42,1,45,1,44,1,43,1,42,1,0,0,0,0,0,0,0,0,0,0
35,87,Light Tank Plt,0,average,1,platoon,1,armor,1930,1,1941,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
36,87,Light Tank Co,1,recon,2,company,1,armor,1930,1,1941,1,1,1035,1,1035,1,1035,1,0,0,0,0,0,0,0,0,0,0,0,0
37,87,IND Tank Sqdrn,1,recon,2,company,1,armor,1940,5,1941,84,1,1002,1,1002,1,1002,1,0,0,0,0,0,0,0,0,0,0,0,0
38,87,Tank Company,1,recon,2,company,1,armor,1944,11,1949,5,1,1003,1,1003,1,1003,1,0,0,0,0,0,0,0,0,0,0,0,0
39,87,Rifle Company,1,recon,2,company,3,infantry,1930,1,1941,236,1,1006,1,1006,1,1006,1,1006,1,1023,1,1044,1,0,0,0,0,0,0
40,87,Partisan Bgd,4,elite recon,2,company,3,infantry,1941,5,1949,42,1,1034,1,1034,1,1034,1,1095,1,0,0,0,0,0,0,0,0,0,0
41,87,Rifle Company,1,recon,2,company,3,infantry,1944,11,1949,236,1,1008,1,1008,1,1008,1,1031,1,1044,1,0,0,0,0,0,0,0,0
42,87,SMG Company,1,recon,2,company,3,infantry,1944,11,1949,236,1,1009,1,1009,1,1009,1,1031,1,1044,1,0,0,0,0,0,0,0,0
43,87,Tankodesant Bgd,0,average,1,platoon,1,armor,1944,11,1949,5,1,5,1,5,1,93,1,93,1,93,1,0,0,0,0,0,0,0,0
44,87,Lt Mortar Plt,2,dedicated artillery,1,platoon,2,artillery,1940,12,1949,234,1,28,1,28,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0
45,87,Guards Platoon,3,elite,1,platoon,3,infantry,1938,1,1941,234,1,69,1,69,1,69,1,0,0,0,0,0,0,0,0,0,0,0,0
46,87,Guards Company,4,elite recon,2,company,3,infantry,1938,1,1941,236,1,1045,1,1045,1,1045,1,1064,1,1044,1,0,0,0,0,0,0,0,0
47,87,AT Gun Section,0,average,1,platoon,2,artillery,1938,1,1949,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,87,AT Gun Battery,0,average,1,platoon,2,artillery,1938,1,1949,17,1,17,1,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0
49,87,Tankodesant Co,1,recon,2,company,1,armor,1944,11,1949,5,1,1043,1,1043,1,1043,1,0,0,0,0,0,0,0,0,0,0,0,0
50,87,Motor Rifle Plt,0,average,1,platoon,3,infantry,1940,1,1941,234,1,104,1,104,1,104,1,68,1,68,1,68,1,68,1,0,0,0,0
51,87,Infantry Gun,0,average,1,platoon,2,artillery,1930,1,1949,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,87,Hvy Truck Plt,0,average,1,platoon,4,miscellaneous,1940,4,1949,68,1,68,1,68,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0
53,87,Hvy Truck Sec,0,average,1,platoon,4,miscellaneous,1940,4,1949,68,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,87,Motor Rifle Co,1,recon,2,company,3,infantry,1940,1,1941,236,1,68,1,1050,1,1050,1,1050,1,32,1,28,1,68,1,0,0,0,0
55,87,SPAA Section,0,average,1,platoon,2,artillery,1944,11,1949,70,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,87,AA Gun Section,0,average,1,platoon,2,artillery,1938,1,1949,71,1,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,87,SPAA Battery,0,average,1,platoon,2,artillery,1944,11,1949,70,1,70,1,70,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0
58,87,AA Gun Battery,0,average,1,platoon,2,artillery,1942,1,1949,71,1,71,1,71,1,71,1,0,0,0,0,0,0,0,0,0,0,0,0
59,87,AA Gun Battery,0,average,1,platoon,7,*unknown value*,1934,1,1941,101,1,101,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,87,Inf Gun Section,0,average,1,platoon,2,artillery,1930,1,1949,23,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,87,Inf Gun Battery,0,average,1,platoon,2,artillery,1930,1,1949,23,1,23,1,23,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0
62,87,HMG Platoon,0,average,1,platoon,3,infantry,1930,1,1949,32,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,87,Mortar Platoon,2,dedicated artillery,1,platoon,2,artillery,1931,1,1949,27,1,27,1,27,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0
64,87,MG Platoon,0,average,1,platoon,3,infantry,1940,1,1949,33,1,33,1,33,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0
65,87,Motor Rifle Plt,0,average,1,platoon,3,infantry,1945,1,1949,234,1,105,1,105,1,105,1,14,1,14,1,14,1,0,0,0,0,0,0
66,87,Engineer Sec,0,average,1,platoon,3,infantry,1930,1,1949,61,1,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,87,AI Tanks+++,0,average,1,platoon,5,*AI*,1944,11,1949,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,87,Motor Rifle Co,1,recon,2,company,3,infantry,1945,1,1949,236,1,15,1,1050,1,1050,1,1050,1,37,1,28,1,0,0,0,0,0,0
69,87,Proleteri Plt,3,elite,1,platoon,3,infantry,1942,11,1944,233,1,118,1,72,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0
70,87,Ammo Dump,0,average,1,platoon,4,miscellaneous,1930,1,1949,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,87,Proleteri Co,4,elite recon,2,company,3,infantry,1942,11,1944,241,1,1100,1,1069,1,1069,1,1083,1,1063,1,0,0,0,0,0,0,0,0
72,87,HQ Post,3,elite,1,platoon,4,miscellaneous,1930,1,1949,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,87,Civil Defense,6,second line,1,platoon,3,infantry,1941,1,1944,108,1,108,1,108,1,108,1,108,1,0,0,0,0,0,0,0,0,0,0
