rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,arm.B07,arm.B08,arm.B09,arm.B10,arm.B11,arm.B12,arm.B13,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,end_mo,smkdev,start_mo,B83,B84,B85,B86,text,sound,B89,B90
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,AC Bilbao,88,50,3,3,211,0,0,0,90,0,0,0,0,0,0,0,24,8,8,8,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,5,5,5,12,36,38,16,19,19802,0,4,0,0,9,0,2,0,5,2,226,87,0,0,0,7,0,0,0,0,9802,0,0,0
3,Lancia 1Z,88,60,3,5,224,0,0,218,90,0,0,0,0,0,60,0,36,10,10,10,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,62,37,40,21,19,19735,0,4,0,0,9,0,2,0,0,2,226,87,0,0,0,1,0,0,0,0,9735,0,0,0
4,Lancia 1ZM,88,60,3,5,224,0,0,218,90,0,0,0,0,0,60,0,36,10,10,10,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,62,37,40,21,19,19735,0,4,0,0,9,0,2,0,0,2,226,87,0,0,0,1,0,0,0,0,9735,0,0,0
5,Cpt FAI AC,88,60,2,3,172,0,0,0,90,0,0,0,0,0,0,0,36,6,6,6,6,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,20,15,15,22,37,40,18,19,19704,0,4,0,0,9,0,2,0,0,2,226,29,0,0,0,3,0,0,0,0,9704,0,0,0
6,Cpt BA-6,11,60,2,4,18,171,0,129,30,30,60,0,0,0,60,0,26,9,9,9,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,20,30,0,0,22,37,49,42,19,19706,0,4,0,0,6,0,2,0,0,2,226,623,0,0,0,3,0,0,0,0,9706,0,0,0
7,UNL-35 AC,88,60,2,3,176,0,0,6,90,0,0,0,0,0,60,0,40,8,8,8,12,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,15,20,15,15,92,38,49,27,19,19707,0,4,0,0,9,0,2,0,104,2,226,30,0,0,0,1,0,0,0,0,9707,0,0,0
8,Chevrolet AC,88,0,2,3,176,0,0,6,90,0,0,0,0,0,60,0,30,8,8,8,12,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,20,30,5,5,92,38,49,21,19,19822,0,4,0,0,9,0,2,0,0,2,226,623,0,0,0,1,0,0,0,0,9822,0,0,0
9,Chevrolet AC+,11,0,2,4,18,155,0,6,24,30,60,0,0,0,60,0,30,8,8,8,12,8,8,8,8,8,8,3,3,3,3,0,0,0,0,0,0,0,25,8,20,30,5,5,92,39,49,46,19,19822,0,4,6,0,6,0,2,0,0,2,226,623,0,0,0,1,0,0,0,0,9822,0,0,0
10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,M1917 (MG),63,0,2,2,211,0,0,0,90,0,0,0,0,0,0,0,6,11,8,8,15,7,7,4,10,10,10,12,10,10,10,0,0,0,0,0,0,0,52,0,35,18,22,22,11,36,38,12,19,7626,0,4,0,0,7,0,2,0,0,1,226,577,0,0,0,7,0,0,0,0,7626,0,0,0
12,M1917 (37),63,0,2,2,12,0,0,0,50,50,0,0,0,0,0,0,6,11,8,8,15,7,7,4,6,6,6,6,6,6,4,0,0,0,0,0,0,0,52,0,35,18,22,22,12,37,38,21,19,19805,0,4,0,0,7,0,2,0,0,1,226,991,0,0,0,5,0,0,0,0,9805,0,0,0
13,Trubria A-4,63,50,3,3,224,0,0,128,90,0,0,0,0,0,60,0,10,20,20,20,16,16,16,16,9,9,9,9,9,9,4,0,0,0,0,0,0,0,45,5,35,5,5,5,12,36,36,24,19,19703,0,4,0,0,9,0,2,0,0,2,226,86,0,0,0,7,0,0,0,0,9703,0,0,0
14,C.L.I Trubia 36,63,50,2,3,246,0,0,220,90,0,0,0,0,0,60,0,14,16,16,16,16,16,16,16,8,8,8,12,8,8,8,0,0,0,0,0,0,0,35,15,15,0,0,0,12,37,40,23,19,19738,0,4,0,0,9,0,2,0,0,2,226,86,0,0,0,7,0,0,0,0,9738,0,0,0
15,Pz I A Negrito,12,0,2,2,154,0,0,0,90,0,0,0,0,0,0,0,24,17,17,13,19,15,13,6,8,8,8,12,8,8,8,0,0,0,0,0,0,0,25,16,14,13,22,22,90,36,49,24,19,19700,0,4,0,0,9,0,2,0,4,1,224,620,0,0,0,11,0,0,0,0,9700,0,0,0
16,PzKpfw I/20,12,0,2,2,150,0,0,0,50,0,0,0,0,0,0,0,24,17,17,13,19,15,13,6,8,8,8,12,8,8,8,0,0,0,0,0,0,0,25,16,14,13,22,22,92,38,49,22,19,272,0,4,12,0,8,0,2,0,0,1,226,620,0,0,0,1,0,0,0,0,272,0,0,0
17,PzBefWg I B,65,0,2,2,6,0,0,0,90,0,0,0,0,0,0,0,24,17,17,13,19,15,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,14,13,22,22,93,36,40,23,19,7094,0,4,0,0,9,0,2,0,4,1,226,713,0,0,0,11,0,0,0,0,7094,0,0,0
18,L3/35 (CV.35),12,60,2,2,0,0,0,222,0,0,0,0,0,0,60,0,25,13,13,13,17,13,13,5,11,8,8,15,7,7,4,0,0,0,0,0,0,0,30,5,8,30,8,8,91,36,40,22,19,462,0,4,0,0,9,0,2,0,2,2,224,590,0,0,0,9,0,0,0,0,462,0,0,0
19,L3 Lanzallamas,17,60,2,2,0,0,108,225,0,0,0,0,20,0,60,0,24,13,13,13,16,13,13,5,11,8,8,15,7,7,4,0,0,0,0,0,0,0,10,0,8,15,8,8,12,36,40,42,19,7213,0,4,0,0,4,0,2,0,0,1,226,1021,0,0,0,10,0,0,0,0,7213,0,0,0
20,CCI-M37 ,12,50,2,3,8,225,222,0,48,0,60,0,60,0,0,0,26,34,15,15,37,30,30,6,20,20,20,16,16,16,16,0,0,0,0,0,0,0,35,10,10,22,10,14,11,49,49,45,19,277,0,4,6,0,8,0,2,0,4,2,226,585,0,0,0,12,0,0,0,0,0,0,0,0
21,Verdeja I,12,50,2,3,18,154,0,0,30,40,60,0,0,0,0,0,32,16,16,16,26,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,52,8,20,25,15,15,31,49,49,49,19,19751,0,4,0,0,5,0,2,0,4,3,228,28,0,0,0,12,0,0,0,0,9751,0,0,0
22,Verdeja II,12,50,2,3,18,154,0,0,30,20,60,0,0,0,0,0,32,32,26,26,32,26,26,16,17,17,13,19,15,13,6,0,0,0,0,0,0,0,52,8,20,25,15,15,92,49,49,65,19,19751,0,4,12,0,6,0,2,0,4,3,228,28,0,0,0,12,0,0,0,0,9751,0,0,0
23,Verdeja ATP,60,50,2,3,47,145,0,0,10,20,60,0,0,0,0,0,32,16,16,16,15,13,0,0,17,17,13,19,15,13,6,0,0,0,0,0,0,0,52,8,20,22,8,0,92,49,49,92,19,19736,0,4,6,0,5,0,4,0,2,2,228,441,0,0,0,12,0,0,0,0,9736,0,0,0
24,Capt T-26 ,93,50,3,3,18,172,171,0,60,76,60,0,60,0,0,0,21,15,15,15,15,15,15,10,17,17,13,19,15,13,6,0,0,0,0,0,0,0,28,0,81,0,0,0,10,36,40,45,19,65,0,4,0,0,4,0,2,0,6,2,226,453,0,0,0,11,0,0,0,0,9702,0,0,0
25,ESP T-26,93,50,3,3,18,132,145,0,60,60,60,0,60,0,0,0,21,15,15,15,15,15,15,10,13,13,13,17,13,13,5,0,0,0,0,0,0,0,28,0,81,0,0,0,12,45,49,48,19,19702,0,4,0,0,4,0,2,0,6,2,228,113,0,0,0,5,0,0,0,0,9702,0,0,0
