id,nation,name,type,type,uclass,uclass,mclass,mclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_HE_FH,arm_HE_SH,arm_HE_RH,arm_HE_FT,arm_HE_ST,arm_HE_RT,arm_HE_TP,arm_HE_SK,arm_AP_FH,arm_AP_SH,arm_AP_RH,arm_AP_FT,arm_AP_ST,arm_AP_RT,arm_AP_TP,arm_AP_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT,sound,lbm,text,icon,icon_desert,icon_winter
1,83,M3A1 Scout Car,136,wheeled APC,3,APC,0,default,1942,1,1949,0,3,2,3,17,42,91,0,1,1,0,9,6,226,0,0,139,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,7,13,7,7,0,50,24,0,0,22,0,0,0,8213,8213,551,0,0
2,83,Ammo Crates,276,ammo carrier,14,other,0,default,1930,1,1949,0,0,1,0,35,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,645,0,0
3,83,Gun Team,249,gun team,10,transport,0,default,1930,1,1938,0,4,4,2,11,16,0,0,0,0,0,9,212,240,0,0,236,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9927,0,10,0,0
4,83,Mule Pack,252,pack animals,10,transport,0,default,1930,1,1945,0,2,2,1,6,12,0,0,0,0,0,9,105,124,1,0,236,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8268,8268,4,0,0
5,83,Horses,250,horse team,10,transport,0,default,1930,1,1949,0,2,2,0,6,18,10,0,0,0,0,0,12,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8260,8045,4,0,0
9,83,M2A4,112,light tank,2,armor,0,default,1940,7,1942,0,2,4,2,61,24,91,0,4,2,0,6,4,226,0,0,16,30,73,0,0,139,60,0,177,60,0,126,60,0,0,0,0,0,0,0,0,0,32,16,16,48,26,16,10,0,48,16,15,22,15,10,0,443,443,540,0,0
10,83,M3 Stuart,112,light tank,2,armor,0,default,1941,7,1943,0,2,4,2,65,34,90,0,4,2,0,6,6,226,0,0,14,33,70,0,0,139,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,44,25,25,56,25,25,13,50,33,0,16,10,0,0,0,8323,8323,504,0,0
11,83,M3 Satan,126,flame tank,2,armor,0,default,1944,6,1948,0,2,4,1,62,32,92,0,4,2,0,6,0,226,0,0,119,24,0,0,0,177,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,25,25,56,25,25,13,50,33,0,16,10,0,0,0,8322,8322,504,0,0
12,83,M5A1 Stuart,112,light tank,2,armor,0,default,1946,1,1949,0,2,4,2,89,32,92,0,4,2,4,6,6,226,0,0,213,64,63,0,20,139,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,63,28,28,67,32,32,13,0,24,0,17,10,0,0,0,8301,8301,541,0,0
13,83,M5A1 Stuart,112,light tank,2,armor,0,default,1943,12,1945,0,2,4,2,80,32,91,0,4,2,4,6,6,226,0,0,213,74,73,0,0,139,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,63,28,28,67,32,32,13,0,24,0,17,10,0,0,0,8301,8301,541,0,0
14,83,M3A1 Stuart,112,light tank,2,armor,0,default,1942,9,1944,0,2,4,2,75,34,90,0,4,2,4,6,6,226,0,0,213,33,70,0,0,139,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,44,25,25,56,25,25,13,50,33,0,16,10,0,0,0,379,379,540,0,0
16,83,T95 105mm GMC,181,heavy tank destroyer,5,anti-tank,0,default,1949,1,1949,0,5,4,5,255,12,92,0,4,8,0,3,8,230,0,0,97,20,42,0,0,140,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,180,180,255,200,200,25,0,35,60,60,30,60,60,0,8263,8263,1065,0,0
17,83,M6A1,114,heavy tank,2,armor,0,default,1949,1,1949,0,4,6,5,214,18,92,0,4,4,0,5,8,230,0,1,60,25,35,0,10,15,25,25,177,90,0,193,90,0,0,0,0,0,0,0,0,0,108,63,51,81,81,76,22,0,30,30,10,38,15,8,0,8265,8265,357,0,0
21,83,M4A2 Sherman,111,main battle tank,2,armor,0,default,1943,10,1945,0,4,5,3,113,24,91,0,4,2,4,5,8,230,0,1,44,55,42,0,0,140,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,51,38,38,95,51,51,18,70,42,0,11,28,12,8,0,384,384,634,0,0
22,83,M4A1 Sherman,111,main battle tank,2,armor,0,default,1943,7,1945,0,4,5,2,109,22,90,0,4,2,4,5,8,230,0,0,44,40,50,0,0,140,60,0,177,60,0,131,60,0,0,0,0,0,0,0,0,0,51,38,38,95,51,51,22,50,51,0,5,28,12,8,0,8214,8214,178,0,0
