rid,name,wclass,B16,size,warhead,pen.HE,pen.AP,kill,B22,accuracy,rng_max,rng_APCR,pen_APCR,pen_HEAT,sound,B30,B31,B32,B33,B34,B35,B36
1,.50cal Twin AA,4,0,5,1,23,23,0,0,60,160,0,0,0,528,0,0,0,0,0,0,0
2,25mm SA34 Gun,5,0,6,2,0,48,25,0,48,120,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2in MkVII* SBML,2,0,2,3,9,0,0,0,12,32,0,0,0,819,0,0,0,0,0,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20/65mm m35 AA,4,0,222,2,12,38,0,0,56,160,0,0,0,477,0,0,0,0,0,0,0
9,20mm Polsten,5,0,222,2,20,32,0,0,36,120,0,0,0,477,0,0,0,0,0,0,0
10,,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13,37mm M5 Gun,5,0,6,2,12,71,0,0,44,120,40,86,0,0,0,0,0,0,0,0,0
14,,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40mm Bofors Gun,4,0,6,3,26,56,0,0,60,207,0,0,0,991,0,0,0,0,0,0,0
18,2pdr QF Quad,4,0,5,3,24,0,14,1,52,219,0,0,0,991,0,0,0,0,0,0,0
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2pdr OQF Mk IX,5,0,6,2,0,60,0,9,60,128,40,108,0,0,0,0,0,0,0,0,0
21,2pdr OQF late,5,0,6,2,0,76,0,0,76,160,40,129,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3pdr QFSA,5,0,7,3,15,56,0,0,56,120,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6pdr OQF Mk2/3,5,0,7,3,22,98,0,0,72,160,160,148,0,0,0,0,0,0,0,0,0
30,,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,75mm M1A1 Pack,6,0,9,4,23,0,0,0,48,216,40,0,65,0,0,0,0,0,0,0,0
33,18pdr OQF FG,6,0,9,4,23,72,0,0,36,216,80,0,75,0,0,0,0,0,0,0,0
34,75mm 1897A4 FG,6,0,8,4,25,58,11,0,40,216,60,0,0,0,0,0,0,0,0,0,0
35,3in Howitzer,6,0,9,4,24,60,0,0,40,216,0,0,0,0,0,0,0,0,0,0,0
36,3in Mk I OQF Hw,6,0,9,4,25,84,32,0,40,206,0,0,0,0,0,0,0,0,0,0,0
37,3in OML Mortar,3,0,5,5,12,0,0,0,16,208,20,0,0,0,0,0,0,0,0,0,0
38,17pdr OQF Gun,6,0,9,4,29,184,0,0,140,207,192,251,0,0,0,0,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
42,75mm M2 Gun,6,0,8,4,26,86,3,5,52,140,0,0,0,0,0,0,0,0,0,0,0
43,290mm Spigot,7,0,11,15,105,0,0,0,8,8,0,0,105,0,0,0,0,0,0,0,0
44,75mm M3 Gun,6,0,8,4,25,102,0,14,68,160,0,0,0,0,0,0,0,0,0,0,0
45,75mm M3 Gun,6,0,8,4,25,102,0,0,68,160,0,0,0,0,0,0,0,0,0,0,0
46,,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3in M7 Gun,6,0,8,4,27,142,0,0,96,207,120,196,0,0,0,0,0,0,0,0,0
52,,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0
53,76mm M1A1 Gun,6,0,8,4,27,144,0,0,100,207,140,196,0,0,0,0,0,0,0,0,0
54,77mm QF Gun,6,0,9,4,26,152,0,0,116,207,180,183,0,0,0,0,0,0,0,0,0
55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,81mm M1 Mortar,3,0,5,5,18,0,0,1,16,208,20,0,0,0,0,0,0,0,0,0,0
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,,0,0,0,0,0,0,0,1,0,0,0,0,110,0,0,0,0,0,0,0,0
61,,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
62,20pdr OQF Gun,7,0,10,5,36,251,0,0,140,216,200,255,140,0,0,0,0,0,0,0,0
63,25pdr QF GH,7,0,10,5,20,87,0,0,56,216,0,0,0,0,0,0,0,0,0,0,0
64,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,95mm OQF Gun,7,0,11,6,31,0,0,0,60,160,0,0,127,0,0,0,0,0,0,0,0
68,105mm M4 Gun,7,0,12,6,37,84,6,0,56,160,80,0,128,0,0,0,0,0,0,0,0
69,,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
70,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,105mm M1/M2 FH,7,0,12,6,34,74,0,0,48,222,40,0,85,0,0,0,0,0,0,0,0
72,4.2in M2 Mortar,3,0,7,6,22,0,6,0,16,211,20,0,0,0,0,0,0,0,0,0,0
73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,,0,0,0,0,0,0,7,8,0,0,0,0,70,0,0,0,0,0,0,0,0
75,5.5in Gun Mk2,7,0,12,8,47,0,0,0,56,227,0,0,0,0,0,0,0,0,0,0,0
76,7.2in OBL Mk4,7,0,12,11,56,0,5,0,20,229,40,0,0,0,0,0,0,0,0,0,0
77,TNT,2,0,2,10,80,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
78,,0,0,0,0,0,0,0,15,0,0,0,0,175,0,0,0,0,0,0,0,0
79,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,6pdr OQF Mk4/5,5,0,7,3,22,104,0,0,68,160,160,158,0,0,0,0,0,0,0,0,0
82,6pdr OQF Mk4/5L,5,0,7,3,22,112,0,6,76,160,144,158,0,0,0,0,0,0,0,0,0
83,Flamethrower,8,0,2,15,150,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
