rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,Rolls-Royce AC,11,0,2,3,96,0,0,0,60,0,0,0,0,0,0,0,40,10,9,6,10,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,28,18,51,30,41,21,77,9950,0,4,0,0,9,0,2,0,2,2,224,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2,Humber I/II,11,0,2,3,101,179,0,0,60,0,60,0,0,0,0,0,46,15,10,10,15,15,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,20,30,12,12,70,41,42,46,77,662,0,4,0,0,8,0,2,0,2,2,224,158,83,0,0,1,9,0,0,0,222,90,0,0,0
3,Humber IV,11,0,2,3,205,179,0,0,20,35,60,0,0,0,0,0,46,15,12,12,15,15,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,20,30,12,12,91,43,46,54,77,9952,0,4,0,0,7,0,2,0,2,2,224,3,4,0,0,1,4,0,0,0,38,30,0,0,0
4,Daimler AC,11,0,2,3,21,179,0,0,0,44,60,0,0,0,0,0,50,14,10,10,16,14,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,12,18,8,28,90,42,49,54,77,661,0,4,8,0,6,0,3,0,4,2,224,9,137,0,0,1,5,0,0,0,150,91,0,0,0
5,Marm-Her II/III,11,0,2,3,134,148,132,0,0,35,60,0,60,0,0,0,50,12,12,9,12,12,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,34,0,8,8,70,41,43,34,77,9051,0,4,0,0,9,0,2,0,2,2,226,2,3,0,0,0,2,0,0,0,2,30,0,0,0
6,Marm-Herr IIIA,89,0,2,3,8,148,0,0,45,0,60,0,0,0,0,0,50,12,12,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,34,0,8,8,72,41,42,37,77,94,0,4,0,0,6,0,2,0,2,2,224,9,250,0,0,0,6,0,0,0,121,78,0,0,0
7,Marm-Herr IV,11,0,2,4,20,177,139,0,0,48,60,0,60,0,0,0,50,12,12,9,12,12,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,34,0,8,8,71,43,44,46,77,9953,0,4,0,0,6,0,3,0,2,2,224,2,1,0,0,0,1,0,0,0,2,35,0,0,0
8,Marm-Herr IIIB,89,0,2,3,191,148,0,0,10,20,60,0,0,0,0,0,50,12,12,9,8,0,0,0,10,9,6,10,9,9,9,0,0,0,0,0,0,0,18,12,34,0,8,8,72,41,42,43,77,94,0,4,2,2,6,0,2,0,2,2,224,8,66,0,0,0,7,0,0,0,149,211,0,0,0
9,Staghound I,89,0,3,5,205,139,177,131,35,64,60,0,60,0,60,0,54,22,19,16,44,32,32,12,15,10,10,15,15,15,7,0,0,0,0,0,0,0,24,12,8,32,8,8,90,43,49,66,77,663,0,4,4,0,5,0,2,0,2,2,226,2,0,0,0,1,3,0,0,0,2,38,0,0,0
10,Staghound II CS,89,0,3,5,36,177,0,0,45,0,80,0,0,0,0,0,48,22,19,16,44,32,32,12,15,12,12,15,15,15,8,0,0,0,0,0,0,0,24,12,8,32,8,8,93,44,49,47,77,665,0,4,0,0,5,0,2,0,2,2,226,117,67,0,0,1,1,0,0,0,91,214,0,0,0
