rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,arm.B07,arm.B08,arm.B09,arm.B10,arm.B11,arm.B12,arm.B13,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,end_mo,smkdev,start_mo,B83,B84,B85,B86,text,sound,B89,B90
1,BA-6,11,60,2,4,18,171,0,129,30,30,60,0,0,0,60,0,26,9,9,9,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,20,30,0,0,11,36,43,42,81,8102,0,4,0,0,6,0,2,0,0,2,224,30,0,0,0,1,0,0,0,0,8102,0,0,0
2,BA-10,11,60,2,4,18,171,0,129,20,29,60,0,0,0,60,0,34,10,10,10,10,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,30,10,10,31,38,45,44,81,93,0,4,0,0,6,0,2,0,0,2,228,472,0,0,0,1,0,0,0,0,93,0,0,0
3,BA-20,88,60,2,2,172,0,0,0,90,0,0,0,0,0,0,0,32,9,6,6,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,10,12,17,17,31,36,45,19,81,8188,0,4,0,0,9,0,2,0,0,2,226,868,0,0,0,1,0,0,0,0,8188,0,0,0
4,BA-64,88,50,2,2,184,0,0,0,90,0,0,0,0,0,0,0,48,15,9,11,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,30,30,30,30,30,51,42,49,22,81,8140,0,2,0,0,9,0,2,0,0,2,226,473,0,0,0,4,0,0,0,0,8140,0,0,0
5,T-38,35,60,2,2,172,0,0,0,90,0,0,0,0,0,0,0,24,9,9,9,9,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,12,37,41,22,81,160,0,4,0,0,9,0,2,0,4,2,224,101,2,0,0,1,0,0,0,0,160,0,0,0
6,T-37A,35,60,2,2,172,0,0,0,90,0,0,0,0,0,0,0,22,9,9,6,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,0,0,0,12,34,41,20,81,150,0,4,0,0,9,0,2,0,4,2,224,102,2,0,0,1,0,0,0,0,150,0,0,0
7,T-40,35,50,2,2,152,171,0,0,90,0,90,0,0,0,0,0,28,10,10,9,10,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,30,25,25,25,12,41,42,34,81,151,0,4,0,0,9,0,2,0,6,2,226,103,2,0,0,2,0,0,0,0,151,0,0,0
8,Gruppa RPG,2,0,0,2,153,4,0,0,0,10,30,0,0,0,0,0,9,0,0,0,0,0,0,0,9,9,9,9,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,49,16,81,11071,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,689,0,0,0
9,T-50 ,63,50,2,4,18,171,0,0,60,90,60,0,0,0,0,0,34,37,37,25,37,15,15,12,10,10,10,10,10,10,6,0,0,0,0,0,0,0,35,40,63,30,20,15,92,41,42,64,81,8161,0,4,0,0,5,0,2,0,6,2,226,847,0,0,0,8,0,0,0,0,8161,0,0,0
10,T-60,95,50,2,2,8,171,0,0,60,0,60,0,0,0,0,0,26,20,15,13,25,25,25,10,9,6,6,9,9,9,4,0,0,0,0,0,0,0,70,0,33,26,26,26,21,41,43,50,81,74,0,4,0,0,9,0,2,0,6,2,226,461,0,0,0,9,0,0,0,0,74,0,0,0
