rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,arm.B07,arm.B08,arm.B09,arm.B10,arm.B11,arm.B12,arm.B13,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,swim,end_mo,smkdev,start_mo,B83,B84,B85,B86,text,sound,B89,B90
1,Type 91 RailCar,11,60,3,6,206,0,213,213,50,0,0,0,40,0,40,0,22,24,16,8,12,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,18,18,18,20,31,49,24,75,776,0,4,0,0,9,0,2,0,4,2,228,607,0,0,0,1,0,0,0,0,776,0,0,0
2,Type 92 AC,11,60,2,4,118,0,206,206,90,0,0,0,50,0,50,0,26,16,11,11,11,11,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,12,22,22,20,33,40,18,75,775,0,4,0,0,5,0,2,0,4,1,226,606,0,0,0,1,0,0,0,0,775,0,0,0
3,Ammo Crates,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49,40,75,1000,0,0,0,0,0,0,0,0,0,0,105,645,0,0,0,1,0,0,0,0,1000,0,0,0
4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Type 92 Tkt,12,50,2,3,244,0,0,233,90,0,0,0,0,0,60,0,22,6,6,4,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12,22,0,7,7,10,33,40,23,75,761,0,4,0,0,8,0,2,0,4,1,224,642,0,0,0,1,0,0,0,0,761,0,0,0
6,Type 94 Tkt,12,50,2,2,245,0,0,0,90,0,0,0,0,0,0,0,24,12,8,8,12,10,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12,22,0,7,7,11,35,49,19,75,762,0,4,0,0,8,0,2,0,4,1,226,598,0,0,0,1,0,0,0,0,762,0,0,0
7,Type 97B Te-Ke,12,50,2,2,13,0,0,0,60,36,0,0,0,0,0,0,26,12,10,8,12,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,24,15,5,22,22,11,38,49,32,75,763,0,4,0,0,4,0,2,0,4,1,226,599,0,0,0,1,0,0,0,0,763,0,0,0
8,Type 97A Te-Ke,12,50,2,2,245,0,0,0,90,0,0,0,0,0,0,0,26,12,10,8,12,16,10,6,24,16,8,12,12,12,8,0,0,0,0,0,0,0,56,24,15,5,22,22,10,38,49,21,75,763,0,4,0,0,8,0,2,0,4,1,226,599,0,0,0,1,0,0,0,0,763,0,0,0
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,11,11,11,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Renault FT,63,0,2,2,227,0,0,0,90,0,0,0,0,0,0,0,6,8,8,6,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,12,30,33,3,75,7546,0,4,0,0,3,0,2,0,0,1,226,191,0,0,0,2,0,0,0,0,7546,0,0,0
