rid,name,wclass,B16,size,warhead,pen.HE,pen.AP,kill,B22,accuracy,rng_max,rng_APCR,pen_APCR,pen_HEAT,sound,B30,B31,B32,B33,B34,B35,B36
1,7.62mm Mosin/30,1,0,1,1,0,0,0,0,16,48,0,0,0,597,0,0,0,0,0,0,0
2,37mm M5 Gun,5,0,6,2,12,71,1,0,44,120,40,86,0,0,0,0,0,0,0,0,0
3,7.92mm MG34 LMG,2,0,2,1,0,0,0,0,36,64,0,0,0,540,0,0,0,0,0,0,0
4,7.92mm MG34 MG,3,0,3,1,0,0,4,7,44,100,0,0,0,543,0,0,0,0,0,0,0
5,7.62mm PPSh SMG,1,0,1,1,0,0,0,0,4,16,0,0,0,600,0,0,0,0,0,0,0
6,7.62mm DP LMG,2,0,2,1,0,0,9,0,28,64,0,0,0,656,0,0,0,0,0,0,0
7,6.5mm m14 BMG,5,0,4,1,0,0,0,0,32,80,0,0,0,573,0,0,0,0,0,0,0
8,Tromblon,2,0,2,2,10,0,12,8,0,16,0,0,0,0,0,0,0,0,0,0,0
9,7.92mm MG42 MG,3,0,3,1,0,0,0,0,40,100,0,0,0,552,0,0,0,0,0,0,0
10,20mm Breda AA,4,0,222,2,12,38,5,0,56,160,0,0,0,477,0,0,0,0,0,0,0
11,37mm 61-K obr39,4,0,6,2,12,44,0,0,64,180,0,0,0,315,0,0,0,0,0,0,0
12,37mm Skoda ATG,5,0,6,2,9,27,6,8,32,80,0,0,0,0,0,0,0,0,0,0,0
13,7.92mm MG34 BMG,5,0,3,1,0,0,0,0,28,32,0,0,0,546,0,0,0,0,0,0,0
14,7.62mm PPSh SMG,2,0,1,1,0,0,8,0,4,16,0,0,0,600,0,0,0,0,0,0,0
15,7.62mm Mosin/30,2,0,1,1,0,0,0,0,16,48,0,0,0,597,0,0,0,0,0,0,0
16,37mm M6 Gun,5,0,6,2,13,77,6,0,44,140,68,91,0,0,0,0,0,0,0,0,0
17,40mm Bofors Gun,4,0,6,3,26,56,0,0,60,207,0,0,0,991,0,0,0,0,0,0,0
18,45mm L46 Gun,5,0,7,3,13,66,14,0,48,120,120,90,0,0,0,0,0,0,0,0,0
19,45mm L66 Gun,5,0,7,3,13,77,0,0,56,120,120,101,0,0,0,0,0,0,0,0,0
20,46mm wz.36 ,3,0,2,3,9,0,14,0,0,64,0,0,0,819,0,0,0,0,0,0,0
21,47/32mm m35 Gun,5,0,7,3,14,54,0,0,52,120,60,69,75,0,0,0,0,0,0,0,0
