id,nation,name,stat,stat,type,type,pscr,pscr,start_yr,start_mo,end_yr,element_rid[0],element_cnt[0],element_rid[1],element_cnt[1],element_rid[2],element_cnt[2],element_rid[3],element_cnt[3],element_rid[4],element_cnt[4],element_rid[5],element_cnt[5],element_rid[6],element_cnt[6],element_rid[7],element_cnt[7],element_rid[8],element_cnt[8],element_rid[9],element_cnt[9]
1,75,SP ENH FR v1.1,4,elite recon,4,force HQ,6,force HQ,1930,1,1945,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,75,Armored Car Sec,1,recon,1,platoon,1,armor,1931,1,1949,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,75,Armored Car Plt,1,recon,1,platoon,1,armor,1931,1,1949,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,75,Tankette Sec,1,recon,1,platoon,1,armor,1933,1,1949,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,75,Tankette Plt,1,recon,1,platoon,1,armor,1933,1,1949,5,1,5,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
6,75,IND Arm Car Co,1,recon,2,company,1,armor,1933,1,1942,2,1,1003,1,1003,1,1005,1,1005,1,0,0,0,0,0,0,0,0,0,0
7,75,Lt Tank Section,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,75,Lt Tank Platoon,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,75,Lt Tank Company,1,recon,2,company,1,armor,1937,1,1949,11,1,1008,1,1008,1,1008,1,0,0,0,0,0,0,0,0,0,0,0,0
10,75,Lt Tank Section,0,average,1,platoon,1,armor,1930,2,1933,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,75,Lt Tank Platoon,0,average,1,platoon,1,armor,1930,2,1933,10,1,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,75,Tank Platoon,0,average,1,platoon,1,armor,1932,1,1939,20,1,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,75,Tank Platoon,0,average,1,platoon,1,armor,1940,1,1949,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,75,Tank Section,0,average,1,platoon,1,armor,1932,1,1939,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,75,Tank Company,1,recon,2,company,1,armor,1932,1,1939,20,1,1012,1,1012,1,1012,1,0,0,0,0,0,0,0,0,0,0,0,0
16,75,Tank Company,1,recon,2,company,1,armor,1940,1,1949,22,1,1007,1,1013,1,1013,1,1013,1,0,0,0,0,0,0,0,0,0,0
17,75,Tank Section,0,average,1,platoon,1,armor,1940,1,1949,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,75,CS Tank Platoon,0,average,1,platoon,1,armor,1942,9,1949,32,1,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,75,CS Tank Company,1,recon,2,company,1,armor,1942,9,1949,32,1,1007,1,1018,1,1018,1,1018,1,0,0,0,0,0,0,0,0,0,0
20,75,CS Tank Section,0,average,1,platoon,1,armor,1942,9,1949,32,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,75,IND Lt Tank Plt,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0
22,75,IND Tank Plt,0,average,1,platoon,1,armor,1940,1,1945,22,1,22,1,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0
23,75,IND Tank Co,1,recon,2,company,1,armor,1941,12,1945,22,1,1007,1,1022,1,1022,1,1022,1,1021,1,0,0,0,0,0,0,0,0
24,75,IND Tank Sec,0,average,1,platoon,1,armor,1940,1,1945,22,1,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,75,IND Lt Tank Sec,0,average,1,platoon,1,armor,1937,1,1949,11,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,75,Sm Arms Resup,0,average,1,platoon,4,miscellaneous,1930,1,1949,18,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,75,SPA Platoon,0,average,1,platoon,2,artillery,1943,5,1949,34,1,34,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,75,SPA Section,0,average,1,platoon,2,artillery,1943,5,1949,34,1,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,75,Dozer Platoon,0,average,1,platoon,1,armor,1942,2,1949,42,1,42,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,75,Flail Platoon,0,average,1,platoon,1,armor,1943,5,1949,44,1,44,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,75,Engineer Tank,0,average,1,platoon,1,armor,1934,1,1949,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,75,Eng Tank Sec,0,average,1,platoon,1,armor,1934,1,1949,43,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,75,Amphib Tank Sec,0,average,1,platoon,1,armor,1942,7,1949,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,75,Amphib Tank Plt,0,average,1,platoon,1,armor,1942,7,1949,40,1,40,1,40,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0
47,75,Amphib Tank Co,1,recon,2,company,1,armor,1942,7,1949,40,1,1046,1,1046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,75,Capt Tank Plt,4,elite recon,1,platoon,1,armor,1942,1,1946,17,1,17,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,75,Strike Element,0,average,1,platoon,4,miscellaneous,1936,1,1949,115,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,75,Air Transports,0,average,1,platoon,4,miscellaneous,1939,1,1944,226,1,226,1,226,1,226,1,0,0,0,0,0,0,0,0,0,0,0,0
51,75,Gliders,0,average,1,platoon,4,miscellaneous,1943,4,1944,225,1,225,1,225,1,225,1,0,0,0,0,0,0,0,0,0,0,0,0
53,75,APC ,0,average,1,platoon,4,miscellaneous,1941,5,1949,214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,75,Halftrack,0,average,1,platoon,4,miscellaneous,1944,1,1949,213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,75,Truck ,0,average,1,platoon,4,miscellaneous,1930,1,1949,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,75,Truck Section,0,average,1,platoon,4,miscellaneous,1930,1,1949,217,1,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,75,Truck Platoon,0,average,1,platoon,4,miscellaneous,1930,1,1949,217,1,217,1,217,1,217,1,0,0,0,0,0,0,0,0,0,0,0,0
58,75,Hvy Truck Sec,0,average,1,platoon,4,miscellaneous,1934,1,1949,218,1,218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,75,Hvy Truck Plt,0,average,1,platoon,4,miscellaneous,1934,1,1949,218,1,218,1,218,1,218,1,0,0,0,0,0,0,0,0,0,0,0,0
60,75,Halftrack Sec,0,average,1,platoon,1,armor,1944,1,1949,213,1,213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,75,Halftrack Plt,0,average,1,platoon,1,armor,1944,1,1949,213,1,213,1,213,1,213,1,0,0,0,0,0,0,0,0,0,0,0,0
62,75,APC Section,0,average,1,platoon,1,armor,1941,5,1949,214,1,214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,75,APC Platoon,0,average,1,platoon,1,armor,1941,5,1949,214,1,214,1,214,1,214,1,0,0,0,0,0,0,0,0,0,0,0,0
64,75,APC Recon Grp,4,elite recon,1,platoon,3,infantry,1944,1,1949,230,1,213,1,213,1,213,1,236,1,236,1,236,1,236,1,236,1,236,1
65,75,Pack Mule Grp,0,average,1,platoon,4,miscellaneous,1930,1,1949,222,1,222,1,222,1,222,1,0,0,0,0,0,0,0,0,0,0,0,0
66,75,Gun Team Sec,0,average,1,platoon,4,miscellaneous,1930,1,1949,223,1,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,75,Wagon Train,0,average,1,platoon,4,miscellaneous,1930,1,1949,221,1,221,1,221,1,221,1,0,0,0,0,0,0,0,0,0,0,0,0
68,75,Amphib Section,0,average,1,platoon,4,miscellaneous,1943,1,1949,224,1,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,75,Pack Mule Sec,0,average,1,platoon,4,miscellaneous,1930,1,1949,222,1,222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,75,AA Gun Section,0,average,1,platoon,2,artillery,1930,1,1949,95,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,75,AA Gun Battery,0,average,1,platoon,2,artillery,1930,1,1949,95,1,95,1,95,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0
