rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,ATR Team,2,0,0,2,142,232,0,0,0,40,40,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,49,19,29,296,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2,37mm AT Gun,6,0,1,5,14,232,0,0,20,40,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,49,22,29,374,0,2,0,0,8,0,2,0,0,0,105,0,0,0,0,0,1,0,0,0,40,0,0,0,0
3,47mm AT Gun,6,0,1,4,112,0,0,0,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,44,30,29,7811,0,3,0,0,7,0,3,0,0,0,104,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,75mm Mtn IG,62,0,1,4,113,0,0,0,40,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,49,13,29,221,0,2,0,0,6,0,1,0,0,0,104,54,0,0,0,0,1,0,0,0,118,0,0,0,0
5,Mortar Squad,5,0,1,4,56,246,0,0,50,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35,49,28,29,57,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,HMG Squad,81,0,0,4,122,91,233,0,60,0,4,0,40,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,49,24,29,332,0,3,0,0,9,0,2,0,0,0,0,55,0,0,0,0,1,0,0,0,131,0,0,0,0
7,MG Squad,4,0,0,4,100,87,232,0,60,0,4,0,40,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,49,19,29,2905,0,2,0,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0
8,Infantry Squad,1,0,1,10,243,87,0,0,50,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40,15,29,2901,0,0,0,0,9,0,0,0,0,0,0,143,0,0,0,0,1,0,0,0,221,0,0,0,0
9,Infantry Squad,1,0,1,10,157,87,114,0,50,0,10,0,40,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,43,17,29,2902,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Lt Mortar Team,80,0,0,2,40,232,0,0,50,0,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,41,49,17,29,56,0,2,0,0,9,0,0,0,0,0,0,67,0,0,0,0,3,0,0,0,0,0,0,0,0
