rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,PzKpfw I A,12,0,2,2,154,0,0,0,90,0,0,0,0,0,0,0,22,13,13,13,19,13,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,14,13,22,22,12,36,41,22,84,8402,0,4,0,0,9,0,2,0,4,1,226,0,0,0,0,0,1,0,0,0,0,3,0,0,0
2,T-26TU M33,12,50,3,3,18,171,0,0,60,76,60,0,0,0,0,0,21,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,81,0,0,0,10,38,49,42,84,65,0,4,0,0,4,0,2,0,6,2,226,108,0,0,0,0,10,0,0,0,210,239,0,0,0
3,M5A1 Stuart,64,0,2,4,2,139,177,131,44,83,60,0,60,0,60,0,32,63,28,28,67,32,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,17,10,0,0,91,44,49,81,84,8710,0,4,20,0,6,0,2,0,6,2,226,2,0,0,0,0,2,0,0,0,32,3,0,0,0
4,M3A1 Stuart,64,50,2,4,16,139,177,131,44,83,60,0,60,0,60,0,34,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,16,10,0,0,50,43,49,64,84,7710,0,4,0,0,5,0,2,0,6,2,226,197,0,0,0,0,10,0,0,0,17,239,0,0,0
5,Vickers 6ton,12,50,3,3,22,0,0,238,25,75,0,0,0,0,60,0,18,12,10,6,14,8,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,34,8,14,14,91,36,43,37,84,8401,0,4,0,0,5,0,2,0,6,2,228,1,0,0,0,0,1,0,0,0,33,3,0,0,0
6,Cpt Type 94,93,50,2,2,245,0,0,0,90,0,0,0,0,0,0,0,22,12,6,6,14,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,12,22,0,7,7,12,37,45,19,84,762,0,4,0,0,9,0,2,0,0,3,226,29,0,0,0,0,6,0,0,0,6,0,0,0,0
7,Cpt Ha-Go,93,50,2,3,13,0,0,209,50,69,0,0,0,0,60,0,26,14,12,10,14,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,15,10,15,18,15,12,37,49,42,84,764,0,4,0,0,6,0,2,0,6,3,226,2,0,0,0,0,1,0,0,0,34,0,0,0,0
8,Cpt Chi-Ha,13,50,3,4,212,0,0,209,55,27,0,0,0,0,60,0,22,25,22,20,27,25,12,8,13,13,13,19,13,13,6,0,0,0,0,0,0,0,52,18,26,12,5,5,12,40,44,52,84,7508,0,4,0,0,6,0,2,0,6,3,228,29,0,0,0,0,1,0,0,0,30,0,0,0,0
9,SdKfz 221,88,0,2,2,176,0,0,0,90,0,0,0,0,0,0,0,48,8,8,5,10,8,8,0,15,15,15,15,15,15,10,0,0,0,0,0,0,0,36,35,31,35,35,35,91,36,49,20,84,137,0,2,0,0,9,0,2,0,0,2,226,2,0,0,0,0,1,0,0,0,30,0,0,0,0
10,BA-6,11,60,2,3,18,171,0,129,30,30,60,0,0,0,60,0,26,9,9,9,9,9,9,4,63,28,28,67,32,32,13,0,0,0,0,0,0,0,25,8,20,30,0,0,11,38,43,41,84,8102,0,4,0,0,6,0,2,0,0,2,228,60,0,0,0,0,6,0,0,0,209,0,0,0,0
