rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,M3A1 Scout Car,23,50,3,2,139,0,0,0,60,0,0,0,0,0,0,0,42,12,7,7,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,22,0,0,91,42,49,17,83,8213,0,1,0,0,9,0,1,0,6,3,226,0,2,0,0,0,1,0,0,0,0,32,0,0,0
2,Ammo Crates,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49,35,83,1000,0,0,0,0,0,0,0,0,0,0,105,39,211,0,0,0,1,0,0,0,21,231,0,0,0
3,Gun Team,83,0,4,4,236,0,0,0,50,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,11,83,9927,0,0,0,0,9,0,0,0,212,2,240,2,0,0,0,0,1,0,0,0,32,3,0,0,0
4,Mule Pack,84,0,2,2,236,0,0,0,60,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,6,83,8268,0,0,0,0,9,0,0,0,105,1,124,133,0,1,0,0,1,0,0,0,232,116,0,0,0
5,Horses,76,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,49,6,83,8260,0,0,0,0,0,0,0,0,12,0,124,2,0,1,0,0,1,0,0,0,3,32,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,161,0,0,0,1,0,0,0,0,32,36,0,0
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,32,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,7,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,211,0,0,0,1,0,0,0,76,231,30,0,0
9,M2A4,12,0,2,4,16,139,177,126,30,73,60,0,60,0,60,0,24,32,16,16,48,26,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,15,22,15,10,91,40,42,61,83,443,0,4,0,0,6,0,2,0,4,2,226,0,0,0,0,0,7,0,0,0,32,3,0,0,0
10,M3 Stuart,12,50,2,4,14,139,177,131,33,70,60,0,60,0,60,0,34,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,16,10,0,0,90,41,43,65,83,8323,0,4,0,0,6,0,2,0,6,2,226,4,0,0,0,0,7,0,0,0,109,116,27,0,0
11,M3 Satan,17,50,2,4,119,177,0,0,24,0,60,0,0,0,0,0,32,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,16,10,0,0,92,44,48,62,83,8322,0,4,0,0,6,0,2,0,0,1,226,0,0,0,0,0,6,0,0,0,31,32,0,0,0
12,M5A1 Stuart,12,0,2,4,213,139,177,131,64,63,60,0,60,0,60,0,32,63,28,28,67,32,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,17,10,0,0,92,46,49,89,83,8301,0,4,20,0,6,4,2,0,6,2,226,0,0,0,0,0,1,0,0,0,0,116,0,0,0
13,M5A1 Stuart,12,0,2,4,213,139,177,131,74,73,60,0,60,0,60,0,32,63,28,28,67,32,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,17,10,0,0,91,43,45,80,83,8301,0,4,0,0,6,4,2,0,6,2,226,0,0,0,0,0,12,0,0,0,0,32,0,0,0
14,M3A1 Stuart,12,50,2,4,213,139,177,131,33,70,60,0,60,0,60,0,34,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,16,10,0,0,90,42,44,75,83,379,0,4,0,0,6,4,2,0,6,2,226,0,0,0,0,0,9,0,0,0,0,116,0,0,0
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,0,0
16,T95 105mm GMC,61,0,5,4,97,140,0,0,20,42,60,0,0,0,0,0,12,200,180,180,255,200,200,25,32,16,16,48,26,16,10,0,0,0,0,0,0,0,35,60,60,30,60,60,92,49,49,255,83,8263,0,4,0,0,3,0,8,0,8,5,230,0,0,0,0,0,1,0,0,0,0,116,0,0,0
17,M6A1,14,0,4,6,60,15,177,193,25,35,25,25,90,0,90,0,18,108,63,51,81,81,76,22,44,25,25,56,25,25,13,0,0,0,0,0,0,0,30,30,10,38,15,8,92,49,49,214,83,8265,0,4,10,0,5,0,4,0,8,5,230,0,0,0,0,1,1,0,0,0,0,32,0,0,0
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,25,25,56,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,187,116,0,0,0
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,28,28,67,32,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,32,0,0,0
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,28,28,67,32,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,1,0,0,0,131,116,0,0,0
21,M4A2 Sherman,13,70,4,5,44,140,177,131,55,42,60,0,60,0,60,0,24,51,38,38,95,51,51,18,44,25,25,56,25,25,13,0,0,0,0,0,0,0,42,0,11,28,12,8,91,43,45,113,83,384,0,4,0,0,5,4,2,0,8,3,230,1,0,0,0,1,10,0,0,0,32,32,0,0,0
22,M4A1 Sherman,13,50,4,5,44,140,177,131,40,50,60,0,60,0,60,0,22,51,38,38,95,51,51,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,5,28,12,8,90,43,45,109,83,8214,0,4,0,0,5,4,2,0,8,2,230,248,0,0,0,0,7,0,0,0,130,116,0,0,0
23,M4A3 Sherman,13,50,4,5,45,140,177,131,37,60,60,0,60,0,60,0,26,51,38,38,97,51,51,21,200,180,180,255,200,200,25,0,0,0,0,0,0,0,56,0,22,28,12,8,90,45,49,131,83,384,0,4,0,0,5,4,3,0,8,3,230,1,0,0,0,1,1,0,0,0,32,32,0,0,0
24,M4A3 (75) W ,13,50,4,5,45,140,177,131,42,55,60,0,60,0,60,0,26,64,38,38,103,64,64,21,108,63,51,81,81,76,22,0,0,0,0,0,0,0,42,0,11,38,12,8,91,45,49,139,83,384,0,4,0,0,6,4,3,0,8,4,230,29,0,0,0,1,8,0,0,0,109,164,0,0,0
25,M4A3 (76) W,13,50,4,5,53,140,177,131,25,38,60,0,60,0,60,0,26,64,51,51,103,64,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,11,38,12,8,91,45,49,186,83,8243,0,4,6,0,5,4,5,0,8,4,230,2,0,0,0,1,9,0,0,0,32,32,0,0,0
26,M26 Pershing,13,70,4,5,65,140,177,131,25,33,60,0,60,0,60,0,24,89,63,51,113,76,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,10,30,0,0,91,47,49,238,83,388,0,4,12,0,5,4,6,0,8,5,230,29,0,0,0,1,2,0,0,0,109,162,0,0,0
27,M46 Patton,13,0,5,5,65,140,177,131,25,25,60,0,60,0,60,0,22,107,73,32,128,73,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,15,15,10,22,90,49,49,253,83,8209,0,4,20,0,5,4,6,0,8,6,232,2,0,0,0,1,1,0,0,0,32,1,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,38,38,95,51,51,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,123,118,0,0,0
29,POA-CWS 75-H1,17,50,4,5,108,140,177,131,36,0,60,0,60,0,60,0,22,51,38,38,95,51,51,18,51,38,38,95,51,51,22,0,0,0,0,0,0,0,51,0,5,28,12,8,91,45,49,93,83,8216,0,4,0,0,5,0,2,0,0,2,230,2,0,0,0,1,2,0,0,0,1,32,0,0,0
30,POA-CWS 75-H2,17,50,4,5,45,108,177,140,20,20,36,0,60,0,60,0,26,51,38,38,97,51,51,21,51,38,38,97,51,51,21,0,0,0,0,0,0,0,56,0,22,28,12,8,91,45,49,147,83,8319,0,4,0,0,5,4,2,0,0,2,230,0,0,0,0,1,9,0,0,0,0,118,0,0,0
31,M4 Blade Tank,37,50,4,5,45,140,177,131,47,50,60,0,60,0,60,0,20,51,38,38,95,51,51,18,64,38,38,103,64,64,21,0,0,0,0,0,0,0,56,0,5,28,15,8,91,44,49,127,83,394,0,4,0,0,5,4,3,0,8,3,230,0,0,0,0,1,3,0,0,0,0,32,0,0,0
32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,51,51,103,64,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,71,236,0,0,0
33,T2 Flail,36,50,4,5,45,140,177,0,47,50,60,0,60,0,0,0,20,51,38,38,95,51,51,18,89,63,51,113,76,76,24,0,0,0,0,0,0,0,56,0,5,28,15,8,90,45,49,123,83,437,0,4,0,0,5,4,3,0,0,3,230,4,0,0,0,0,11,0,0,0,32,3,0,0,0
34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,73,32,128,73,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,1,0,0,0,73,239,0,0,0
