rid,name,wclass,B16,size,warhead,pen.HE,pen.AP,kill,B22,accuracy,rng_max,rng_APCR,pen_APCR,pen_HEAT,sound,B30,B31,B32,B33,B34,B35,B36
1,7.62mm Mosin/91,1,0,1,1,0,0,0,0,16,48,0,0,0,0,0,0,0,0,0,0,0
2,6.5mm M1896 ,1,0,1,1,0,0,1,0,16,40,0,0,0,0,0,0,0,0,0,0,0
3,7.62mm DT AAMG,4,0,2,1,0,0,0,0,48,80,0,0,0,606,0,0,0,0,0,0,0
4,7.62mm Mosn/27c,1,0,1,1,0,0,1,8,16,40,0,0,0,0,0,0,0,0,0,0,0
5,7.62mm Mosin/27,1,0,1,1,0,0,0,0,16,48,0,0,0,0,0,0,0,0,0,0,0
6,7.92mm MG34 BMG,5,0,3,1,0,0,7,0,28,32,0,0,0,546,0,0,0,0,0,0,0
7,7.62mm Mosin/39,1,0,1,1,0,0,0,0,16,48,0,0,0,0,0,0,0,0,0,0,0
8,7.62mm Mosin/91,2,0,1,1,0,0,1,8,16,48,0,0,0,0,0,0,0,0,0,0,0
9,25mm K34/37 Gun,5,0,6,2,9,35,0,0,36,80,0,0,0,0,0,0,0,0,0,0,0
10,6.5mm M1896 ,2,0,1,1,0,0,1,0,16,40,0,0,0,0,0,0,0,0,0,0,0
11,6.5mm M1896 ,2,0,1,1,0,0,0,0,16,24,0,0,0,0,0,0,0,0,0,0,0
12,37mm SA18 Gun,5,0,6,2,10,32,10,0,40,100,0,0,0,0,0,0,0,0,0,0,0
13,7.62mm Mosin/39,2,0,1,1,0,0,0,0,16,48,0,0,0,0,0,0,0,0,0,0,0
14,7.62mm Mosin/27,2,0,1,1,0,0,1,11,16,24,0,0,0,0,0,0,0,0,0,0,0
15,37mm K/36,5,0,6,2,12,36,0,0,48,160,72,74,0,0,0,0,0,0,0,0,0
16,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40mm Bofors Gun,4,0,6,3,26,56,0,0,60,207,0,0,0,991,0,0,0,0,0,0,0
18,45mm L46 Gun,5,0,7,3,13,66,2,1,48,120,120,90,0,0,0,0,0,0,0,0,0
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,47/32mm m35 Gun,5,0,7,3,14,54,0,0,52,120,60,69,75,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50mm KwK38 L/42,5,0,7,3,18,77,0,0,60,180,72,130,0,0,0,0,0,0,0,0,0
26,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,20mm L60 Madsen,5,0,222,2,8,25,0,0,40,160,0,0,0,477,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,37mm PaK36/46,5,0,6,2,12,40,0,0,44,160,72,58,0,0,0,0,0,0,0,0,0
30,50mm PaK38/45,5,0,7,3,20,100,3,0,72,196,80,161,0,0,0,0,0,0,0,0,0
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,75mm K17 FG,6,0,8,4,22,92,0,15,48,216,0,0,0,0,0,0,0,0,0,0,0
33,76mm K02 FG,6,0,9,4,25,51,0,0,48,216,0,0,0,0,0,0,0,0,0,0,0
34,76.2mm PP obr27,6,0,8,4,22,45,11,0,36,100,0,0,0,0,0,0,0,0,0,0,0
35,75mm PaK40/1,6,0,8,4,27,140,0,0,84,207,144,178,0,0,0,0,0,0,0,0,0
36,,0,0,0,0,0,0,3,0,0,0,0,0,70,0,0,0,0,0,0,0,0
37,50mm RM obr Mrt,3,0,2,3,8,0,0,0,0,72,10,0,0,819,0,0,0,0,0,0,0
38,76mm LK 10/13,6,0,8,4,22,37,0,0,48,217,0,0,0,0,0,0,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
42,,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
43,76.2mm ZiS-5 ,6,0,8,4,26,94,0,0,72,180,80,130,75,0,0,0,0,0,0,0,0
44,,0,0,0,0,0,0,0,14,0,0,0,0,70,0,0,0,0,0,0,0,0
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
