rid,name,uclass,arm_SK,size,crew,wpn_w1,wpn_w2,wpn_w3,wpn_w4,wpn_ammo_HE1,wpn_ammo_AP1,wpn_ammo_HE2,wpn_ammo_AP2,wpn_ammo_HE3,wpn_ammo_AP3,wpn_ammo_HE4,wpn_ammo_AP4,speed,arm.FH,arm.SH,arm.RH,arm.FT,arm.ST,arm.RT,arm.TP,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,slp.FH,slp.SH,slp.RH,slp.FT,slp.ST,slp.RT,radio,start_yr,end_yr,cost,nation,lbm,irvis,fc,wpn1_APCRammo,wpn1_HEATammo,rof,stab,rf,B73,load_cap,survive,load_cost,icon,movcl,swim,end_mo,smkdev,start_mo,sound,wpn1_snd,wpn2_snd,wpn3_snd,wpn4_snd,X1,X2,msound
1,FT-17c,63,60,2,2,12,0,0,0,15,15,0,0,0,0,0,0,6,16,12,10,22,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,20,12,10,14,21,30,40,26,71,230,0,4,0,0,6,0,2,0,0,1,224,0,0,0,0,0,1,0,0,0,0,27,0,0,0
2,FT-17,63,60,2,2,179,0,0,0,90,0,0,0,0,0,0,0,6,16,12,10,22,12,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,20,20,12,12,21,30,40,17,71,7626,0,4,0,0,8,0,2,0,0,1,224,103,0,0,0,0,1,0,0,0,220,245,0,0,0
3,Vickers 6ton,12,50,3,4,15,179,0,231,15,90,90,0,0,0,50,0,21,17,13,13,17,15,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,34,15,18,18,10,39,40,48,71,534,0,4,0,0,6,0,2,0,6,2,226,2,0,0,0,0,8,0,0,0,29,27,0,0,0
4,T-26,12,60,2,3,172,172,0,0,60,0,60,0,0,0,0,0,21,13,13,13,13,13,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,81,0,0,0,12,40,42,24,71,522,0,4,0,0,9,0,2,0,6,2,226,103,0,0,0,0,3,0,0,0,220,245,0,0,0
5,T-26B,12,50,3,3,18,172,171,0,45,52,60,0,60,0,0,0,21,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,81,0,0,0,10,40,45,44,71,7127,0,4,0,0,4,0,2,0,6,2,226,2,0,0,0,0,3,0,0,0,29,27,0,0,0
6,T-26B+,12,50,3,4,18,3,171,0,45,66,60,0,60,0,0,0,21,25,25,25,25,25,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,81,72,72,72,12,42,45,62,71,7127,0,4,0,0,4,0,2,0,6,2,226,44,0,0,0,0,2,0,0,0,22,207,0,0,0
7,T-26C,12,50,3,3,18,3,171,0,45,60,60,0,60,0,0,0,21,15,15,15,15,15,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,81,72,72,72,21,40,45,50,71,73,0,4,0,0,4,0,2,0,6,2,226,4,0,0,0,0,6,0,0,0,2,27,0,0,0
8,T-26C+,12,50,3,4,18,3,171,129,45,60,60,0,60,0,60,0,21,25,25,25,25,25,25,10,16,12,10,22,12,12,8,0,0,0,0,0,0,0,28,0,81,72,72,72,22,42,45,61,71,73,0,4,0,0,4,0,2,0,6,2,226,43,0,0,0,0,6,0,0,0,10,207,0,0,0
9,T-26E (Vickers),12,50,3,4,18,171,0,231,45,45,60,0,0,0,50,0,21,17,13,13,17,15,15,6,16,12,10,22,12,12,8,0,0,0,0,0,0,0,20,0,34,15,18,18,20,41,45,43,71,7120,0,4,0,0,4,0,2,0,6,2,226,4,0,0,0,0,5,0,0,0,2,27,0,0,0
10,OT-130,17,60,3,2,108,0,0,129,28,0,0,0,0,0,60,0,18,15,15,15,15,15,15,10,17,13,13,17,15,15,6,0,0,0,0,0,0,0,18,23,9,30,0,0,10,40,42,44,71,524,0,4,0,0,5,0,2,0,0,1,226,42,0,0,0,0,5,0,0,0,215,207,0,0,0
